PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24140220","Antibiotic prophylaxis in prelabor spontaneous rupture of fetal membranes at or beyond 36 weeks of pregnancy","Nabhan AF, Elhelaly A, Elkadi M.","Int J Gynaecol Obstet. 2014 Jan;124(1):59-62. doi: 10.1016/j.ijgo.2013.07.018. Epub 2013 Oct 5.","Nabhan AF","Int J Gynaecol Obstet","2014","2013/10/22","","","10.1016/j.ijgo.2013.07.018"
"22801348","Rapid plasma reagin titer variation in the 2 weeks after syphilis therapy","Holman KM, Wolff M, Seña AC, Martin DH, Behets F, Van Damme K, Leone P, McNeil L, Gehrig ML, Hook EW 3rd.","Sex Transm Dis. 2012 Aug;39(8):645-7. doi: 10.1097/OLQ.0b013e3182536574.","Holman KM","Sex Transm Dis","2012","2012/07/18","PMC3399694","NIHMS367810","10.1097/OLQ.0b013e3182536574"
"22592586","Time to initiate antiretroviral therapy between 4 weeks and 12 weeks of tuberculosis treatment in HIV-infected patients: results from the TIME study","Manosuthi W, Mankatitham W, Lueangniyomkul A, Thongyen S, Likanonsakul S, Suwanvattana P, Thawornwan U, Suntisuklappon B, Nilkamhang S, Sungkanuparph S; TIME Study Team.","J Acquir Immune Defic Syndr. 2012 Aug 1;60(4):377-83. doi: 10.1097/QAI.0b013e31825b5e06.","Manosuthi W","J Acquir Immune Defic Syndr","2012","2012/05/18","","","10.1097/QAI.0b013e31825b5e06"
"22391540","Randomized pilot trial of eight weeks of bedaquiline (TMC207) treatment for multidrug-resistant tuberculosis: long-term outcome, tolerability, and effect on emergence of drug resistance","Diacon AH, Donald PR, Pym A, Grobusch M, Patientia RF, Mahanyele R, Bantubani N, Narasimooloo R, De Marez T, van Heeswijk R, Lounis N, Meyvisch P, Andries K, McNeeley DF.","Antimicrob Agents Chemother. 2012 Jun;56(6):3271-6. doi: 10.1128/AAC.06126-11. Epub 2012 Mar 5.","Diacon AH","Antimicrob Agents Chemother","2012","2012/03/07","PMC3370813","","10.1128/AAC.06126-11"
"21372444","Triple therapy with ecabet sodium, amoxicillin and lansoprazole for 2 weeks as the rescue regimen for H. pylori infection","Furuta T, Kato M, Sugimoto M, Sasaki M, Kamoshida T, Furukawa K, Inaba T, Tomita T, Shirai T, Ishii N, Nomura H, Konda Y, Asaka M; Japan Gast Study Group.","Intern Med. 2011;50(5):369-74. doi: 10.2169/internalmedicine.50.4305. Epub 2011 Mar 1.","Furuta T","Intern Med","2011","2011/03/05","","","10.2169/internalmedicine.50.4305"
"21051704","Rates and risk factors for unfavorable outcomes 6 weeks after trichiasis surgery","Gower EW, Merbs SL, Munoz BE, Kello AB, Alemayehu W, Imeru A, West SK.","Invest Ophthalmol Vis Sci. 2011 Apr 25;52(5):2704-11. doi: 10.1167/iovs.10-5161. Print 2011 Apr.","Gower EW","Invest Ophthalmol Vis Sci","2011","2010/11/06","PMC3088559","","10.1167/iovs.10-5161"
"20215128","Comparison of the efficacy of gentamicin for 5 days plus doxycycline for 8 weeks versus streptomycin for 2 weeks plus doxycycline for 45 days in the treatment of human brucellosis: a randomized clinical trial","Roushan MR, Amiri MJ, Janmohammadi N, Hadad MS, Javanian M, Baiani M, Bijani A.","J Antimicrob Chemother. 2010 May;65(5):1028-35. doi: 10.1093/jac/dkq064. Epub 2010 Mar 9.","Roushan MR","J Antimicrob Chemother","2010","2010/03/11","","","10.1093/jac/dkq064"
"19815891","Macrofilaricidal activity and amelioration of lymphatic pathology in bancroftian filariasis after 3 weeks of doxycycline followed by single-dose diethylcarbamazine","Mand S, Pfarr K, Sahoo PK, Satapathy AK, Specht S, Klarmann U, Debrah AY, Ravindran B, Hoerauf A.","Am J Trop Med Hyg. 2009 Oct;81(4):702-11. doi: 10.4269/ajtmh.2009.09-0155.","Mand S","Am J Trop Med Hyg","2009","2009/10/10","","","10.4269/ajtmh.2009.09-0155"
"19333944","Golimumab, a new human tumor necrosis factor alpha antibody, administered every four weeks as a subcutaneous injection in psoriatic arthritis: Twenty-four-week efficacy and safety results of a randomized, placebo-controlled study","Kavanaugh A, McInnes I, Mease P, Krueger GG, Gladman D, Gomez-Reino J, Papp K, Zrubek J, Mudivarthy S, Mack M, Visvanathan S, Beutler A.","Arthritis Rheum. 2009 Apr;60(4):976-86. doi: 10.1002/art.24403.","Kavanaugh A","Arthritis Rheum","2009","2009/04/01","","","10.1002/art.24403"
"19166420","Lafutidine versus lansoprazole in combination with clarithromycin and amoxicillin for one versus two weeks for Helicobacter pylori eradication in Korea","Kim N, Park SH, Seo GS, Lee SW, Kim JW, Lee KJ, Shin WC, Kim TN, Park MI, Park JJ, Hong SJ, Shim KN, Kim SW, Shin YW, Chang YW, Chun HJ, Lee OJ, Jeon WJ, Park CG, Cho CM, Park CH, Won SY, Lee GH, Park KS, Shin JE, Kim HU, Park JY, Chae HS, Song GA, Kim JG, Yoon BC, Seol S, Jung HC, Chung IS.","Helicobacter. 2008 Dec;13(6):542-9. doi: 10.1111/j.1523-5378.2008.00648.x.","Kim N","Helicobacter","2008","2009/01/27","","","10.1111/j.1523-5378.2008.00648.x"
"17402345","Evaluation of a new fixed duration (12 weeks) multi-drug regimen of bactericidal drugs in multibacillary leprosy","Tejasvi T, Khaitan BK, Khanna N, Pandhi RK, Singh MK.","Indian J Lepr. 2006 Oct-Dec;78(4):329-37.","Tejasvi T","Indian J Lepr","2006","2007/04/04","","",""
"17028126","Comparison of 1 and 2 weeks of omeprazole, amoxicillin and clarithromycin treatment for Helicobacter pylori eradication: the HYPER Study","Zagari RM, Bianchi-Porro G, Fiocca R, Gasbarrini G, Roda E, Bazzoli F.","Gut. 2007 Apr;56(4):475-9. doi: 10.1136/gut.2006.102269. Epub 2006 Oct 6.","Zagari RM","Gut","2007","2006/10/10","PMC1856863","","10.1136/gut.2006.102269"
"16327334","Efavirenz 600 mg/day versus efavirenz 800 mg/day in HIV-infected patients with tuberculosis receiving rifampicin: 48 weeks results","Manosuthi W, Kiertiburanakul S, Sungkanuparph S, Ruxrungtham K, Vibhagool A, Rattanasiri S, Thakkinstian A.","AIDS. 2006 Jan 2;20(1):131-2. doi: 10.1097/01.aids.0000196181.18916.9b.","Manosuthi W","AIDS","2006","2005/12/06","","","10.1097/01.aids.0000196181.18916.9b"
"15693450","Comparison of one week and two weeks of triple therapy for the eradication of Helicobacter pylori in a Sri Lankan population: a randomised, controlled study","de Silva HA, Hewavisenthi J, Pathmeswaran A, Dassanayake AS, Navaratne NM, Peiris R, de Silva HJ.","Ceylon Med J. 2004 Dec;49(4):118-22. doi: 10.4038/cmj.v49i4.1921.","de Silva HA","Ceylon Med J","2004","2005/02/08","","","10.4038/cmj.v49i4.1921"
"12685882","Ciprofloxacin for 2 or 4 weeks in the treatment of febrile urinary tract infection in men: a randomized trial with a 1 year follow-up","Ulleryd P, Sandberg T.","Scand J Infect Dis. 2003;35(1):34-9. doi: 10.1080/0036554021000026988.","Ulleryd P","Scand J Infect Dis","2003","2003/04/11","","","10.1080/0036554021000026988"
"12235071","Double blind, randomised, placebo controlled study of four weeks of lansoprazole for the treatment of functional dyspepsia in Chinese patients","Wong WM, Wong BC, Hung WK, Yee YK, Yip AW, Szeto ML, Fung FM, Tong TS, Lai KC, Hu WH, Yuen MF, Lam SK.","Gut. 2002 Oct;51(4):502-6. doi: 10.1136/gut.51.4.502.","Wong WM","Gut","2002","2002/09/18","PMC1773405","","10.1136/gut.51.4.502"
"11515622","Prolonging proton pump inhibitor-based anti-Helicobacter pylori treatment from one to two weeks in duodenal ulcer: is it worthwhile?","Maconi G, Russo A, Imbesi V, Cucino C, Bianchi Porro G.","Dig Liver Dis. 2000 May;32(4):275-80. doi: 10.1016/s1590-8658(00)80017-1.","Maconi G","Dig Liver Dis","2000","2001/08/23","","","10.1016/s1590-8658(00)80017-1"
"11507355","Various durations of a standard regimen (amoxycillin, metronidazole, colloidal bismuth sub-citrate for 2 weeks or with additional ranitidine for 1 or 2 weeks) on eradication of Helicobacter pylori in Iranian peptic ulcer patients. A randomized controlled trial","Kaviani MJ, Malekzadeh R, Vahedi H, Sotoudeh M, Kamalian N, Amini M, Massarrat S.","Eur J Gastroenterol Hepatol. 2001 Aug;13(8):915-9. doi: 10.1097/00042737-200108000-00007.","Kaviani MJ","Eur J Gastroenterol Hepatol","2001","2001/08/17","","","10.1097/00042737-200108000-00007"
"11242715","Two weeks triple therapy with lansoprazole, amoxycillin and roxythromycin is better than dual therapy with lansoprazole and amoxycillin for H. pylori infection: a randomised, clinical trial","Qureshi H, Mehdi I, Alam E.","J Pak Med Assoc. 2000 May;50(5):157-8.","Qureshi H","J Pak Med Assoc","2000","2001/03/13","","",""
"11232676","Do some patients with Helicobacter pylori infection benefit from an extension to 2 weeks of a proton pump inhibitor-based triple eradication therapy?","Maconi G, Parente F, Russo A, Vago L, Imbesi V, Bianchi Porro G.","Am J Gastroenterol. 2001 Feb;96(2):359-66. doi: 10.1111/j.1572-0241.2001.03519.x.","Maconi G","Am J Gastroenterol","2001","2001/03/10","","","10.1111/j.1572-0241.2001.03519.x"
