"Title","Medline PMID","PUI"
"Home use of day-and-night hybrid closed-loop insulin delivery in suboptimally controlled adolescents with type 1 diabetes: A 3-week, free-living, randomized crossover trial",27612500,L613125683
"Efficacy of first-line bismuth-containing quadruple therapies with levofloxacin or clarithromycin for the eradication of helicobacter pylori infection: A one-week, openlabel, randomized trial",,L619936644
"Three months of weekly rifapentine and isoniazid for treatment of Mycobacterium tuberculosis infection in HIV-coinfected persons",27243774,L609136086
"Comparison of daily norfloxacin versus weekly ciprofloxacin for the prevention of spontaneous bacterial peritonitis in cirrhotic patients: A randomized controlled trial",,L72304288
"A Randomized Clinical Trial of Single-Dose Versus Weekly Dalbavancin for Treatment of Acute Bacterial Skin and Skin Structure Infection",26611777,L608941905
"Two-week triple therapy has a higher Helicobacter pylori eradication rate than 1-week therapy: A single-center randomized study",26655129,L607242750
"Efficiency and safety of the combination of moxifloxacin, pretomanid (PA-824), and pyrazinamide during the first 8 weeks of antituberculosis treatment: A phase 2b, open-label, partly randomised trial in patients with drug-susceptible or drug-resistant pulmonary tuberculosis",25795076,L603089850
"Six-week versus twelve-week antibiotic therapy for nonsurgically treated diabetic foot osteomyelitis: A multicenter open-label controlled randomized study",25414157,L601929725
"The Helicobacter pylori eradication in the group receiving standard -dose and group continue taking amoxicillin for 4 weeks; A clinical trial study",,L605298369
"Weekly dalbavancin was noninferior to daily vancomycin for acute bacterial skin infection in adults",25329226,L604604520
"Safety and tolerability of once-daily umeclidinium/vilanterol 125/25 mcg and umeclidinium 125 mcg in patients with chronic obstructive pulmonary disease: Results from a 52-week, randomized, double-blind, placebo-controlled study",,L602967831
"Antibiotic prophylaxis in prelabor spontaneous rupture of fetal membranes at or beyond 36 weeks of pregnancy",24140220,L52819196
"A prospective, randomised comparative study of weekly versus biweekly application of dehydrated human amnion/chorion membrane allograft in the management of diabetic foot ulcers",24618401,L53024436
"Ixabepilone Administered Weekly or Every Three Weeks in HER2-Negative Metastatic Breast Cancer Patients; A Randomized Non-Comparative Phase II Trial",23935969,L369424036
"Randomized Clinical Trial of Thrice-Weekly 4-Month Moxifloxacin or Gatifloxacin Containing Regimens in the Treatment of New Sputum Positive Pulmonary Tuberculosis Patients",23843980,L369253401
"A randomised phase II/III trial of 3-weekly cisplatin-based sequential transarterial chemoembolisation vs embolisation alone for hepatocellular carcinoma",23449352,L52467616
"A comparative study of 3-week and 6-week duration of double-j stent placement in renal transplant recipients",22738941,L52086355
"Once weekly azithromycin in secondary prevention of rheumatic fever",22572418,L364912653
"Second-line Helicobacter pylori Eradication: A Randomized Comparison of 1-week or 2-week Bismuth-containing Quadruple Therapy",21762268,L362161848
"Triple therapy with ecabet sodium, amoxicillin and lansoprazole for 2 weeks as the rescue regimen for H. pylori Infection",21372444,L361389909
"One week of nitrofurantoin before percutaneous nephrolithotomy significantly reduces upper tract infection and urosepsis: A prospective controlled study",20570319,L50939662
"Antibiotic prophylaxis during PNL for staghorn stones: Comparison of one-week preoperative to one-shot intaoperative antibiotic use",,L70471908
"Infliximab for diabetic macular edema refractory to laser photocoagulation: A randomized, double-blind, placebo-controlled, crossover, 32-week study",20413522,L359810452
"Rituximab add-on therapy for breakthrough relapsing multiple sclerosis: A 52-week phase II trial",20530322,L358981629
"A randomized, placebo-controlled phase II study evaluating the reduction of neutropenia and febrile neutropenia in patients with colorectal cancer receiving pegfilgrastim with every-2-week chemotherapy",20378503,L358617742
"Changes in body composition with ritonavir-boosted and unboosted atazanavir treatment in combination with lamivudine and stavudine: A 96- week randomized, controlled study",19302017,L354644229
"Once-weekly azithromycin in cystic fibrosis with chronic Pseudomonas aeruginosa infection",18701270,L50235928
"Efficacy and safety of etanercept 50 mg twice a week in patients with rheumatoid arthritis who had a suboptimal response to etanercept 50 mg once a week: Results of a multicenter, randomized, double-blind, active drug-controlled study",18576334,L351988083
"Induction of labour versus expectant management in women with preterm prelabour rupture of membranes between 34 and 37 weeks (the PPROMEXIL-trial)",17617892,L47226081
"48-week study results show DRV's staying power.",17523243,L46837598
"2-Week triple therapy for Helicobacter pylori infection is better than 1-week in clinical practice: A large prospective single-center randomized study",17083378,L44674141
"Wet wrap bandages for 4 weeks did not differ from topical ointments but increased skin infections in paediatric atopic eczema: Commentary",,L44863171
"Efficacy of the protease inhibitors tipranavir plus ritonavir in treatment-experienced patients: 24-Week analysis from the RESIST-1 trial",17051503,L44706464
"Ritonavir-boosted tipranavir demonstrates superior efficacy to ritonavir-boosted protease inhibitors in treatment-experienced HIV-infected patients: 24-Week results of the RESIST-2 trial",17051504,L44706465
"One week of ciprofloxacin before percutaneous nephrolithotomy significantly reduces upper tract infection and urosepsis: A prospective controlled study",17034608,L44536462
"Resistance development over 144 weeks in treatment-naive patients receiving tenofovir disoproxil fumarate or stavudine with lamivudine and efavirenz in Study 903",16925730,L44269811
"Duloxetine in the long-term management of diabetic peripheral neuropathic pain: An open-label, 52-week extension of a randomized controlled clinical trial",,L46399664
"Tocolysis in women with preterm labor between 32 0/7 and 34 6/7 weeks of gestation: A randomized controlled pilot study",16580286,L43575229
"Phase III study of weekly high-dose infusional fluorouracil plus folinic acid with or without irinotecan in patients with metastatic colorectal cancer: European Organisation for Research and Treatment of Cancer Gastrointestinal Group Study 40986",,L46223990
"One-week versus two-week H(2)-receptor antagonist in combination with amoxicillin and tinidazole for eradication of Helicobacter pylori infection",16201128,L41391047
"One-week once-daily triple therapy with esomeprazole, levofloxacin and azithromycin compared to a standard therapy for Helicobacter pylori eradication",15996628,L44356069
"Systematic review and meta-analysis: Is 1-week proton pump inhibitor-based triple therapy sufficient to heal peptic ulcer?",15801914,L40477239
"Efficacy and safety of weekly dalbavancin therapy for catheter-related bloodstream infection caused by gram-positive pathogens",15668859,L40216504
"Alternation of antiretroviral drug regimens for HIV infection. Efficacy, safety and tolerability at week 96 of the Swatch Study",15651747,L40040262
"The effects of once- or thrice-weekly mupirocin application on mupirocin resistance in patients on continuous ambulatory peritoneal dialysis--first 6 months' experience.",15384797,L39416565
"A 42-week open-label study to assess the pharmacokinetics, antiretroviral activity, and safety of amprenavir or amprenavir plus ritonavir in combination with abacavir and lamivudine for treatment of HIV-infected patients",15356829,L39120942
"Two-weekly or 3-weekly CHOP chemotherapy with or without etoposide for the treatment of young patients with good-prognosis (normal LDH) aggressive lymphomas: Results of the NHL-B1 trial of the DSHNHL",14982884,L38970553
"Two-weekly or 3-weekly CHOP chemotherapy with or without etoposide for the treatment of elderly patients with aggressive lymphomas: Results of the NHL-B2 trial of the DSHNHL",15016643,L38970554
"Weekly pin-site care was as effective as daily care in patients with external fixation",,L39014340
"SOLO: 48-Week efficacy and safety comparison of once-daily fosamprenavir/ritonavir versus twice-daily nelfinavir in naive HIV-1-infected patients",15238771,L39037477
"Once-Weekly Administration of 50 mg Etanercept in Patients with Active Rheumatoid Arthritis: Results of a Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial",14872476,L38198818
"Once-Daily versus Twice-Daily Lopinavir/Ritonavir in Antiretroviral-Naive HIV-Positive Patients: A 48-Week Randomized Clinical Trial",14722892,L38147251
"Once-Weekly Dalbavancin versus Standard-of-Care Antimicrobial Regimens for Treatment of Skin and Soft-Tissue Infections",14583862,L37433624
"Interleukin-1β Genetic Polymorphism Influences the Effect of Cytochrome P 2C19 Genotype on the Cure Rate of 1-Week Triple Therapy for Helicobacter pylori Infection",14638340,L37448748
"Esomeprazole-based one-week triple therapy with clarithromycin and metronidazole is effective in eradicating Helicobacter pylori in the absence of antimicrobial resistance",14535873,L37323645
"One-week triple therapy with esomeprazole, clarithromycin and metronidazole provides effective eradication of Helicobacter pylori infection",12786632,L36774145
"Three-week versus four-week schedule of cisplatin and gemcitabine: Results of a randomized phase II study",12176787,L34885009
"Safety and antiviral activity at 48 weeks of lopinavir/ritonavir plus nevirapine and 2 nucleoside reverse-transcriptase inhibitors in human immunodeficiency virus type 1-infected protease inhibitor-experienced patients",11865416,L34171464
"Comparison of 1-week vs. 2- or 4-week therapy regimens with ranitidine bismuth citrate plus two antibiotics for Helicobacter pylori eradication",11552924,L32835560
"One-week ranitidine bismuth citrate-based triple therapy for the eradication of Helicobacter pylori in Hong Kong with high prevalence of metronidazole resistance",11207516,L32187563
"One-week triple therapy with esomeprazole provides effective eradication of Helicobacter pylori in duodenal ulcer disease",11121908,L32012433
"Impact of Helicobacter pylori antimicrobial resistance on the outcome of 1-week lansoprazole-based triple therapy",11000734,L30691239
