"Title","Medline PMID","PUI"
"A randomized controlled study comparing 14-day reverse hybrid and bismuth quadruple therapies for helicobacter pylori infection and impacts on clarithromycin resistance of gut microbiota",,L618670467
"The efficacy of pivmecillinam: 3 days or 5 days t.i.d against community acquired uncomplicated lower urinary tract infections - a randomized, double-blinded, placebo-controlled clinical trial study protocol",27905884,L613471887
"Neither 10- nor 14-Day Sequential Treatment is better than Standard Triple Therapy for Helicobacter Pylori Eradication",27898166,L617338449
"Sequential therapy for 10 days versus triple therapy for 14 days in the eradication of Helicobacter pylori in the community and hospital populations: A randomised trial",26338825,L605925851
"Home use of day-and-night hybrid closed-loop insulin delivery in suboptimally controlled adolescents with type 1 diabetes: A 3-week, free-living, randomized crossover trial",27612500,L613125683
"5-Day versus 10-day course of fluoroquinolones in outpatient males with a urinary tract infection (UTI)",28076247,L613299006
"Impact of caregivers' education regarding respiratory infections on the health status of day-care children: A randomized trial",27131288,L612765773
"A randomized controlled study of 5 and 10 days treatment with phenoxymethylpenicillin for pharyngotonsillitis caused by streptococcus group A - a protocol study",27618925,L612096559
"Combination therapy did not reduce 30-day treatment failure in patients with staphylococcus aureus bacteremia (SAB)",,L627805176
"Ten-day empirical sequential or concomitant therapy is more effective than triple therapy for Helicobacter pylori eradication: A multicenter, prospective study",27257049,L610888990
"Randomized clinical trial comparing ten day concomitant and sequential therapies for Helicobacter pylori eradication in a high clarithromycin resistance area",27134145,L610175841
"Rifabutin-based 10-day and 14-day triple therapy as a third-line and fourth-line regimen for Helicobacter pylori eradication: A pilot study",,L610662892
"Comparison of single dose of cefazolion versus single dose of cefazolin plus seven days cephalexin prophylactic therapy in postoperative infections after elective cesarean section and immediate adverse effect of antibiotic on infants",,L611888911
"The Effectiveness of a Three Day Course Antibiotic Post-urodynamic Study in Preventing Lower Urinary Tract Infection",27550876,L616505526
"Both 14-day hybrid and bismuth containing quadruple therapies cure most patients with helicobacter pylori infection in populations with moderate antibiotic resistance-a randomized controlled trial",,L72269448
"Randomized clinical trial comparing 10-day sequential, 7-day concomitant and 7-day standard triple therapies for Helicobacter pylori eradication",26862930,L608296978
"Effect of IL-1 Polymorphisms, CYP2C19 Genotype and Antibiotic Resistance on Helicobacter pylori Eradication Comparing Between 10-day Sequential Therapy and 14-day Standard Triple Therapy with Four-Times-Daily-Dosing of Amoxicillin in Thailand: a Prospective Randomized Study",27221874,L614862765
"A comparison study between 10 and 14 days of triple therapy for eradication of helicobacter pylori",,L627783612
"Fourteen-day optimized levofloxacin-based therapy versus classical quadruple therapy for Helicobacter pylori treatment failures: A randomized clinical trial",25881966,L605228934
"Comparison of surgical site infection rate in case of penetrating hollow viscus injury after perioperative antibiotics use for 24 hours versus 5 days",,L608591691
"Methods of a double-blind randomized controlled clinical trial of three versus five days amoxicillin dispersible tablets for chest-indrawing pneumonia among children 2-59 months of age presenting to kamuzu central hospital in Lilongwe, Malawi",,L613369493
"Orthognathic surgery and postoperative antibiotic use: 1-day vs. 3-day prospective trial",,L620236781
"Prospective trial in Saudi Arabia comparing the 14-day standard triple therapy with the 10-day sequential therapy for treatment of Helicobacter pylori infection",26228365,L605455711
"Safety and efficacy of alternative antibiotic regimens compared with 7 day injectable procaine benzylpenicillin and gentamicin for outpatient treatment of neonates and young infants with clinical signs of severe infection when referral is not possible: A randomised, open-label, equivalence trial",25841891,L603551543
"Pidotimod for the prevention of acute respiratory infections in healthy children entering into daycare: A double blind randomized placebo-controlled study",25931316,L604272953
"Seven-day quintuple regimen as a rescue therapy for Helicobacter pylori eradication",25593496,L601390538
"Single-dose compared with multiple day antibiotic prophylaxis for cesarean section in low-resource settings, a randomized controlled, noninferiority trial",25263498,L600971398
"Single-dose oritavancin versus 7-10 days of vancomycin in the treatment of gram-positive acute bacterial skin and skin structure infections: The SOLO II noninferiority study",25294250,L603143384
"Comparison of 1-day versus 1-hour application of topical neomycin/polymyxin-B before cataract surgery",25840297,L603576609
"Seven-day nonbismuth containing quadruple therapy could achieve a grade a success rate for first-line helicobacter pylori eradication",26090428,L604707970
"A randomised clinical trial of 10-day concomitant therapy and standard triple therapy for Helicobacter pylori eradication",25132282,L53286099
"12-day reverse hybrid therapy versus 12-day standard triple therapy for Helicobacter pylori infection-a multi-center, randomized, controlled trial",,L71748219
"Antibiotic prophylaxis for transrectal prostate biopsy: a comparison of one-day and five-day regimen",25331236,L603165173
"Three days of perioperative antibiotic prophylaxis in neonates: Is it sufficient?",,L71626554
"Thesis study to optimize peritoneal infection therapy (stop-it) trial: Four days of antibiotics result in similar outcomes compared to duration based on resolution of physiological response",,L71437576
"A prospective, randomized study comparing minilaparotomy and laparoscopic cholecystectomy as a day-surgery procedure: 5-Year outcome",24196543,L372598065
"Feasibility of Shortening 14-day Hybrid Therapy While Maintaining an Excellent Helicobacter pylori Eradication Rate",24612093,L372927343
"Levofloxacin-amoxicillin/clavulanate-rabeprazole versus a standard seven-day triple therapy for eradication of helicobacter pylori infection",24995271,L373428515
"A comparison between 15-day sequential, 10-day sequential and proton pump inhibitor-based triple therapy for Helicobacter pylori infection in Korea",24988873,L373557578
"A comparative study of 10-day furazolidone-containing triple and quadruple therapy as rescue therapy for helicobacter pylori infection",,L373655116
"Randomized controlled trial comparing 7-day triple, 10-day sequential, and 7-day concomitant therapies for Helicobacter pylori infection",25070099,L600056768
"Comparison of 10-day and 14-day furazolidone-containing quadruple salvage therapies for Helicobacter pylori eradication",,L372142826
"A multicenter, randomized, prospective study of 14-day ranitidine bismuth citrate-vs. lansoprazolebased triple therapy for the eradication of Helicobacter pylori in dyspeptic patients",24254262,L370113376
"Effect of fluoroquinolone resistance on 14-day levofloxacin triple and triple plus bismuth quadruple therapy",23581720,L369581136
"Daily vs every other day administration of G-CSF following autologous peripheral stem cell transplantation: A prospective randomized study",23422652,L52446900
"T.E.A. Study: Three-day ertapenem versus three-day Ampicillin-Sulbactam",23631512,L52564819
"Twice a day quadruple therapy for the first-line treatment of Helicobacter pylori in an area with a high prevalence of background antibiotic resistance.",23650780,L369135547
"Nonbismuth quadruple ""concomitant"" therapy versus standard triple therapy, both of the duration of 10 days, for first-line H. Pylori eradication: A randomized trial",22858517,L52144820
"Comparison of clinical efficacy between 3-day combined clavulanate/ amoxicillin preparation treatment and 10-day amoxicillin treatment in children with pharyngolaryngitis or tonsillitis",22760341,L52094966
"Comparison of 10 day bismuth quadruple therapy with high-dose metronidazole or levofloxacin for second-line helicobacter pylori therapy: A randomized controlled trial",22984204,L366286391
"28-Day safety and tolerability of umeclidinium in combination with vilanterol in COPD: A randomized placebo-controlled trial",22955035,L52223615
"Ten-day sequential versus triple therapy for Helicobacterpylori eradication: A prospective, open-label, randomized trial",22849546,L365955061
"A pilot randomised controlled trial in intensive care patients comparing 7 days' treatment with empirical antibiotics with 2 days' treatment for hospital-acquired infection of unknown origin",23010339,L365811357
"The efficacy of second-line anti-helicobacter pylori therapy using an extended 14-day levofloxacin/amoxicillin/proton-pump inhibitor treatment - a pilot study",22967121,L365646987
"First-day step-down to oral outpatient treatment versus continued standard treatment in children with cancer and low-risk fever in neutropenia. A randomized controlled trial within the multicenter SPOG 2003 FN study",22271702,L365251996
"Levofloxacin versus clarithromycin in a 10 day triple therapy regimen for first-line helicobacter pylori eradication: A single-blind randomized clinical trial",22687889,L365507737
"Early-Onset Ventilator-Associated Pneumonia in Adults Randomized Clinical Trial: Comparison of 8 versus 15 Days of Antibiotic Treatment",22952580,L365552208
"Five versus seven day antibiotic course for the treatment of pneumonia in the intensive care unit",,L71993245
"CANVAS 1 and 2: Analysis of clinical response at day 3 in two phase 3 trials of ceftaroline fosamil versus vancomycin plus aztreonam in treatment of acute bacterial skin and skin structure infections",22314524,L364666204
"Ten-day sequential therapy is more effective than proton pump inhibitor-based therapy in Korea: A prospective, randomized study",21916989,L364309036
"Zinc as adjunct treatment in infants aged between 7 and 120 days with probable serious bacterial infection: A randomised, double-blind, placebo-controlled trial",22656335,L364903604
"Efficacy of 5-day levofloxacin-containing concomitant therapy in eradication of helicobacter pylori infection",22484118,L365091902
"Ciprofl oxacin for 7 days versus 14 days in women with acute pyelonephritis: A randomised, open-label and double-blind, placebo-controlled, non-inferiority trial",22726802,L52073373
"Randomized trial on 14 versus 7 days of esomeprazole, moxifloxacin, and amoxicillin for second-line or rescue treatment of Helicobacter pylori infection",22059392,L362898577
"Randomised clinical trial: The efficacy of a 10-day sequential therapy vs. a 14-day standard proton pump inhibitor-based triple therapy for Helicobacter pylori in Korea",21923713,L51654018
"Prospective randomized study of efficacy of 1-day versus 3-day antibiotic prophylaxis for preventing surgical site infection after coronary artery bypass graft",21982465,L51618359
"""7, 10 and 14-days rabeprazole-based standard triple therapies for H. pylori eradication: Are they still effective? a randomized trial""",22103045,L362706167
"Evaluation of short-term clinical efficacy of 3-day therapy with azithromycin in comparison with 5-day cefcapene-pivoxyl for acute streptococcal tonsillopharyngitis in primary care",21249415,L51238958
"Single-dose extended-release azithromycin versus a 10-day regimen of amoxicillin/clavulanate for the treatment of children with acute otitis media",21269858,L51245674
"Short course versus 7-day course of intravenous antibiotics for probable neonatal septicemia: A pilot, open-label, randomized controlled trial",20972299,L361595769
"5 versus 10 days of treatment with ceftriaxone for bacterial meningitis in children: A double-blind randomised equivalence study",21620467,L51442708
"14-day triple, 5-day concomitant, and 10-day sequential therapies for Helicobacter pylori infection in seven Latin American sites: A randomised trial",21777974,L51531014
"Comparison of 3-day and 7-day ciprofloxacin regimen for the treatment of uncomplicated urinary tract infection in women: A randomized double-blind clinical trial",,L364267249
"A randomized comparative study of single-dose fosfomycin and 5-day ciprofloxacin in female patients with uncomplicated lower urinary tract infections",20585969,L50972622
"Routine resite of peripheral intravenous devices every 3 days did not reduce complications compared with clinically indicated resite: A randomised controlled trial",20831782,L359666806
"Antimicrobial resistance of H. pylori to the outcome of 10-days vs. 7-days Moxifloxacin based therapy for the eradication: A randomized controlled trial",20398300,L50878340
"A prospective, multicenter, randomized trial for duration of the prophylactic antibiotics after elective colorectal surgery: 3 Days versus 5 days",,L358868402
"Single-Dose Versus Single-Day Antibiotic Prophylaxis for Orthognathic Surgery: A Prospective, Randomized, Double-Blind Clinical Study",20116706,L358098452
"High efficacy of 14-day triple therapy-based, bismuth-containing quadruple therapy for initial helicobacter pylori eradication",20557366,L358798592
"One-day application of topical moxifloxacin 0.5% to select for fluoroquinolone-resistant coagulase-negative Staphylococcus",19781465,L355290578
"Treatment duration of febrile urinary tract infection (FUTIRST trial): A randomized placebo-controlled multicenter trial comparing short (7 days) antibiotic treatment with conventional treatment (14 days)",19691829,L355207956
"1 Day of nitrofurantoin was not as effective as 7 days for asymptomatic bacteriuria in pregnancy",,L355048336
"A multicenter study of valganciclovir prophylaxis up to day 120 in CMV-Seropositive lung transplant recipients",19344437,L354515888
"Prospective, randomized trial of 10 days versus 30 days of antimicrobial treatment, including a short- term course of parenteral therapy, for childhood septic arthritis",19323633,L354644209
"One preoperative dose randomized against 3-day antibiotic prophylaxis for transrectal ultrasonography-guided prostate biopsy",19021604,L354404124
"Besifloxacin ophthalmic suspension 0.6% in patients with bacterial conjunctivitis: A multicenter, prospective, randomized, double-masked, vehicle-controlled, 5-day efficacy and safety study",19393842,L354486862
"Alcohol-based hand-disinfection reduced children's absence from Swedish day care centers",18945282,L352637206
"Current indications for laparoscopy in day-case surgery",19112057,L50374907
"Prospective assessment of the efficacy of single dose versus traditional 3-day antimicrobial prophylaxis in 12-core transrectal prostate biopsy",18721198,L352568434
"The role of preoperative antibiotics in the prevention of wound infection after day case surgery for inguinal hernia in children in Ile Ife, Nigeria",18726104,L50250714
"Pharmacodynamic analysis and clinical trial of amoxicillin sprinkle administered once daily for 7 days compared to penicillin V potassium administered four times daily for 10 days in the treatment of tonsillopharyngitis due to Streptococcus pyogenes in children",18332170,L351915683
"A prospective, double-blind, multicenter, randomized trial comparing ertapenem 3 Vs 5 days in community-acquired intraabdominal infection",17846853,L351214637
"7 Days of treatment good for Helicobacter pylori",,L351281184
"A Double-Blind, Randomized Comparison of Levofloxacin 750 mg Once-Daily for Five Days With Ciprofloxacin 400/500 mg Twice-Daily for 10 Days for the Treatment of Complicated Urinary Tract Infections and Acute Pyelonephritis",18242357,L351173271
"Comparison of 5 day short-course therapies for secondary infection in patients with chronic respiratory disease using gatifloxacin and levofloxacin",,L350302122
"10 day sequential therapy was more effective than 10 day triple drug therapy for eradicating Helicobacter pylori infection",,L47611219
"Efficacy and safety of Saccharomyces boulardii in the 14-day triple anti-helicobacter pylori therapy: A prospective randomized placebo-controlled double-blind study",17669103,L47196340
"Comparison of a 3-day with a 1-day regimen of an extended-release formulation of ciprofloxacin as antimicrobial prophylaxis for patients undergoing transrectal needle biopsy of the prostate",17552953,L46878540
"Three vs. 10 days of amoxycillin-clavulanic acid for type 1 acute exacerbations of chronic obstructive pulmonary disease: A randomised, double-blind study",17391383,L46603359
"Can Helicobacter pylori eradication therapy be shortened to 4 days?: Commentary",,L46454789
"Is continuous infusion ceftriaxone better than once-a-day dosing in intensive care? A randomized controlled pilot study",17135183,L47072068
"Efficacy and safety of 3-day azithromycin versus 5-day moxifloxacin for the treatment of acute bacterial exacerbations of chronic bronchitis",17189096,L44959787
"Randomized controlled trial of 7-day vs. 14-day antibiotics for neonatal sepsis",17030532,L44964231
"Single-dose metronidazole vs 5-day multi-drug antibiotic regimen in excision of pilonidal sinuses with primary closure: A prospective, randomized, double-blinded pilot study",16362397,L44446073
"Randomized double-blind study comparing 7- and 10-day regimens of faropenem medoxomil with a 10-day cefuroxime axetil regimen for treatment of acute bacterial sinusitis",17011409,L44462785
"A pilot study of 1 versus 3 days of dexamethasone as add-on therapy in children with streptococcal pharyngitis",16732143,L43863355
"7-Day triple therapy of Helicobacter pylori infection with levofloxacin, amoxicillin, and high-dose esomeprazole in patients with known antimicrobial sensitivity",16423088,L43468614
"Use of prophylactic antibiotics in a paediatric day-case surgery at NAUTH, Nnewi, Nigeria: A randomized double-blinded study",16483435,L43242240
"Granulocyte-colony-stimulating factor-mobilized prophylactic granulocyte transfusions given after allogeneic peripheral blood progenitor cell transplantation result in a modest reduction of febrile days and intravenous antibiotic usage",16398726,L43381780
"A study of 4- and 7-day triple therapy with rabeprazole, high-dose levofloxacin and tinidazole rescue treatment for Helicobacter pylori eradication",16393308,L43382038
"Antibiotic prophylaxis in day surgery in dermatology",16166930,L41503791
"Acute uncomplicated lower urinary tract infections in general practice: Clinical and microbiological cute rates after three- versus five-day treatment with trimethoprim",16392777,L41535007
"Prospective randomized comparison of single-dose versus 1-day cefazolin for prophylaxis in gynecologic surgery",15762971,L40478190
"Household-based costs and benefits of vaccinating healthy children in daycare against influenza virus: Results from a pilot study",15693728,L40194009
"A 10-day levofloxacin-based therapy in patients with resistant Helicobacter pylori infection: A controlled trial",15551252,L39539749
"Open, randomized multicenter comparative trial of rabeprazole, ofloxacin and amoxicillin therapy for Helicobocter pylori eradication: 7 vs. 14 day treatment",15361080,L39273945
"Double-blind, randomized study of the efficacy and safety of oral pharmacokinetically enhanced amoxicillin-clavulanate (2,000/125 milligrams) versus those of amoxicillin-clavulanate (875/125 milligrams), both given twice daily for 7 days, in treatment of bacterial community-acquired pneumonia in adults",15328092,L39129326
"A prospective, randomized trial of 3 or 14 days of ciprofloxacin treatment for acute urinary tract infection in patients with spinal cord injury",15356779,L39180437
"Comparison of short-course (5 days) and standard (10 days) treatment for uncomplicated cellulitis",15302637,L39037946
"Gemifloxacin once daily for 7 days compared to amoxicillin/clavulanic acid thrice daily for 10 days for the treatment of community-acquired pneumonia of suspected pneumococcal origin",15303634,L38842773
"Seven-day therapy for Helicobacter pylori in the United States",15225176,L38938723
"Evaluation of 5-day therapy with telithromycin, a novel ketolide antibacterial, for the treatment of tonsillopharyngitis",15214873,L39077048
"3 Days ciprofloxacin adequate for UTI in older women",,L38738109
"Comparison of hospitalization rates in patients with community-acquired pneumonia treated with telithromycin for 5 or 7 days or clarithromycin for 10 days",15140341,L38685020
"Comparison of hospitalization rates in patients with community-acquired pneumonia treated with 10 days of telithromycin or clarithromycin",15140342,L38685021
"A prospective randomized trial of 1-day versus 3-day antibiotic prophylaxis for transrectal ultrasound guided prostate biopsy.",15182413,L39002428
"Eradication of Helicobacter pylori by 7-Day Triple-Therapy Regimens Combining Pantoprazole with Clarithromycin, Metronidazole, or Amoxicillin in Patients with Peptic Ulcer Disease: Results of Two Double-Blind, Randomized Studies",14632678,L37553437
"Comparison of rabeprazole-based four- and seven-day triple therapy and omeprazole-based seven-day triple therapy for Helicobacter pylori infection in patients with peptic ulcer",14976565,L38578657
"Comparison of 8 vs 15 Days of Antibiotic Therapy for Ventilator-Associated Pneumonia in Adults: A Randomized Trial",14625336,L37443289
"Comparison of 5 days of extended-release clarithromycin versus 10 days of penicillin V for the treatment of streptococcal pharyngitis/tonsillitis: Results of a multicenter, double-blind, randomized study in adolescent and adult patients",13678479,L36994445
"Ertapenem once a day versus piperacillin-tazobactam every 6 hours for treatment of acute pelvic infections: A prospective, multicenter, randomized, double-blind study",12839630,L36604819
"Vaccination of day-care center attendees reduces carriage of Streptococcus pneumoniae among their younger siblings",12799509,L36782192
"Safety and efficacy of 7-day rabeprazole- and omeprazole-based triple therapy regimens for the eradication of Helicobacter pylori in patients with documented peptic ulcer disease",12694089,L36560807
"A comparison of 5-day courses of dirithromycin and azithromycin in the treatment of acute exacerbations of chronic obstructive pulmonary disease",12749513,L36286919
"Low Helicobacter pylori eradication rates with 4- and 7-day regimens in an Iranian population",12519218,L36062581
"Etiology of acute otitis media in childhood and evaluation of two different protocols of antibiotic therapy: 10 Days cefaclor vs. 3 days azitromycin",12560149,L36135764
"Triple therapy for 7 days vs. triple therapy for 7 days plus omeprazole for 21 days in treatment of active duodenal ulcer with Helicobacter pylori infection. A double blind placebo controlled trial",12725603,L36546658
"The impact of selected environmental factors on the morbidity of children in day-care centres",12523214,L35462290
"Spread of Streptococcus pneumoniae and antibiotic-resistant S. pneumoniae from day-care center attendees to their younger siblings",12447737,L35379638
"Single-dose metronidazole versus 5-day multi-drug antibiotic regimen in excision of pilonidal sinuses with primary closure: A prospective randomised controlled double-blinded study",12420730,L36067770
"A comparative study of hypertonic saline, daily and alternate-day rhDNase in children with cystic fibrosis",,L36138897
"Seven days vs. 10 days ceftriaxone therapy in bacterial meningitis",12405169,L35189763
"Three days of antibiotics as good as five days for childhood pneumonia",,L35153856
"Three days of pivmecillinam or norfloxacin for treatment of acute uncomplicated urinary infection in women",12195873,L34906138
