"Title","Publication Year","Medline PMID","PUI"
"A randomized comparison of fluconazole with amphotericin b as empiric anti-fungal agents in cancer patients with prolonged fever and neutropenia","1998",9870832,L29013332
"Prophylactic amnioinfusion in pregnancies complicated by chorioamnionitis: A prospective randomized trial","1998",10333390,L29191154
"Empiric monotherapy for febrile neutropenia - A randomized study comparing meropenem with ceftazidime","1998",9790130,L28461591
"Cefepime versus imipenem-cilastatin as empirical monotherapy in 400 febrile patients with short duration neutropenia","1998",9818751,L28473012
"A randomized clinical trial to compare the efficacy of erythromycin, ampicillin and tetracycline for the treatment of cholera in children","1998",9850410,L28409905
"Single-dose amoxycillin-clavulanic acid vs. ampicillin prophylaxis in emergency cesarean section","1998",,L28423048
"A prospective randomized trial comparing the use of omeprazole-based dual and triple therapy for eradication of Helicobacter pylori","1998",9732921,L29075178
"A comparison of 10 and 14 days of lansoprazole triple therapy for eradication of Helicobacter pylori","1998",9701099,L28371188
"Safety and toxicity of amphotericin B in glucose 5% or intralipid 20% in neutropenic patients with pneumonia or fever of unknown origin: Randomised study","1998",9694753,L28359309
"The role of oral antimicrobials for the management of intra-abdominal infections","1998",9654311,L28292772
"Monotherapy with piperacillin/tazobactam versus combination therapy with ceftazidime plus amikacin as an empiric therapy for fever in neutropenic cancer patients","1998",9695210,L28337133
"Prospective randomized trial of meropenem versus cefotaxime and metronidazol in the treatment of intraabdominal infections","1998",9706600,L28417112
"Prophylactic antibiotics administration head and neck cancer surgery with major flap reconstruction: 1-day cefoperazone versus 5-day cefotaxime","1998",9666577,L28260565
"Staphylococcus aureus prophylaxis in hemodialysis patients using central venous catheter: Effect of mupirocin ointment","1998",9621293,L28264737
"An open-label, multicentre, randomised phase 2 study of recombinant human granulocyte colony-stimulating factor (filgrastim) as an adjunct to combination chemotherapy in paediatric patients with metastatic neuroblastoma","1998",9849455,L28308347
"A double-blind placebo-controlled trial of granulocyte colony- stimulating factor in elderly patients with previously untreated acute myeloid leukemia: A Southwest Oncology Group Study (9031)","1998",9572995,L28225726
"Sodium selenite as prophylaxis against erysipelas in secondary lymphedema","1998",9703790,L28386495
"Short duration therapy for Helicobacter pylori in Western Australia: The impact of metronidazole resistance","1998",9544380,L28131486
"Prophylactic antibiotics for tonsillectomy: Experience at Rawalpindi General Hospital","1998",,L28116586
"The lack of therapeutic effect of Saccharomyces boulardii in the prevention of antibiotic-related diarrhoea in elderly patients","1998",9570649,L1028165587
"Amoxicillin/metronidazole/omeprazole/clarithromycin: a new, short quadruple therapy for Helicobacter pylori eradication.","1998",9546119,L128242084
"Randomized, placebo-controlled, multicenter trial of granulocyte- macrophage colony-stimulating factor as infection prophylaxis in oncologic surgery","1998",9508204,L28108754
"Selective use of vancomycin to prevent coagulase-negative staphylococcal nosocomial bacteremia in high risk very low birth weight infants","1998",9535242,L28146056
"Metronidazole prophylaxis to prevent infections after total abdominal hysterectomy","1998",9492731,L28062376
"Antimicrobial durability and rare ultrastructural colonization of indwelling central catheters coated with minocycline and rifampin","1998",9468157,L28082681
"Duration of antimicrobial prophylaxis in vascular surgery","1998",9515521,L28132896
"Therapeutic use of colony stimulating factors for established neutropenic fever.","1998",9505567,L128238194
"Prophylaxis of Radiochemotherapy-induced mucositis. Efficacy of the prophylactic oral rinsing with povidone-iodine solution","1998",9524624,L28131156
"A randomized comparison of one-dose versus two-dose antibiotic prophylaxis in gynaecologic surgery lasting over two hours","1998",,L28188049
"A randomized, double-blind clinical trial comparing cefepime plus metronidazole with imipenem-cilastatin in the treatment of complicated intra- abdominal infections","1997",9403533,L28007159
"A trial of various regimens of antibiotics in acute appendicitis.","1997",9612103,L128272673
"Duration of fever and its relationship to bacteremia in febrile outpatients three to 36 months old","1997",9368242,L27469209
"Age-dependent eradication of Helicobacter pylori with dual therapy","1997",9305480,L27376359
"Single-dose antibiotic prophylaxis in women undergoing elective caesarean section","1997",10968046,L27328729
"One bolus dose of gentamicin and early oral therapy versus cefotaxime and subsequent oral therapy in the treatment of febrile urinary tract infection","1997",9248749,L27343339
"Dexamethasone as an adjunctive treatments of bacterial meningitis","1997",10771881,L27339843
"Prospective, randomized comparison of ampicillin/sulbactam and cefoxitin for diabetic foot infections","1997",,L27315361
"A study on prophylactic antibiotics in cesarean sections - Is it worthwhile?","1997",9246960,L27279607
"Ampicillin/sulbactam versus cefotetan for the prevention of infection following cesarean delivery in high-risk patients: A randomized double-blind trial","1997",9251949,L27338617
"Prevention of wound infection in elective colorectal surgery by local application of a gentamicin-containing collagen sponge","1997",9167147,L27213786
"Protective effect of intravenously administered cefuroxime against nosocomial pneumonia in patients with structural coma","1997",9154884,L27216685
"Chemoprophylaxis with ciprofloxacin in ovarian cancer patients receiving paclitaxel: A randomized trial","1997",9159346,L27216949
"Antibiotic therapy for diabetic foot infections: Comparison of two parenteral-to-oral regimens","1997",9145738,L27143558
"Decrease in nosocomial pneumonia in ventilated patients by selective oropharyngeal decontamination (SOD)","1997",9069004,L27110395
"Meropenem (Merrem®) vs imipenem/cilastatin for the hospital treatment of intra-abdominal infections. A multicentre study","1997",9148225,L27140063
"Prospective, randomized comparison of intravenous and oral ciprofloxacin with intravenous ceftazidime in the treatment of nosocomial pneumonia","1997",,L27223538
"rhGM-CSF vs placebo following rhGM-CSF-mobilized PBPC transplantation: A phase III double-blind randomized trial","1997",9028547,L27077474
"C-reactive protein is a useful marker for guiding duration of antibiotic therapy in suspected neonatal bacterial infection","1997",9024449,L27148873
"Clinical investigation of topical antimicrobials in healthy volunteers","1997",8997462,L27030062
"Cost-effectiveness of ampicillin/sulbactam versus imipenem/cilastatin in the treatment of limb-threatening foot infections in diabetic patients","1997",8994756,L27023673
"Randomized, controlled trial of selective digestive decontamination in 600 mechanically ventilated patients in a multidisciplinary intensive care unit","1997",8989178,L27015041
"Randomized open label phase III trial of CEOP/IMVP-Dexa alternating chemotherapy and filgrastim versus CEOP/IMVP-Dexa alternating chemotherapy for aggressive non-Hodgkin's lymphoma (NHL). A multi-center trial by the Austrian Working Group For Medical Tumor Therapy","1997",9402845,L27496959
"A comparison of imipenem/cilastatin with the combination of cefuroxime and metronidazole in the treatment of intra-abdominal infections","1996",8953684,L26393597
"Significant increase in eradication rates of Helicobacter pylori infection with two consecutive dual therapies (omeprazole and amoxycillin or omeprazole and clarithromycin). A randomized study in 450 Spanish patients","1996",8959519,L27026298
"Surveillance of a new antibiotic as a means to study antibiotic treatment of common conditions in general practice","1996",,L27094872
"Cardiovascular adverse effects of antimicrobials in complex surgical cases","1996",8908465,L26341414
"Effect of subcutaneous tunneling on internal jugular catheter-related sepsis in critically ill patients: A prospective randomized multicenter study","1996",8892717,L26365848
"Percutaneous feeding tube changes in long-term-care facility patients.","1996",8934240,L127196871
"Risk factors for wound infection following elective cholecystectomy.","1996",9094866,L127247058
"Clinical amnionitis and endometritis in patients with premature rupture of membranes: Endocervical prostaglandin E(2) gel versus oxytocin for induction of labor","1996",8841214,L26326014
"Prospective, randomized, controlled study comparing two dosing regimens of gentamicin/oral ciprofloxacin switch therapy for acute pyelonephritis","1996",8879853,L26306528
"Piperacillin to prevent cholangitis after endoscopic retrograde cholangiopancreatography. A randomized, controlled trial.","1996",8779455,L126269299
"Randomised comparison of ceftazidime and imipenem as initial monotherapy for febrile episodes in neutropenic cancer patients","1996",8983283,L26306886
"Ceftriaxone versus cefazolin with probenecid for severe skin and soft tissue infections","1996",8933313,L26376536
"Effect of changing gloves before placental extraction on incidence of postcesarean endometritis","1996",,L26256761
"Efficacy of antibiotic prophylaxis for prevention of Lyme disease","1996",8803738,L26230754
"Six-day amoxicillin vs. ten-day penicillin V therapy for group A streptococcal tonsillopharyngitis","1996",8858671,L26271975
"Current and future management of serious skin and skin-structure infections","1996",8678103,L26242313
"Clinical experience with single agent and combination regimens in the management of infection in the febrile neutropenic patient","1996",8678102,L26243599
"Wound drainage after mastoidectomy","1996",,L26146421
"Randomized cross-over comparison of liposomal daunorubicin versus observation for early Kaposi's sarcoma","1996",8724043,L26138657
"Initial therapy of nosocomial pneumonia. Cost benefit comparison of various initial therapies","1996",,L26129058
"Efficacy of norfloxacin and doxycycline for treatment of Vibrio cholerae O139 infection","1996",9182114,L26116972
"Comparative safety and efficacy of sparfloxacin in the treatment of acute exacerbations of chronic obstructive pulmonary disease: A double-blind, randomised, parallel, multicentre study","1996",8737129,L26158809
"Prospective randomized open study between ciprofloxacin and a combination of sulfadiazine and trimethoprim in antibiotic prophylaxis in connection with transurethral prostatectomy","1996",8727863,L26109379
"A randomised study on the impact of peroral amoxicillin in women with prelabour rupture of membranes preterm","1996",8838964,L26055555
"Management of premature rupture of the membranes after 34 weeks' gestation - Early versus delayed induction of labour","1996",8658299,L26134753
"Randomized comparison between antibiotics alone and antibiotics plus granulocyte-macrophage colony-stimulating factor (Escherichia coli-derived) in cancer patients with fever and neutropenia","1996",8579082,L26049321
"Long-term follow-up of symptomatic HIV-infected patients originally randomized to early versus later zidovudine treatment: Report of a Veterans Affairs Cooperative Study","1996",8556396,L26042655
"Double-blind comparison of cefazolin and ceftizoxime for prophylaxis against infections following elective biliary tract surgery","1996",8787882,L26019680
"Cure of Helicobacter pylori infection: Role of duration of treatment with omeprazole and amoxicillin","1996",8561153,L26026045
"Comparative study of cost/effectivity ratio of an initial therapy with imipenem/cilastatin in nosocomial pneumonia","1996",8672620,L26164616
"Short-term versus long-term antimicrobial prophylaxis in oncologic head and neck surgery","1996",8864730,L26268838
"Pharmacoeconomic comparison of cefepime vs. Ceftazidime in septic patients","1996",,L27203392
"The role of intragastric acidity and stress ulcus prophylaxis on colonization and infection in mechanically ventilated ICU patients: A stratified, randomized, double-blind study of sucralfate versus antacids","1995",8520743,L25357973
"Carboplatin combined with amifostine, a bone marrow protectant, in the treatment of non-small-cell lung cancer: A randomised phase II study","1995",8519676,L26002673
"Safety and effectiveness of long-term interferon gamma therapy in patients with chronic granulomatous disease","1995",8673477,L26083521
"Preventing pneumococcal bacteremia in patients at risk: Results of a matched case-control study","1995",7487259,L25349482
"Efficacy of ciprofloxacin in enteric fever: Comparison of treatment duration in sensitive and multidrug-resistant Salmonella","1995",7573719,L25303494
"Randomized, controlled trial of amoxicillin prophylaxis for prevention of catheter-related infections in newborn infants with central venous silicone elastomer catheters","1995",7562288,L25304611
"Azithromycin E for empirical treatment of the nongonococcal urethritis syndrome in Men: A randomized double-blind study","1995",7629982,L25244571
"Oral ciprofloxacin as prophylaxis in gastroduodenal surgery","1995",8522777,L25236775
"Do neonates with Meconium Aspiration Syndrome require antibiotics?","1995",10829886,L25200247
"Clinical trial of vitamin A as adjuvant treatment for lower respiratory tract infections","1995",7752011,L25158260
"Prophylactic administration of granulocyte colony-stimulating factor (filgrastim) after conventional chemotherapy in children with cancer","1995",7542114,L25152129
"Oral versus intravenous antibiotics for community acquired lower respiratory tract infection in a general hospital: Open, randomised controlled trial","1995",7787537,L25159845
"Antibiotic prophylaxis for infectious complications after therapeutic endoscopic retrograde cholangiopancreatography: A randomized, double-blind, placebo-controlled study","1995",7620004,L25155385
"Multicenter trial of cefpodoxime proxetil vs. amoxicillin-clavulanate in acute lower respiratory tract infections in childhood","1995",7792126,L25120086
"A large randomized clinical trial of a silver-impregnated urinary catheter: Lack of efficacy and staphylococcal superinfection","1995",7709947,L25116354
"Prospective randomized comparison of cefepime and cefotaxime for treatment of bacterial meningitis in infants and children","1995",7785999,L25109717
"A prospective study of perioperative antibiotic prophylaxis in reducing the rate of nosocomial infection among patients with intracranial tumors","1995",7648641,L125102138
"A randomized, double-blind, placebo-controlled trial of selective digestive decontamination in a medical-surgical intensive care unit","1995",7795086,L25112292
"Cefprozil, a new cephalosporin: Its use in various clinical trials","1995",7886533,L25083232
"Once-weekly administration of dapsone/pyrimethamine vs. aerosolized pentamidine as combined prophylaxis for Pneumocystis carinii pneumonia and toxoplasmic encephalitis in human immunodeficiency virus-infected patients","1995",7756472,L25076164
"Central venous catheter-related infections after bone marrow transplantation in patients with malignancies: A prospective study with short-course vancomycin prophylaxis","1995",7742759,L25074407
"Roxithromycin 150 mg b.i.d. Versus amoxycillin 500 mg/clavulanic acid 125 mg t.i.d. for the treatment of lower respiratory tract infections in general practice","1995",7782110,L25065290
"Two different dosages of cefotaxime in the treatment of spontaneous bacterial peritonitis in cirrhosis: Results of a prospective, randomized, multicenter study","1995",7875666,L25073774
"A randomised trial of octreotide vs best supportive care only in advanced gastrointestinal cancer patients refractory to chemotherapy","1995",7819058,L25024434
"Prophylactic antibiotic therapy with amoxicillin-clavulanic acid in oropharyngeal surgery","1995",7734163,L125059001
"A simplified approach to urinary tract infection","1995",7852463,L25055975
"Antibiotic prophylaxis in gynecologic surgery","1994",7778797,L125078161
"Efficacy and safety of pidotimod in the treatment of recurrent respiratory infections in children","1994",7857347,L25225161
"Therapeutic efficacy and safety of pidotimod in the treatment of urinary tract infections in children","1994",7857349,L25225162
"Pidotimod in the management of recurrent pharyngotonsillar infections in childhood","1994",7857354,L25225167
"Pidotimod in the treatment of recurrent respiratory infections in paediatric patients","1994",7857348,L25227969
"Preventive antibiotic usage in traumatic thoracic injuries requiring closed tube thoracostomy","1994",7956409,L24346117
"Randomized study comparing 1 with 2 weeks of quadruple therapy for eradicating Helicobacter pylori","1994",7942724,L24334239
"Single-dose fosfomycin trometamol versus 5-day cephalexin regimen for treatment of uncomplicated lower urinary tract infections in women","1994",7872756,L24332595
"Comparison of imipenem versus cefuroxim plus tobramycin as empirical therapy for febrile granulocytopenic patients and efficacy of vancomycin and aztreonam in case of failure","1994",7855556,L24321304
"The use of ceftriaxone in the prevention of urinary tract infection in patients undergoing transurethral resection of the prostate (TUR-P)","1994",7843814,L24316422
"A clinical and economic comparison of roxithromycin 150 mg twice daily vs amoxicillin 500 mg/clavulanic acid 125 mg three times daily for the treatment of lower respiratory tract infections in general practice","1994",,L24295329
"Randomized study of recombinant human granulocyte colony-stimulating factor after high-dose chemotherapy and autologous bone marrow transplantation for high-risk lymphoid malignancies","1994",7521907,L24349397
"Topical ampicillin for prophylaxis against wound infection in acute appendicitis","1994",,L24227951
"Comparative efficacy and safety of cefprozil and amoxycillin/clavulanate in the treatment of acute otitis media in children","1994",7928814,L24201964
"Effect of sodium fusidate and ofloxacin on Staphylococcus aureus colonization and infection in patients on continuous ambulatory peritoneal dialysis","1994",8076441,L24176926
"'Single shot' antibiotic prophylaxis in abdominal surgery. Antibiotics with long half-life (ceftriaxone, ornidazole) versus antibiotics with short half-life (cefazolin, metronidazole, clindamycin)","1994",8034522,L24168547
"An observer blind trial of co-amoxiclav versus cefuroxime plus metronidazole in the prevention of postoperative wound infection after general surgery","1994",7915289,L24158695
"Double-blind randomized prospective study of the efficacy of antibiotic prophylaxis for open reduction and internal fixation of closed ankle fractures.","1994",8169699,L24898492
"Can improved cesarean surgical technique by resident surgeons reduce maternal infectious morbidity?","1994",,L24136742
"Use of ampicillin/sulbactam versus imipenem/cilastatin in the treatment of limb-threatening foot infections in diabetic patients","1994",8075257,L24145900
"A prospective randomized study of acyclovir versus ganciclovir plus human immune globulin prophylaxis of cytomegalovirus infection after solid organ transplantation","1994",8154035,L24114681
"A comparative study of the efficacy of imipenen versus ceftazidime and ceftriaxone in the prevention of postoperative infection","1994",8152576,L24107434
"Randomized trial of the addition of gram-positive prophylaxis to standard antimicrobial prophylaxis for patients undergoing autologous bone marrow transplantation","1994",8203857,L24072251
"Five versus ten days treatment of Streptococcal pharyngotonsillitis: A randomized controlled trial comparing cefpodoxime proxetil and phenoxymethyl penicillin","1994",8191242,L24073190
"Utility of selective digestive decontamination in mechanically ventilated patients","1994",8304656,L24066636
"Quality standard for antimicrobial prophylaxis in surgical procedures","1994",8011827,L24086316
"Reduction by granulocyte colony-stimulating factor of fever and neutropenia induced by chemotherapy in patients with small-cell lung cancer","1994",,L24055286
"Placebo-controlled phase III trial of lenograstim in bone-marrow transplantation","1994",7510813,L24087848
"Filgrastim in patients with chemotherapy-induced febrile neutropenia. A double-blind, placebo-controlled trial","1994",7520676,L25042069
"Effect of a polyvalent bacterial extract, Broncho-Vaxom, in the prophylaxis of acute exacerbations of chronic bronchitis","1993",,L24090550
"Antibiotic therapy of perforated appendicitis in children: A comparison of amoxicillin/clavulanate with a combination of benzylpenicillin, netilmicin and metronidazole","1993",8015881,L23286090
"The influence of different methods of autologous blood transfusion on plasma levels of antibiotics. Study of the cephalosporine cefamandole","1993",8368471,L23243688
"Rufloxacin once daily versus ofloxacin twice daily for treatment of complicated cystitis and upper urinary tract infections","1993",8387963,L23112598
"Nutritional outcome and pneumonia in critical care patients randomized to gastric versus jejunal tube feedings","1992",1395657,L22322982
"Timing of antibiotic prophylaxis with cefotaxime for prostatic resection: better in the operative period or at urethral catheter removal?","1992",1443356,L22984868
"Antibiotic prophylaxis in lung surgery: A randomized trial of cefamandole versus placebo","1992",1503287,L22157913
"Granulocyte-macrophage colony-stimulating factor (GM-CSF) as adjunct therapy in relapsed Hodgkin disease","1992",1728202,L22074478
"Antibiotic prophylaxis in non-cardiac thoracic surgery: cefazolin versus placebo.","1991",1756043,L22876335
"Antibiotic prophylaxis with mezlocillin in gastric surgery. Comparison between two regimen","1991",,L21279957
"A ureidopenicillin versus a third-generation cephalosporin in a randomized prospective clinical trial in acute biliary tract infections","1991",,L21137348
"Evaluation of ventilating tubes and myringotomy in the treatment of recurrent or persistent otitis media","1991",2003051,L21048717
"Propylaxis, cost and effectiveness of therapy of infections caused by Gram-positive organisms in neutropenic children","1991",1829078,L21160201
"A randomized multicentre trial of pefloxacin plus metronidazole and gentamicin plus metronidazole in the treatment of severe intra-abdominal infections","1990",2258346,L20382095
"A prospective study comparing vancomycin and teicoplanin as second-line empiric therapy for infection in neutropenic patients","1990",2149050,L21016558
"Treatment of acute infections of the respiratory tract. The cytiolone-ampicillin relationship: A study of therapeutic effectiveness and tolerability","1990",,L21243075
"Comparison of ciprofloxacin with polymyxin B for infection prophylaxis in neutropenic patients with acute non-lymphocytic leukemia","1990",2123946,L21781198
"Thymopentin in the prevention of recurrent respiratory infections in aged subjects with chronic bronchitis: A multicentre controlled randomized clinical trial","1990",,L20252131
"Antimicrobial management of postoperative infections in abdominal surgery: single or combination regimen?","1990",2196121,L20854904
"Early reclosure of severe incisional abscesses. A controlled trial on the duration of antibiotic, cefuroxime (Zinacef®), prophylaxis","1990",,L20092055
"Single dose cefotaxime plus metronidazole verus three dose cefuroxime plus metronidazole as prophylaxis against wound infection in colorectal surgery: Multicentre prospective randomised study","1990",2105115,L20022806
"Pharmacokinetic comparison of two models of endocarditis prophylaxis with amoxycillin","1989",2617209,L20013709
"Antibiotic prophylaxis with ceftriaxone for severe and durable neutropenia","1989",,L20018248
"Re-emphasis of priorities in surgical antibiotic prophylaxis","1989",2672385,L19255047
"Antibiotic prophylaxis during transurethral prostatic resection and bladder catheter removal","1989",2534170,L19244406
"Preoperative cell-mediated immunity and duration of antibiotic prophylaxis in relation to postoperative infectious complications. A controlled trial in biliary, gastroduodenal and colorectal surgery","1989",2678858,L19243455
"Long-term effects of inhaled tobramycin in patients with cystic fibrosis colonized with Pseudomonas aeruginosa.","1989",2505216,L19487495
"Bactericidal activity, killing rate and post-antibiotic effect in the serum of patients with urinary tract infection receiving netilmicin 6 mg/kg once daily in comparison with 2 mg/kg TID","1988",,L19007405
"Comparison of the combination clindamycin/gentamycin with metronidazol/gentamycin in head and neck surgery","1988",3151688,L19250003
"Preventive action of an immunomodulator on respiratory infections in elderly subjects","1988",2971184,L18799247
"Imipenem/cilastatin versus aminoglycoside plus amoxicillin plus clindamycin in the treatment of serious postoperative infections","1988",3331039,L18128469
"Prophylactic systemic antibiotic therapy with ceftriaxone alone in neutropenic patients treated in a protected environment","1987",,L18031339
"Preventive systemic antibiotherapy with ceftriaxone alone in neutropenic patients treated in a protected environment","1987",2962087,L18686796
"Randomised study of ticarcillin, cefamandole with or without tobramycin in febrile, neutropenic patients with solid tumors","1987",3561330,L17079890
"A comparison of piperacillin, cephalothin and cefoxitin in the prevention of post operative infections in patients undergoing vaginal hysterectomy","1986",3535134,L17178433
"Prophylactic Cefuroxime in transurethral resection","1984",6523650,L15215940
"Single-dose prophylactic treatment of urinary tract infections after trans-urethral prostatectomy","1984",6230648,L14063011
"The effect of penicillin therapy on the symptoms and signs of streptococcal pharyngitis","1984",6366769,L14158837
"Perioperative use of cefoxitin in primary cesarean section","1983",6363696,L14177283
"Alternative antibiotics against Pseudomonas infections in cystic fibrosis. In vitro activity, pharmacokinetics, and double-blind randomized clinical trial with azlocillin, piperacillin, cefoperazone, ceftazidime, cefsulodin, cefotaxime and moxalactam. Preliminary results","1983",,L13002363
"Double-blind trial of perioperative intravenous metronidazole prophylaxis for abdominal and vaginal hysterectomy","1983",6849205,L13093132
"Metronidazole in the treatment of intra-abdominal sepsis","1983",6336865,L13093139
"Multicenter comparison of cefoxitin versus cefazolin for prevention of infectious morbidity after nonelective cesarean section","1983",6336898,L13171180
"Prophylactic perioperative antibiotics in contaminated head and neck surgery","1982",6813805,L12048378
"Empiric antibiotic and antifungal therapy for cancer patients with prolonged fever and granulocytopenia","1982",7058815,L12090793
"Antibiotic prophylaxis for abdominal hysterectomy","1982",7045754,L12124085
"Prospective, randomized, controlled trial of ticarcillin and cephalothin as prophylactic antibiotics for gastrointestinal operations","1982",7039378,L12156190
"Duration of preventive antibiotic administration for penetrating abdominal trauma","1982",7055433,L12173420
"Comparative study of cefamandole versus ampicillin plus cloxacillin: Prophylactic antibiotics in cardiac surgery","1982",6802085,L12162424
"Metronidazole prophylaxis for vaginal hysterectomy","1982",6920332,L12150415
"The length of antimicrobial therapy in upper vs. lower urinary tract infection of childhood","1981",7324942,L11027053
"Selection of patients for antibiotic prophylaxis in cesarean sections","1981",7315901,L12237435
"Effect of prophylactic antibiotics in acute nonperforated appendicitis. A prospective, randomized, double-blind clinical study","1981",7025769,L11020916
"Perioperative metronidazole-prophylaxis for cesarian section","1980",7222872,L11190976
"Carbenicillin-trimethoprim/sulfamethoxazole versus carbenicillin-gentamicin as empiric therapy of infection in granulocytopenic patients. A prospective randomized, double-blind study","1980",6992570,L10114100
"Prophylactic antibiotics in hip fractures. A double-blind, prospective study","1980",7364818,L10094199
"Prospective, randomized, double-blind comparison of metronidazole and tobramycin with clindamycin and tobramycin in the treatment of intra-abdominal sepsis","1980",6996625,L10034344
"Bacteriuria during closed urinary drainage: An evaluation of top-vented versus bag-vented systems","1979",379369,L9248412
"Duration of empiric antibiotic therapy in granulocytopenic patients with cancer","1979",380336,L9239511
"Efficiency of prophylactic granulocyte transfusions in preventing infections in acute leukaemia","1979",121165,L10178364
"Prophylactic and preventive antibiotic therapy. Timing, duration and economics","1979",378140,L9210731
"Randomized controlled trial of cefuroxime for established postoperative respiratory infection","1979",371741,L9167107
"Protected environment-prophylactic antibiotic program for malignant lymphoma. Randomized trial during chemotherapy to induce remission","1979",84532,L9089828
"Infectious morbidity following cesarean section. Comparison of two treatment regimens","1978",733132,L9030476
"Septic complications in colo-rectal surgery after 24 hours versus 60 hours of preoperative antibiotic bowel preparation. I. Prospective, randomized, double-blind clinical study","1978",371318,L9121008
"Comparison of amikacin and gentamicin in the treatment of urinary tract infections","1977",868907,L8131973
"Comparative efficacy and toxicity of amikacin/carbenicillin versus gentamicin/carbenicillin in leukopenic patients. A randomized prospective trail","1977",586099,L8131980
"Antibiotic prophylaxis in intensive care patients","1976",1067690,L6594002
"Early consolidation chemotherapy for adults with acute leukemia in remission","1976",790146,L7180172
"Treatment of urinary infection with cotrimoxazole (trimethoprim sulphamethoxazole)","1974",4278358,L5079831
"Prophylaxis and treatment of gram negative infections in patients with leukemia","1974",,L5169919
