PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"8288664","Prophylaxis against infection in total joint arthroplasty. One day of cefuroxime compared with three days of cefazolin","Mauerhan DR, Nelson CL, Smith DL, Fitzgerald RH Jr, Slama TG, Petty RW, Jones RE, Evans RP.","J Bone Joint Surg Am. 1994 Jan;76(1):39-45. doi: 10.2106/00004623-199401000-00006.","Mauerhan DR","J Bone Joint Surg Am","1994","1994/01/01","","","10.2106/00004623-199401000-00006"
"8191242","Five versus ten days treatment of streptococcal pharyngotonsillitis: a randomized controlled trial comparing cefpodoxime proxetil and phenoxymethyl penicillin","Portier H, Chavanet P, Waldner-Combernoux A, Kisterman JP, Grey PC, Ichou F, Safran C.","Scand J Infect Dis. 1994;26(1):59-66. doi: 10.3109/00365549409008592.","Portier H","Scand J Infect Dis","1994","1994/01/01","","","10.3109/00365549409008592"
"8298585","Fosfomycin trometamol in a single dose versus seven days nitrofurantoin in the treatment of acute uncomplicated urinary tract infections in women","Van Pienbroek E, Hermans J, Kaptein AA, Mulder JD.","Pharm World Sci. 1993 Dec 17;15(6):257-62. doi: 10.1007/BF01871127.","Van Pienbroek E","Pharm World Sci","1993","1993/12/17","","","10.1007/BF01871127"
"8286514","Outcome at three to five years of primary closure of perianal and pilonidal abscess. A randomised, double-blind clinical trial with a complete three-year followup of one compared with four days' treatment with ampicillin and metronidazole","Lundhus E, Gottrup F.","Eur J Surg. 1993 Oct;159(10):555-8.","Lundhus E","Eur J Surg","1993","1993/10/01","","",""
"8215265","Treatment of typhoid fever with ceftriaxone for 5 days or chloramphenicol for 14 days: a randomized clinical trial","Islam A, Butler T, Kabir I, Alam NH.","Antimicrob Agents Chemother. 1993 Aug;37(8):1572-5. doi: 10.1128/AAC.37.8.1572.","Islam A","Antimicrob Agents Chemother","1993","1993/08/01","PMC188021","","10.1128/AAC.37.8.1572"
"8225636","Clarithromycin 250 mg b.i.d. for 5 or 10 days in the treatment of adult patients with purulent bronchitis","Adam D.","Infection. 1993 Jul-Aug;21(4):265-71. doi: 10.1007/BF01728910.","Adam D","Infection","1993","1993/07/01","","","10.1007/BF01728910"
"8384818","Treatment of acute uncomplicated urinary tract infections with 3 days of lomefloxacin compared with treatment with 3 days of norfloxacin","Nicolle LE, DuBois J, Martel AY, Harding GK, Shafran SD, Conly JM.","Antimicrob Agents Chemother. 1993 Mar;37(3):574-9. doi: 10.1128/AAC.37.3.574.","Nicolle LE","Antimicrob Agents Chemother","1993","1993/03/01","PMC187709","","10.1128/AAC.37.3.574"
"8284649","Comparison of three days' therapy with cefcanel or amoxicillin for the treatment of acute uncomplicated urinary tract infection","Nicolle LE, Hoepelman AI, Floor M, Verhoef J, Norgard K.","Scand J Infect Dis. 1993;25(5):631-7. doi: 10.3109/00365549309008553.","Nicolle LE","Scand J Infect Dis","1993","1993/01/01","","","10.3109/00365549309008553"
"1421911","Single daily doses of trimethoprim/sulphadiazine for three or 10 days in urinary tract infections","Gaudreault P, Beland M, Girodias JB, Thivierge RL.","Acta Paediatr. 1992 Sep;81(9):695-7. doi: 10.1111/j.1651-2227.1992.tb12336.x.","Gaudreault P","Acta Paediatr","1992","1992/09/01","","","10.1111/j.1651-2227.1992.tb12336.x"
"1522663","Comparative study of single dose and five days dose of gentamicin as prophylaxis in appendicectomy","Elusoji SO.","J Pak Med Assoc. 1992 Jun;42(6):135-6.","Elusoji SO","J Pak Med Assoc","1992","1992/06/01","","",""
"1988516","Therapy for women hospitalized with acute pyelonephritis: a randomized trial of ampicillin versus trimethoprim-sulfamethoxazole for 14 days","Johnson JR, Lyons MF 2nd, Pearce W, Gorman P, Roberts PL, White N, Brust P, Olsen R, Gnann JW Jr, Stamm WE.","J Infect Dis. 1991 Feb;163(2):325-30. doi: 10.1093/infdis/163.2.325.","Johnson JR","J Infect Dis","1991","1991/02/11","","","10.1093/infdis/163.2.325"
"2291755","Pivmecillinam treatment in acute cystitis. Three versus seven days study","Pitkäjärvi T, Pyykönen ML, Kannisto K, Piippo T, Viita P.","Arzneimittelforschung. 1990 Oct;40(10):1156-8.","Pitkäjärvi T","Arzneimittelforschung","1990","1990/10/01","","",""
"2258342","Single-dose pefloxacin versus five-days treatment with norfloxacin in uncomplicated cystitis in women","van Balen FA, Touw-Otten FW, de Melker RA.","J Antimicrob Chemother. 1990 Oct;26 Suppl B:153-60. doi: 10.1093/jac/26.suppl_b.153.","van Balen FA","J Antimicrob Chemother","1990","1990/10/01","","","10.1093/jac/26.suppl_b.153"
"2374529","[Comparison of the effect of 2 therapy concepts in the treatment of Pneumocystis carinii pneumonia. Cotrimoxazole for 21 days versus sequential therapy with cotrimoxazole followed by pentamidine inhalation]","Helm EB, Staszewski S, Arasteh K, Jacobi V, Mulert R, Wegner R, Ottmann O, Brodt HR, L'age M, Stille W.","Med Klin (Munich). 1990 Apr;85 Suppl 2:264-7.","Helm EB","Med Klin (Munich)","1990","1990/04/01","","",""
"2327750","Pharmacokinetics of lomefloxacin in healthy volunteers: comparison of 400 milligrams once daily and 200 milligrams twice daily given orally for 5 days","Gros I, Carbon C.","Antimicrob Agents Chemother. 1990 Jan;34(1):150-2. doi: 10.1128/AAC.34.1.150.","Gros I","Antimicrob Agents Chemother","1990","1990/01/01","PMC171537","","10.1128/AAC.34.1.150"
"2286467","Fosfomycin trometamol in a single dose versus norfloxacin for seven days in the treatment of uncomplicated urinary infections in general practice","Boerema JB, Willems FT.","Infection. 1990;18 Suppl 2:S80-8. doi: 10.1007/BF01643433.","Boerema JB","Infection","1990","1990/01/01","","","10.1007/BF01643433"
"2286466","Single dose fosfomycin trometamol versus multiple dose norfloxacin over three days for uncomplicated UTI in general practice","Reynaert J, Van Eyck D, Vandepitte J.","Infection. 1990;18 Suppl 2:S77-9. doi: 10.1007/BF01643432.","Reynaert J","Infection","1990","1990/01/01","","","10.1007/BF01643432"
"2286000","[Treatment of typhoid fever for three days with ceftriaxone]","Lasserre R.","Bull Soc Pathol Exot. 1990;83(4):468-72.","Lasserre R","Bull Soc Pathol Exot","1990","1990/01/01","","",""
"2570104","Five days versus one day of penicillin as prophylaxis in elective neurosurgical operations","Cartmill TD, al Zahawi MF, Sisson PR, Ingham HR, Gould FK, Crone PB, Betty MJ, Crawford PJ, Kalbag RM, Mendelow AD, et al.","J Hosp Infect. 1989 Jul;14(1):63-8. doi: 10.1016/0195-6701(89)90135-7.","Cartmill TD","J Hosp Infect","1989","1989/07/01","","","10.1016/0195-6701(89)90135-7"
"3048935","Cefoxitin for one day vs. ampicillin and metronidazole for three days in elective colorectal surgery. A prospective, randomized, multicenter study","Rørbaek-Madsen M, Toftgaard C, Graversen HP, Kristiansen JD, Lauesen N, Ranberg FA, Svane S, Thomsen H, Timm B, Ulbak S.","Dis Colon Rectum. 1988 Oct;31(10):774-7. doi: 10.1007/BF02560105.","Rørbaek-Madsen M","Dis Colon Rectum","1988","1988/10/01","","","10.1007/BF02560105"
"3277153","Five vs. ten days of therapy for acute otitis media","Hendrickse WA, Kusmiesz H, Shelton S, Nelson JD.","Pediatr Infect Dis J. 1988 Jan;7(1):14-23. doi: 10.1097/00006454-198801000-00005.","Hendrickse WA","Pediatr Infect Dis J","1988","1988/01/01","","","10.1097/00006454-198801000-00005"
"3129780","Five versus ten days treatment of group A streptococcal pharyngotonsillitis: a randomized controlled clinical trial with phenoxymethylpenicillin and cefadroxil","Strömberg A, Schwan A, Cars O.","Scand J Infect Dis. 1988;20(1):37-46. doi: 10.3109/00365548809117215.","Strömberg A","Scand J Infect Dis","1988","1988/01/01","","","10.3109/00365548809117215"
"3068098","Comparison of tinidazole given as a single dose and on 2 consecutive days for the treatment of nonspecific bacterial vaginosis","Ekgren J, Norling BK, Degre M, Midtvedt T.","Gynecol Obstet Invest. 1988;26(4):313-7. doi: 10.1159/000293712.","Ekgren J","Gynecol Obstet Invest","1988","1988/01/01","","","10.1159/000293712"
"3616850","Treatment of Chlamydia trachomatis infections: comparison of 1- and 2-g doses of erythromycin daily for seven days","Linnemann CC Jr, Heaton CL, Ritchey M.","Sex Transm Dis. 1987 Apr-Jun;14(2):102-6.","Linnemann CC Jr","Sex Transm Dis","1987","1987/04/01","","",""
"3101484","Five vs ten days of penicillin V therapy for streptococcal pharyngitis","Gerber MA, Randolph MF, Chanatry J, Wright LL, De Meo K, Kaplan EL.","Am J Dis Child. 1987 Feb;141(2):224-7. doi: 10.1001/archpedi.1987.04460020114043.","Gerber MA","Am J Dis Child","1987","1987/02/01","","","10.1001/archpedi.1987.04460020114043"
"3893511","A single dose of sulfametopyrazine versus 7 days of ampicillin in acute on chronic bronchitis","Anderson G, Peel ET, Payne H, Ruth P.","Br J Dis Chest. 1985 Jul;79(3):258-61.","Anderson G","Br J Dis Chest","1985","1985/07/01","","",""
"3889396","Seven days of ceftriaxone therapy is as effective as ten days' treatment for bacterial meningitis","Lin TY, Chrane DF, Nelson JD, McCracken GH Jr.","JAMA. 1985 Jun 28;253(24):3559-63.","Lin TY","JAMA","1985","1985/06/28","","",""
"4002410","[Treatment of acute urinary infections. Comparison between pivmecillinam for 3 days and sulfamethizole therapy for 6 days]","Bitsch M, Hansen PH, Pagh J.","Ugeskr Laeger. 1985 Apr 22;147(17):1392-5.","Bitsch M","Ugeskr Laeger","1985","1985/04/22","","",""
"3919171","Penicillin V and rifampin for the treatment of group A streptococcal pharyngitis: a randomized trial of 10 days penicillin vs 10 days penicillin with rifampin during the final 4 days of therapy","Chaudhary S, Bilinsky SA, Hennessy JL, Soler SM, Wallace SE, Schacht CM, Bisno AL.","J Pediatr. 1985 Mar;106(3):481-6. doi: 10.1016/s0022-3476(85)80687-9.","Chaudhary S","J Pediatr","1985","1985/03/01","","","10.1016/s0022-3476(85)80687-9"
"3887560","Cefadroxil once daily for three or seven days versus amoxycillin for seven days in uncomplicated urinary tract infections in women","Sandberg T, Henning C, Iwarson S, Paulsen O.","Scand J Infect Dis. 1985;17(1):83-7. doi: 10.3109/00365548509070425.","Sandberg T","Scand J Infect Dis","1985","1985/01/01","","","10.3109/00365548509070425"
"6717216","One day vs. two days of prophylactic antibiotics in patients undergoing major head and neck surgery","Fee WE Jr, Glenn M, Handen C, Hopp ML.","Laryngoscope. 1984 May;94(5 Pt 1):612-4.","Fee WE Jr","Laryngoscope","1984","1984/05/01","","",""
"6792379","Penicillin V for group A streptococcal pharyngotonsillitis. A randomized trial of seven vs ten days' therapy","Schwartz RH, Wientzen RL Jr, Pedreira F, Feroli EJ, Mella GW, Guandolo VL.","JAMA. 1981 Oct 16;246(16):1790-5. doi: 10.1001/jama.246.16.1790.","Schwartz RH","JAMA","1981","1981/10/16","","","10.1001/jama.246.16.1790"
"7005459","Comparison of 4 and 10 days of doxycycline treatment for urinary tract infection","Lockey JE, Williams DN, Raij L, Sabath LD.","J Urol. 1980 Nov;124(5):643-5. doi: 10.1016/s0022-5347(17)55594-9.","Lockey JE","J Urol","1980","1980/11/01","","","10.1016/s0022-5347(17)55594-9"
"7427705","Tetracycline in nongonococcal urethritis. Comparison of 2 g and 1 g daily for seven days","Bowie WR, Yu JS, Fawcett A, Jones HD.","Br J Vener Dis. 1980 Oct;56(5):332-6. doi: 10.1136/sti.56.5.332.","Bowie WR","Br J Vener Dis","1980","1980/10/01","PMC1045819","","10.1136/sti.56.5.332"
"841744","[Single-dose treatment with ornidazole (Tiberal) and 7 days treatment with metronidazole (Flagyl) for vaginal trichomoniasis. A controlled study in general practice]","Nygaard B, Kjaersgaard H, Korner B, Jensen RH.","Ugeskr Laeger. 1977 Feb 28;139(9):524-6.","Nygaard B","Ugeskr Laeger","1977","1977/02/28","","",""
