"Title","Publication Year","Medline PMID","PUI"
"Reducing antibiotic treatment duration for ventilator-associated pneumonia (REGARD-VAP): A trial protocol for a randomised clinical trial","2021",33986070,L635014392
"Four-month rifapentine regimens with or without moxifloxacin for tuberculosis","2021",33951360,L634954142
"Efficacy and safety of lipegfilgrastim versus pegfilgrastim in elderly patients with aggressive B cell non-Hodgkin lymphoma (B-NHL): results of the randomized, open-label, non-inferiority AVOID neutropenia study","2021",32944800,L2006722206
"Day-case catheterless and drainless minimal-access pyeloplasty in adults: A single-center experience of 13 years","2021",33615563,L2010540735
"Abstract No. 136 Evaluation of complications associated with tunneled vascular access lines in pediatric patients","2021",,L2011773835
"Abstract No. 204 Evaluation of complications associated with tunneled dialysis catheters in pediatric patients","2021",,L2011775100
"Antibody responses to two recombinant treponemal antigens (rp17 and TmpA) before and after azithromycin treatment for yaws in Ghana and Papua New Guinea","2021",33568467,L2011891470
"The effect of external ventricular drain tunneling length on CSF infection rate in pediatric patients: A randomized, double-blind, 3-arm controlled trial","2021",33740757,L2011917378
"Antenatal dexamethasone for early preterm birth in low-resource countries","2021",,L635153436
"The Duration of Antibiotics Prophylaxis at the Time of Catheter Removal after Radical Prostatectomy: Clinically-Integrated, Cluster, Randomized Trial","2021",33904798,L634896087
"Multicentre randomised double-blinded placebo-controlled trial of favipiravir in adults with mild COVID-19","2021",33853806,L634768334
"A randomized trial of Mycobacterium w in severe presumed Gram-negative sepsis (MIST)","2021",33852919,L634809017
"Simultaneous robotic kidney transplantation and bariatric surgery for morbidly obese patients with end-stage renal failure","2021",32976702,L2006960724
"Protocol for probiotic therapy vs placebo for preterm prelabour rupture of membranes to prolong pregnancy duration (Pro-PPROM) trial","2021",33484479,L2010240234
"Open Versus Ultrasound Guided Tunneled Central Venous Access in children: A Randomized Controlled Study","2021",33360753,L2010460190
"A phase 3, randomized, controlled trial of Astodrimer 1% Gel for preventing recurrent bacterial vaginosis","2021",,L2010766013
"Minimally-invasive-perventricular-device-occlusion versus surgical-closure for treating perimembranous-ventricular-septal-defect: 3-year outcomes of a multicenter randomized clinical trial","2021",,L2011900474
"Role of One Versus Three Doses of Antibiotics Given Prophylactically in Patients Undergoing Appendicectomy to Prevent Surgical Site Infections","2021",,L2012384479
"The CABI Trial: an Unblinded Parallel Group Randomised Controlled Feasibility Trial of Long-Course Antibiotic Therapy (28 Days) Compared with Short Course (≤ 10 Days) in the Prevention of Relapse in Adults Treated for Complicated Intra-Abdominal Infection","2021",32140989,L631208651
"The utility of prolonged prophylactic systemic antibiotics (PPSA) for subfascial drains after degenerative spine surgery","2021",33710111,L634556365
"Early Discontinuation versus Continuation of Antimicrobial Therapy in Low Risk Pediatric Cancer Patients with Febrile Neutropenia, Before Recovery of Counts: A Randomized Controlled Trial (DALFEN Study)","2021",32537711,L2005222412
"Seven versus Ten Days Antibiotics Course for Acute Pyogenic Meningitis in Children: A Randomized Controlled Trial","2021",32857331,L2006009905
"Antibiotics versus no therapy in kidney transplant recipients with asymptomatic bacteriuria (BiRT): a pragmatic, multicentre, randomized, controlled trial","2021",32919076,L2007978621
"A localized laminar flow device decreases airborne particulates during shoulder arthroplasty: a randomized controlled trial","2021",32949760,L2010712223
"Study Protocol: Seven vs. 14 days treatment for afebrile men with urinary tract infection","2021",,L2010735782
"Antofloxacin-based bismuth quadruple therapy is safe and effective in Helicobacter pylori eradication: A prospective, open-label, randomized trial","2021",33551347,L2010929324
"A randomized clinical trial of anti⇓IL-6 antibody clazakizumab in late antibody-mediated kidney transplant rejection","2021",33443079,L2011250595
"Delayed antibiotic prescription for children with respiratory infections: A randomized trial","2021",33574163,L2011486273
"The Clinical Utility of Maceration Dressings in the Treatment of Inpatient Hand Infections: An Evaluation of Treatment Outcomes Compared to Standard Care","2021",31165641,L628175606
"Antibiotic Prophylaxis for Percutaneous Endoscopic Gastrostomy in Children: A Randomised Controlled Trial","2021",33148981,L633352333
"Outcomes of children with osteoarticular infections treated with trimethoprim-sulfamethoxazole","2021",,L634780224
"A randomized controlled trial of rifaximin in individuals with HIV on long-term art","2021",,L635068303
"Evaluation of the Quality of Antibiotic Prescribing in Primary Care: A Multicenter Longitudinal Study From Shenzhen, China","2020",,L634383882
"A randomized controlled trial comparing alloderm-rtu with dermacell in immediate subpectoral implant-based breast reconstruction","2021",33704185,L2005974952
"Treatment of community-acquired bacterial brain abscess: a survey among infectious diseases specialists in France, Sweden, Australia, and Denmark","2021",32880024,L2006052374
"Intraoperative findings, complications, and short-term results after lumbar microdiscectomy with or without implantation of annular closure device","2021",33070235,L2006996176
"Immunoglobulin Replacement Therapy Versus Antibiotic Prophylaxis as Treatment for Incomplete Primary Antibody Deficiency","2021",33206257,L2007324838
"Safety, immunogenicity, and efficacy of a Clostridioides difficile toxoid vaccine candidate: a phase 3 multicentre, observer-blind, randomised, controlled trial","2021",32946836,L2007982496
"Efficacy and safety of cefiderocol or best available therapy for the treatment of serious infections caused by carbapenem-resistant Gram-negative bacteria (CREDIBLE-CR): a randomised, open-label, multicentre, pathogen-focused, descriptive, phase 3 trial","2021",33058795,L2008460740
"Cefiderocol versus high-dose, extended-infusion meropenem for the treatment of Gram-negative nosocomial pneumonia (APEKS-NP): a randomised, double-blind, phase 3, non-inferiority trial","2021",33058798,L2008460757
"Disease Characteristics and Burden in Patients With Atopic Dermatitis: Insights From Two Phase 3 Studies of Ruxolitinib Cream","2021",,L2010823094
"Inhalational versus intravenous maintenance of anesthesia for quality of recovery in patients undergoing corrective lower limb osteotomy: A randomized controlled trial","2021",33606764,L2011134498
"Effects of different oral care strategies on postoperative pneumonia in infants with mechanical ventilation after cardiac surgery: A prospective randomized controlled study","2021",,L2011283088
"Improved Antibiotic Prescribing Practices for Respiratory Infections through Use of Computerized Order Sets and Educational Sessions in Pediatric Clinics","2021",,L2011803945
"Superior venacaval oxygen saturation monitoring-based goal-directed therapy vs standard care in children with septic shock: An open-label randomized control trial","2021",,L634781880
"Procalcitonin to reduce long-term infection-associated adverse events in sepsis a randomized trial","2021",32757963,L2010721872
"Addition of probiotics to antibiotics improves the clinical course of pneumonia in young people without comorbidities: a randomized controlled trial","2021",33441702,L634032181
"Economic Evaluation of Senshio(®) (Ospemifene) for the Treatment of Vulvovaginal Atrophy in Scotland","2021",32390072,L2004889400
"Efficacy of zinc as adjuvant therapy in the treatment of severe pneumonia in hospitalized children: A randomized clinical trial","2021",,L2005592560
"Rifabutin for the treatment of helicobacter pylori infection: A review","2021",,L2005733227
"High body mass index is correlated with the success of Vonoprazan-based second-line therapy for helicobacter pylori infection","2021",33536385,L2006002209
"Clinical effectiveness of a high dose versus the standard dose of meropenem in ventilator-associated pneumonia caused by multidrug-resistant bacteria: A randomized, single-blind clinical trial","2021",32106807,L2006094026
"Ultraslow full-power shock wave lithotripsy protocol in the management of high attenuation value upper ureteric stones: A randomized comparative study","2021",32985780,L2006800399
"Serum procalcitonin as a biomarker to determine the duration of antibiotic therapy in adult patients with sepsis and septic shock in intensive care units: A prospective study","2021",,L2007130776
"Comparison of inhaled colistin with inhaled amikacin-fosfomycin in the treatment of ventilator-associated pneumonia caused by extensively drug-resistant (Xdr) acinetobacter: A clinical trial","2021",,L2007173467
"Functional outcome of patients of tibial fracture treated with solid nail (SIGN nail) versus conventional hollow nail – A randomized trial","2021",,L2007431014
"Improvements in Antibiotic Appropriateness for Cystitis in Older Nursing Home Residents: A Quality Improvement Study With Randomized Assignment","2021",32948472,L2007854346
"Safety and efficacy of lenabasum in a phase 2 randomized, placebo-controlled trial in adults with cystic fibrosis","2021",33011099,L2007978463
"Family Integrated Care for Preterm Infants in China: A Cluster Randomized Controlled Trial","2021",32898578,L2008396836
"Short-term Effects of Alfacalcidol on Hospital Length of Stay in Patients Undergoing Valve Replacement Surgery: A Randomized Clinical Trial","2021",33339609,L2010379991
"A single dose of doxycycline after an ixodes ricinus tick bite to prevent Lyme borreliosis: An open-label randomized controlled trial","2021",32565073,L2010476898
"Effect of a genetically engineered interferon-alpha versus traditional interferon-alpha in the treatment of moderate-to-severe COVID-19: a randomised clinical trial","2021",33620016,L2010562035
"Efficacy and safety of TOBI Podhaler in Pseudomonas aeruginosa-infected bronchiectasis patients: IBEST study","2021",32855225,L2010627464
"Sublingual immunotherapy in mite-sensitized patients with atopic dermatitis: a randomized controlled study","2021",,L2011457522
"A comparative study of outcome of pyeloplasty in stented and non stented children","2021",,L2011524494
"Outcome difference of inguinal mesh hernioplasty using postoperative antibiotics versus no use of antibiotics","2021",,L2011524509
"Ten Versus 14 Days of Antibiotic Therapy in Culture-Proven Neonatal Sepsis: A Randomized, Controlled Trial","2021",34097231,L2012333923
"How representative is a point-of-care randomized trial? Clinical outcomes of patients excluded from a point-of-care randomized controlled trial evaluating antibiotic duration for Gram-negative bacteraemia: a multicentre prospective observational cohort study","2021",34116204,L2013468184
"Application of sputum suction by fiberoptic bronchoscope in patients with severe pneumonia and its effect on inflammatory factors","2021",,L2013835520
"Patient-Reported Outcomes of Robotic vs Laparoscopic Ventral Hernia Repair with Intraperitoneal Mesh: The PROVE-IT Randomized Clinical Trial","2021",33084881,L633315701
"Adding steroids in severe community-acquired pneumonia treatment: Does it make a difference?","2021",,L634686841
"Synthetic versus biological mesh in laparoscopic and open ventral hernia repair (LAPSIS): Results of a multinational, randomized, controlled, and double-blind trial","2021",33332873,L635368549
"The cost-effectiveness of ertapenem for the treatment of chorioamnionitis after cesarean delivery","2020",30885073,L626964419
"Study of ultrasound-guided needle aspiration and catheter drainage in the management of liver abscesses","2020",32221809,L2004583989
"Maintenance of Response Through up to 4 Years of Continuous Guselkumab Treatment of Psoriasis in the VOYAGE 2 Phase 3 Study","2020",32910434,L2006128868
"A comparative study of 14-day dual therapy (esomeprazole and amoxicillin four times daily) and triple plus bismuth therapy for first-line Helicobacter pylori infection eradication: A randomized trial","2020",33040439,L2006921491
"Recovery after enhanced versus conventional care laparoscopic hysterectomy performed in the afternoon: A randomized controlled trial","2020",32961589,L2007000552
"Safety and efficacy of antiviral combination therapy in symptomatic patients of Covid-19 infection - a randomised controlled trial (SEV-COVID Trial): A structured summary of a study protocol for a randomized controlled trial","2020",33081849,L2007026398
"Optimal Handling of the Patella in Tourniquet-Free Total Knee Arthroplasty: Eversion or Lateral Retraction?","2020",33112025,L2007094998
"A Trial of Favipiravir and Hydroxychloroquine combination in Adults Hospitalized with moderate and severe Covid-19: A structured summary of a study protocol for a randomised controlled trial","2020",33129363,L2007131305
"Oral prednisolone for acute lower respiratory tract infection in clinically unrecognised asthma: an exploratory analysis of the Oral Steroids for Acute Cough (OSAC) randomised controlled trial","2020",,L2010536163
"Infectious Disease Team Review Using Antibiotic Switch and Discharge Criteria Shortens the Duration of Intravenous Antibiotic: A Single-Center Cluster-Randomized Controlled Trial in Thailand","2020",,L2010690214
"Beneficial effects of autologous mesenchymal stem cell transplantation in active progressive multiple sclerosis","2020",33253391,L2010890818
"Use of polyclonal igm-enriched immunoglobulins for the treatment of septic episodes in children with oncohematological diseases","2020",,L634123436
"Open-label, single-centre, cluster-randomised controlled trial to Evaluate the Potential Impact of Computerisedantimicrobial stewardship (EPIC) on the antimicrobial use after cardiovascular surgeries: EPIC trial study original protocol","2020",33243799,L633518089
"Three versus six weeks of antibiotic therapy for diabetic foot osteomyelitis: A prospective, randomized, non-inferiority pilot trial","2020",33242083,L633536176
"Safety and efficacy of fidaxomicin and vancomycin in children and adolescents with clostridioides (Clostridium) difficile infection: A phase 3, multicenter, randomized, single-blind clinical trial (SUNSHINE)","2020",31773143,L2010715391
"A randomized trial comparing antibiotics with appendectomy for appendicitis","2020",33017106,L633383264
"One week of levofloxacin plus dexamethasone eye drops for cataract surgery: an innovative and rational therapeutic strategy","2020",32366996,L2004838738
"Corticosteroids to prevent kidney scarring in children with a febrile urinary tract infection: a randomized trial","2020",32556960,L2005253172
"A randomized clinical trial to evaluate the effect of canephron N in comparison to ciprofloxacin in the prevention of postoperative lower urinary tract infections after midurethral sling surgery","2020",,L2005265796
"Curative effect of omeprazole under different treatment courses in treatment of children with pu and hp infection and its influence on inflammatory factors","2020",,L2005271551
"The case for intermittent carbapenem dosing in stable haemodialysis patients","2020",,L2005492941
"Changing the innate consensus about mesh fixation in trans-abdominal preperitoneal laparoscopic inguinal hernioplasty in adults: Short and long term outcome. Randomized controlled clinical trial","2020",32947060,L2007928444
"Negative Pressure Wound Therapy (NPWT) in Groin Wounds after Lymphadenectomy in Vulvar Cancer Patients","2020",33144461,L2008507596
"Characterization of Clostridioides difficile isolates recovered from two Phase 3 surotomycin treatment trials by restriction endonuclease analysis, PCR ribotyping and antimicrobial susceptibilities","2020",32747931,L2010072203
"Sofosbuvir and daclatasvir compared with standard of care in the treatment of patients admitted to hospital with moderate or severe coronavirus infection (COVID-19): A randomized controlled trial","2020",32812039,L2010072237
"Randomised trial of azithromycin to eradicate Ureaplasma in preterm infants","2020",32170033,L631312515
"Use of thopaz in patients of empyema thoracis undergoing decortication","2020",,L633365690
"Clinical Effectiveness of Single Pigtail Suture Stent on Patient Comfort: A Double-Blind Prospective Randomized Trial","2020",32293992,L633365919
"Multi-Center Prospective Study of Restrictive Post-Operative Antibiotic Treatment of Children with Complicated Appendicitis","2020",32150521,L633404184
"The prosid study: Evaluating eicacy and safety of intravenousimmunoglobulin (IVIG) 10% in primary infection prophylaxis inpatients with chronic lymphocytic leukemia-study design","2020",,L634314397
"Conservative vs Surgical Treatment of Impacted Femoral Neck Fracture in Patients 75 Years and Older","2020",32413174,L2004926066
"Does negative pressure wound therapy with irrigation improve clinical outcomes? A randomized clinical trial in patients with diabetic foot infections","2020",32139102,L2005117512
"Safety of one-stage bilateral total knee arthroplasty —one surgeon sequential vs. two surgeons simultaneous: a randomized controlled study","2020",32651711,L2005537257
"Locking compression plate fixation versus intramedullary nailing of humeral shaft fractures: which one is better? A single-centre prospective randomized study","2020",32666240,L2005566157
"Does intraoperative penile tourniquet application during hypospadias repair affect the patients and surgeons reported outcomes? A randomized controlled trial","2020",32828682,L2007523199
"Three-year functional outcome of transosseous-equivalent double-row vs. single-row repair of small and large rotator cuff tears: a double-blinded randomized controlled trial","2020",32951642,L2007851376
"ANTIBIOTIC THERAPY DURATION IN COMPLICATED PLEURAL INFECTION AND EMPYEMA","2020",,L2008026421
"126 Efficacy of Omadacycline in the Treatment of Acute Bacterial Skin and Skin Structure Infections in Patients With Cellulitis or Abscesses","2020",,L2008409897
"Influence of pre-operative vaginal cleansing with povidone iodine on post cesarean infection","2020",,L2010591109
"Comparison of vitamin a supplementation versus placebo in acute lower respiratory tract infection","2020",,L2010845669
"Outcome of single incision versus conventional laparoscopic appendectomy: a single institute based analysis","2020",,L2010845676
"Drain in laparoscopic cholecystectomy in acute calculous cholecystitis: A randomised controlled study","2020",31871250,L630347782
"Survey of cystic fibrosis foundation accredited care centers and affiliate programs regarding antibiotic utilization for treatment of mycobacterium abscessus infection","2020",,L633656654
"A comparative study of single versus multiple dose antibiotics in retrograde intrarenal surgery","2020",,L634271449
"Evaluation of Persistent Diarrhea and Recurrence Following Fecal Microbiota Transplantation for Recurrent Clostridioides difficile Infection","2020",,L634732386
"Short versus extended antibiotic treatment with a carbapenem for highrisk febrile neutropenia in hematology patients with fever of unknown origin: A randomized multicenter noninferiority trial","2020",,L634732498
"Validating a hospitalist-specific antibiotic prescribing metric across four acute care hospitals","2020",,L634732802
"Effect of Antibiotics in Preventing Hospitalisations from Respiratory Tract Infections in Children with Down Syndrome","2020",32997386,L633075034
"Respiratory infections in allergic children: The preventive role of a multicomponent nutraceutical","2020",32921767,L2005086632
"Study on metabonomics of Chinese herbal medicine in the treatment of type 2 diabetes mellitus complicated with community-acquired pneumonia","2020",32925778,L632873433
"A randomised trial of caesarean wound coverage: exposed versus dressed","2020",32202035,L2004665678
"Baseline Characteristics and Outcomes Among Patients with Complicated Skin and Soft Tissue Infections Admitted to the Intensive Care Unit: Analysis of the Phase 3 COVERS Randomized Trial of Ceftaroline Fosamil Versus Vancomycin Plus Aztreonam","2020",,L2005453680
"Single-Dose Prophylactic Antibiotic Versus Extended Usage for Four Days in Clean-Contaminated Oncological Surgeries: a Randomized Clinical Trial","2020",,L2005862495
"An open-label, multicentre, randomized comparative study of efficacy, safety and tolerability of the 5 plant - extract BNO 1012 in the Delayed Antibiotic Prescription Method in children, aged 6 to 11years with acute viral and post-viral rhinosinusitis","2020",32593046,L2006831682
"A randomized clinical trial of the efficacy and safety of interferon β-1a in treatment of severe COVID-19","2020",32661006,L2007571274
"Clinical experience with use of remdesivir in the treatment of severe acute respiratory syndrome coronavirus 2: A case series","2020",,L2008412239
"A radomized study on prophylactic antibiotics in maxillofacial surgery","2020",,L2010204827
"Transforaminal lumbar interbody fusion in the management of lytic spondylolithesis: Minimally invasive versus conventional open techniques","2020",,L2010224274
"Comparison of prophylactic antibiotics in patients without pyuria undergoing ureterorenoscopic surgery","2020",,L633358972
"A multi-centre open-label two-arm randomised superiority clinical trial of azithromycin versus usual care in ambulatory COVID-19: Study protocol for the ATOMIC2 trial","2020",32807209,L632604661
"Bezlotoxumab for the prevention of recurrent clostridioides difficile infection: 12-month observational data from the randomized Phase III Trial, MODIFY II","2020",31883370,L2008419938
"Targeted retreatment of incompletely recovered chronic obstructive pulmonary disease exacerbations with ciprofloxacin a double-blind, randomized, placebo-controlled, multicenter, phase III clinical trial","2020",32267724,L2010551709
"Concomitant transobturator tape and anterior colporrhaphy versus transobturator subvesical mesh for cystocele-associated stress urinary incontinence","2020",31375873,L2002380200
"A comparison of endoscopic transtympanic myringoplasty and endoscopic type I tympanoplasty for repairing medium- to large-sized tympanic membrane perforation: a randomized clinical trial","2020",32279106,L2004612553
"Repair versus loop ileostomy in ileal perforation","2020",,L2008369775
"Antibiotic duration, but not abscess size, impacts clinical cure of limited skin and soft tissue infection after incision and drainage","2020",,L2010099525
"Levofloxacin versus ceftriaxone for treatment of acute pyelonephritis in Iranian adults","2020",32720608,L632475569
"Amoxicillin for 3 or 5 days for chest-indrawing pneumonia in Malawian children","2020",32609979,L632212383
"Single dose versus 24 h antibiotic prophylaxis in reduction mammaplasty: Study protocol for a randomized controlled trial","2020",32616026,L632269850
"Effects of a nutrition intervention on acute and late bowel symptoms and health-related quality of life up to 24 months post radiotherapy in patients with prostate cancer: a multicentre randomised controlled trial","2020",31758324,L2003719825
"Efficacy and safety of ataluren in patients with nonsense-mutation cystic fibrosis not receiving chronic inhaled aminoglycosides: The international, randomized, double-blind, placebo-controlled Ataluren Confirmatory Trial in Cystic Fibrosis (ACT CF)","2020",31983658,L2004694098
"Venous thromboembolism prevention protocol for adapting prophylaxis recommendations to the potential risk post total knee replacement: A randomized controlled trial","2020",,L2005392051
"Efficacy of chlorhexidine patches on central line-associated bloodstream infections in children","2020",32065485,L2005521163
"The utility of line probe assay in early diagnosis and treatment of multi drug resistant tuberculosis in Baluchistan","2020",,L2008563358
"Effect of bile duct clamping versus no clamping on surgical site infections in patients undergoing pancreaticoduodenectomy: a randomized controlled study","2020",32378802,L631697589
"A Comparison of the Relative Safety and Efficacy of Laparoscopic Choledochotomy with Primary Closure and Endoscopic Treatment for Bile Duct Stones in Patients with Cholelithiasis","2020",32101065,L632357194
"10-Day Versus 14-Day Quadruple Concomitant Nonbismuth Therapy for the Treatment of Helicobacter pylori Infection: Results from a Randomized Prospective Study in a High Clarithromycin Resistance Country","2020",32028286,L632464936
"Effective Antimicrobial StewaRdship StrategIES (ARIES): Cluster randomized trial of computerized decision support system and prospective review and feedback","2020",,L632828275
"Short-course antibiotic regimen compared to conventional antibiotic treatment for gram-positive cocci infective endocarditis: Randomized clinical trial (SATIE)","2020",32546269,L632076518
"High rates of drug-induced liver injury in people living with HIV coinfected with tuberculosis (TB) irrespective of antiretroviral therapy timing during antituberculosis treatment: Results from the starting antiretroviral therapy at three points in TB trial","2020",,L2008437913
"Prevention of severe infectious complications after colorectal surgery using oral non-absorbable antimicrobial prophylaxis: Results of a multicenter randomized placebo-controlled clinical trial","2020",32539786,L632081799
"High rates of drug-induced liver injury in people living with HIV coinfected with tuberculosis (TB) irrespective of antiretroviral therapy timing during antituberculosis treatment: Results from the starting antiretroviral therapy at three points in TB trial","2020",31622456,L632830906
"Adding Colchicine to the Antiretroviral Medication - Lopinavir/Ritonavir (Kaletra) in Hospitalized Patients with Non-Severe Covid-19 Pneumonia: A Structured Summary of a Study Protocol for a Randomized Controlled Trial","2020",32503620,L632000940
"A multi-centre, pragmatic, three-arm, individually randomised, non-inferiority, open trial to compare immediate orally administered, immediate topically administered or delayed orally administered antibiotics for acute otitis media with discharge in children: The Runny Ear Study (REST): Study protocol","2020",32493407,L632000806
"Efficacy of Bezlotoxumab in Participants Receiving Metronidazole, Vancomycin, or Fidaxomicin for Treatment of Clostridioides (Clostridium) difficile Infection","2020",,L632067302
"The beneficial health effects of Nigella sativa on Helicobacter pylori eradication, dyspepsia symptoms, and quality of life in infected patients: A pilot study","2020",31916648,L2004056521
"Cranberries after pelvic floor surgery for urinary tract infection prophylaxis: A randomized controlled trial","2020",32449530,L2005096332
"Greater optimisation of pharmacokinetic/pharmacodynamic parameters through a loading dose of intravenous colistin in paediatric patients","2020",32179149,L2005654721
"Fecal microbiota transplantation for patients on antibiotic treatment with C. difficile infection history (GRAFT): Study protocol for a phase II, randomized, double-blind, placebo-controlled trial to prevent recurrent C. difficile infections","2020",,L2006099316
"Effect of oral oseltamivir on virological outcomes in low-risk adults with influenza: A randomized clinical trial","2020",31541242,L2008419867
"Early bactericidal activity of different isoniazid doses for drug-resistant tuberculosis (INHindsight): A randomized, open-label clinical trial","2020",31945300,L2010551700
"Seven-day vonoprazan and low-dose amoxicillin dual therapy as first-line Helicobacter pylori treatment: A multicentre randomised trial in Japan","2020",31915235,L630577948
"The value of post-operative antibiotic therapy after laparoscopic appendectomy for complicated acute appendicitis: A prospective, randomized, double-blinded, placebo-controlled phase III study (ABAP study)","2020",32487213,L631990091
"Duration of antibiotic therapy in critically ill patients: A randomized controlled trial of a clinical and C-reactive protein-based protocol versus an evidence-based best practice strategy without biomarkers","2020",32487263,L631990118
"Stopping antibiotic therapy after 72 hours in patients with febrile neutropenia undergoing intensive chemotherapy for aml/mds (safe study): A retrospective comparative cohort study","2020",,L632446179
"Serious infections in 134 patients with giant cell arteritis with tocilizumab in clinical practice. frequency, type and clinical associations","2020",,L633305061
"Timeliness of surgery in pleural infection, does it make a difference?","2020",,L634004576
"Early switch from intravenous to oral antibiotic therapy in patients with cancer who have low-risk neutropenic sepsis (the EASI-SWITCH trial): Study protocol for a randomised controlled trial","2020",32460818,L631880888
"Randomized trial of lactin-V to prevent recurrence of bacterial vaginosis","2020",32402161,L632138436
"An antibiotic stewardship programme to reduce inappropriate antibiotic prescribing for acute respiratory infections in rural Chinese primary care facilities: Study protocol for a clustered randomised controlled trial","2020",32398065,L631767452
"Bacteremia Antibiotic Length Actually Needed for Clinical Effectiveness (BALANCE) randomised clinical trial: Study protocol","2020",32398341,L631748443
"Antibiotic treatment for 6 days versus 12 days in patients with severe cellulitis: a multicentre randomized, double-blind, placebo-controlled, non-inferiority trial","2020",31618678,L2004221330
"Efficacy and safety of azithromycin maintenance therapy in primary ciliary dyskinesia (BESTCILIA): a multicentre, double-blind, randomised, placebo-controlled phase 3 trial","2020",32380069,L2005749045
"180 COMPARISON OF SHORT COURSE ANTIMICROBIAL THERAPY VS. CONVENTIONAL ANTIMICROBIAL THERAPY IN PATIENTS WITH COMPLICATED INTRA-ABDOMINAL INFECTIONS – A RANDOMIZED CONTROLLED TRIAL.","2020",,L2005912541
"BUCKING THE TREND – THE CONTINUED EFFICACY OF CLARITHROMYCIN BASED TRIPLE THERAPY OVER 2 DECADES IN SINGAPORE DESPITE CHANGING ANTIBIOTIC RESISTANCE","2020",,L2005913229
"Comparison of outcomes between antibiotics treatments versus appendectomy patients with uncomplicated acute appendicitis","2020",,L2007512452
"Effect of high-dose rifampicin on efavirenz pharmacokinetics: Drug-drug interaction randomized trial","2020",,L2010856310
"Does an Antimicrobial Incision Drape Prevent Intraoperative Contamination? A Randomized Controlled Trial of 1187 Patients","2020",32011378,L631674685
"Impact of Cardiac Implantable Electronic Device Infection: A Clinical and Economic Analysis of the WRAP-IT Trial","2020",32281393,L631990031
"Efficacy and safety of the Qiguiyin formula in severe pneumonia: study protocol for a randomized, double-blind, placebo-controlled clinical trial","2020",32242398,L2007140838
"An optimised dosing regimen versus a standard dosing regimen of vancomycin for the treatment of late onset sepsis due to Gram-positive microorganisms in neonates and infants aged less than 90 days (NeoVanc): Study protocol for a randomised controlled trial","2020",32293527,L631486047
"Impact of multiplex respiratory virus testing on antimicrobial consumption in adults in acute care: a randomized clinical trial","2020",31574339,L2003553860
"Sequential Helicobacter pylori eradication therapy in Myanmar; a randomized clinical trial of efficacy and tolerability","2020",31758571,L2003817497
"Evaluation of the efficacy of postoperative antibiotic treatment in transoral endoscopic thyroidectomy: a prospective randomised controlled trial","2020",31982170,L2004682722
"Xpert MTB/RIF Ultra and Xpert MTB/RIF for diagnosis of tuberculosis in an HIV-endemic setting with a high burden of previous tuberculosis: a two-cohort diagnostic accuracy study","2020",32066534,L2005439778
"Efficacy of Omeprazole, Tetracycline, and 4 Times Daily Dosing of Amoxicillin in Helicobacter pylori Eradication in Limited Resource Area in Bhutan: A Prospective Randomized Trial (BHUTAN Study)","2020",32334478,L631637486
"The efficacy of two doses versus 7 days' course of prophylactic antibiotics following cesarean section: An experience from Aminu Kano Teaching Hospital","2020",32499466,L632019197
