"Title","Publication Year","Medline PMID","PUI"
"Evaluation of the efficacy of Lactobacillus plantarum HEAL9 and Lactobacillus paracasei 8700:2 on aspects of common cold infections in children attending day care: a randomised, double-blind, placebo-controlled clinical study","2020",31734734,L2003619575
"A pilot randomized controlled trial of 7 versus 14 days of antibiotic treatment for bloodstream infection on non-intensive care versus intensive care wards","2020",31941546,L630611624
"Non-inferior comparative study comparing one or two day antimicrobial prophylaxis after clean orthopaedic surgery (NOCOTA study): A study protocol for a cluster pseudo-randomized controlled trial comparing duration of antibiotic prophylaxis","2019",31722700,L629863564
"Antimicrobial prophylaxis for 1 day versus 3 days in liver cancer surgery: a randomized controlled non-inferiority trial","2019",31030266,L627427758
"Once-daily rabeprazole, levofloxacin, clarithromycin-MR, and bismuth for Helicobacter pylori eradication: A randomized study of 7 or 14 days (ONCE study)","2019",31282081,L628481194
"Seven Versus 14 Days of Antibiotic Therapy for Uncomplicated Gram-negative Bacteremia: A Noninferiority Randomized Controlled Trial","2019",30535100,L629454421
"Intraoral Surgical Removal of Submandibular Sialoliths as a Day Case Procedure: A Case Series of 72 Patients","2019",,L2002578629
"A Clinical Prediction Rule to Identify Febrile Infants 60 Days and Younger at Low Risk for Serious Bacterial Infections: Kuppermann N, Dayan PS, Levine DA, et al. JAMA Pediatrics. 2019;173(4):342-351","2019",,L2002932297
"High Effective of 14-Day High-Dose PPI- Bismuth-Containing Quadruple Therapy with Probiotics Supplement for Helicobacter Pylori Eradication: A Double Blinded-Randomized Placebo-Controlled Study","2019",31554388,L629433684
"A 5-day course of oral antibiotics followed by faecal transplantation to eradicate carriage of multidrug-resistant Enterobacteriaceae: a randomized clinical trial","2019",30616014,L2001611450
"Efficacy of 7-day vonoprazan and amoxicillin dual therapy as firstline helicobacter pylori treatment: Protocol of multi-center, noninferiority, randomized control trial","2019",,L628632683
"A 14 day esomeprazole- And amoxicillin-containing high-dose dual therapy regimen achieves a high eradication rate as first-line anti-Helicobacter pylori treatment in Taiwan: a prospective randomized trial","2019",30768161,L629251262
"Protocol for a comparison study of 1-day (single dose) versus 2-day prophylactic antibiotic administration in Holmium Laser enucleation of the prostate (HoLEP): a randomized controlled trial","2019",31143442,L627792462
"Efficacy of seven and fourteen days of antibiotic treatment in uncomplicated Staphylococcus aureus bacteremia (SAB7): Study protocol for a randomized controlled trial","2019",31046810,L627462895
"THE EFFICACY OF FOURTEEN-DAYS ESOMEPRAZOLE AND AMOXICILLIN CONTAINING HIGH DOSE DUAL THERAPY IN THE TREATMENT OF FIRST-LINE ANTI-H. PYLORI THERAPY: A PROSPECTIVE RANDOMIZED TRIAL","2019",,L2001915541
"Efficacy and safety of daylight photodynamic therapy after tailored pretreatment with ablative fractional laser or microdermabrasion: a randomized, side-by-side, single-blind trial in patients with actinic keratosis and large-area field cancerization","2019",30117140,L624318950
"Single-dose versus 3-day cotrimoxazole prophylaxis in transurethral resection or greenlight laser vaporisation of the prostate: Study protocol for a multicentre randomised placebo controlled non-inferiority trial (CITrUS trial)","2019",30782183,L626414330
"Penicillin v four times daily for five days versus three times daily for 10 days in patients with pharyngotonsillitis caused by group A streptococci: Randomised controlled, open label, non-inferiority study","2019",31585944,L629508774
"Fourteen-days esomeprazole and amoxicillin containing high dose dual therapy achieved an excellent eradication rate in the treatment of firstline anti-H. pylori therapy: A prospective randomized trial","2018",,L625666709
"Re: Angela Huttner, Arina Kowalczyk, Adi Turjeman, et al. Effect of 5-Day Nitrofurantoin vs Single-dose Fosfomycin on Clinical Resolution of Uncomplicated Lower Urinary Tract Infection in Women: A Randomized Clinical Trial. JAMA 2018;319:1781–9","2018",30318069,L2000926444
"Ten-day high-dose proton pump inhibitor triple therapy versus sequential therapy for Helicobacter pylori eradication","2018",29804294,L624259083
"Ten-day high-dose proton pump inhibitor triple therapy versus sequential therapy for Helicobacter pylori eradication","2018",29804294,L624348685
"14-day sequential therapy versus 10-day bismuth quadruple therapy containing high-dose esomeprazole in the first-line and second-line treatment of Helicobacter pylori: A multicenter, non-inferiority, randomized trial","2018",,L626915736
"Comparison of levofloxacin-based, 10-day sequential therapy with 14-day quadruple therapy for Helicobacter pylori eradication: A randomized clinical trial","2018",,L624097006
"Day versus 14-day quadruple concomitant non bismuth therapy for the treatment of helicobacter pylori infection: Results from a Greek randomized prospective study","2018",,L625969443
"Effect of piperacillin-tazobactam vs meropenem on 30-day mortality for patients with e coli or Klebsiella pneumoniae bloodstream infection and ceftriaxone resistance","2018",30208454,L623899405
"Ten-day quadruple therapy comprising low-dose rabeprazole, bismuth, amoxicillin, and tetracycline is an effective and safe first-line treatment for helicobacter pylori infection in a population with high antibiotic resistance: A prospective, multicenter, randomized, parallel-controlled clinical trial in China","2018",29914954,L623617139
"14 Day sequential therapy versus 10 day bismuth quadruple therapy containing high-dose esomeprazole in the first-line and second-line treatment of Helicobacter pylori: A multicentre, non-inferiority, randomized trial","2018",29846605,L624415959
"7-day antibiotic course ‘non-inferior’ to 14 days for treatment of Gram-negative bacteraemia","2018",,L625372327
"Two versus five days of antibiotics after appendectomy for complex acute appendicitis (APPIC): Study protocol for a randomized controlled trial","2018",29720238,L621936411
"BOTH 14-DAY REVERSE HYBRID AND CONCOMITANT THERAPIES CURE MOST PATIENTS WITH HELICOBACTER PYLORI INFECTION IN POPULATIONS WITH MODERATE ANTIBIOTIC RESISTANE: A RANDOMIZED CONTROLLED TRIAL","2018",,L2002336528
"Effect of 5-day Nitrofurantoin vs single-dose fosfomycin on clinical resolution of uncomplicated lower urinary tract infection in women a randomized clinical trial","2018",29710295,L621997876
"Stopping the effective non-fluoroquinolone antibiotics at day 7 vs continuing until day 14 in adults with acute pyelonephritis requiring hospitalization: A randomized non-inferiority trial","2018",29768465,L622166890
"Vonoprazan- vs proton-pump inhibitor-based first-line 7-day triple therapy for clarithromycin-susceptible Helicobacter pylori: A multicenter, prospective, randomized trial","2018",29271026,L619934134
"7-day compared with 10-day antibiotic treatment for febrile urinary tract infections in children: Protocol of a randomised controlled trial","2018",29500209,L621066248
"7 versus 14 days of antibiotic treatment for critically ill patients with bloodstream infection: A pilot randomized clinical trial","2018",29452598,L620699432
"Once-daily oral sarecycline 1.5 mg/kg/day is effective for moderate to severe acne vulgaris: Results from two identically designed, phase 3, randomized, double-blind clinical trials","2018",30235387,L2002452365
"A randomized controlled trial shows that both 14-day hybrid and bismuth quadruple therapies cure most patients with helicobacter pylori infection in populations with moderate antibiotic resistance","2017",28807915,L618982347
"A comparison of the efficacy of single-dose fosfomycin trometamol versus a 5-day nitrofurantoin regimen in the treatment of UTI among pregnant patients at a tertiary medical centre: A single blind randomised controlled trial","2017",,L619418816
"Ten-Day Quadruple Therapy Comprising Proton Pump Inhibitor, Bismuth, Tetracycline, and Levofloxacin is More Effective than Standard Levofloxacin Triple Therapy in the Second-Line Treatment of Helicobacter pylori Infection: A Randomized Controlled Trial","2017",28719592,L618199325
"Efficacy and safety of seven-day ilaprazole and pantoprazole based triple therapy for the eradication of Helicobacter pylori in peptic ulcer patients: A randomized double-blind multicenter trial","2017",,L618666263
"Efficacy of 7-day and 14-day triple therapy comprising rabeprazole-amoxicillin-tetracycline for Helicobacter pylori eradication in Bhutan: A randomized controlled study","2017",,L618666352
"Comparison of 10-day levofloxacin bismuth-based quadruple therapy and levofloxacin-based triple therapy for Helicobacter pylori","2017",28644575,L618721792
"Ten days of levofloxacin-containing concomitant therapy can achieve effective Helicobacter pylori eradication in patients with type 2 diabetes","2017",28266875,L614708273
"Prevalence of Surgical Site Infections Following Orthognathic Surgery: A Double-Blind, Randomized Controlled Trial on a 3-Day Versus 1-Day Postoperative Antibiotic Regimen","2017",27789268,L613778965
"A randomized controlled study comparing 14-day reverse hybrid and bismuth quadruple therapies for helicobacter pylori infection and impacts on clarithromycin resistance of gut microbiota","2017",,L618670467
"The efficacy of pivmecillinam: 3 days or 5 days t.i.d against community acquired uncomplicated lower urinary tract infections - a randomized, double-blinded, placebo-controlled clinical trial study protocol","2016",27905884,L613471887
"Neither 10- nor 14-Day Sequential Treatment is better than Standard Triple Therapy for Helicobacter Pylori Eradication","2016",27898166,L617338449
"Sequential therapy for 10 days versus triple therapy for 14 days in the eradication of Helicobacter pylori in the community and hospital populations: A randomised trial","2016",26338825,L605925851
"Home use of day-and-night hybrid closed-loop insulin delivery in suboptimally controlled adolescents with type 1 diabetes: A 3-week, free-living, randomized crossover trial","2016",27612500,L613125683
"5-Day versus 10-day course of fluoroquinolones in outpatient males with a urinary tract infection (UTI)","2016",28076247,L613299006
"Impact of caregivers' education regarding respiratory infections on the health status of day-care children: A randomized trial","2016",27131288,L612765773
"A randomized controlled study of 5 and 10 days treatment with phenoxymethylpenicillin for pharyngotonsillitis caused by streptococcus group A - a protocol study","2016",27618925,L612096559
"Combination therapy did not reduce 30-day treatment failure in patients with staphylococcus aureus bacteremia (SAB)","2016",,L627805176
"Ten-day empirical sequential or concomitant therapy is more effective than triple therapy for Helicobacter pylori eradication: A multicenter, prospective study","2016",27257049,L610888990
"Randomized clinical trial comparing ten day concomitant and sequential therapies for Helicobacter pylori eradication in a high clarithromycin resistance area","2016",27134145,L610175841
"Rifabutin-based 10-day and 14-day triple therapy as a third-line and fourth-line regimen for Helicobacter pylori eradication: A pilot study","2016",,L610662892
"Comparison of single dose of cefazolion versus single dose of cefazolin plus seven days cephalexin prophylactic therapy in postoperative infections after elective cesarean section and immediate adverse effect of antibiotic on infants","2016",,L611888911
"The Effectiveness of a Three Day Course Antibiotic Post-urodynamic Study in Preventing Lower Urinary Tract Infection","2016",27550876,L616505526
"Both 14-day hybrid and bismuth containing quadruple therapies cure most patients with helicobacter pylori infection in populations with moderate antibiotic resistance-a randomized controlled trial","2016",,L72269448
"Randomized clinical trial comparing 10-day sequential, 7-day concomitant and 7-day standard triple therapies for Helicobacter pylori eradication","2016",26862930,L608296978
"Effect of IL-1 Polymorphisms, CYP2C19 Genotype and Antibiotic Resistance on Helicobacter pylori Eradication Comparing Between 10-day Sequential Therapy and 14-day Standard Triple Therapy with Four-Times-Daily-Dosing of Amoxicillin in Thailand: a Prospective Randomized Study","2016",27221874,L614862765
"A comparison study between 10 and 14 days of triple therapy for eradication of helicobacter pylori","2016",,L627783612
"Fourteen-day optimized levofloxacin-based therapy versus classical quadruple therapy for Helicobacter pylori treatment failures: A randomized clinical trial","2015",25881966,L605228934
"Comparison of surgical site infection rate in case of penetrating hollow viscus injury after perioperative antibiotics use for 24 hours versus 5 days","2015",,L608591691
"Methods of a double-blind randomized controlled clinical trial of three versus five days amoxicillin dispersible tablets for chest-indrawing pneumonia among children 2-59 months of age presenting to kamuzu central hospital in Lilongwe, Malawi","2015",,L613369493
"Orthognathic surgery and postoperative antibiotic use: 1-day vs. 3-day prospective trial","2015",,L620236781
"Prospective trial in Saudi Arabia comparing the 14-day standard triple therapy with the 10-day sequential therapy for treatment of Helicobacter pylori infection","2015",26228365,L605455711
"Safety and efficacy of alternative antibiotic regimens compared with 7 day injectable procaine benzylpenicillin and gentamicin for outpatient treatment of neonates and young infants with clinical signs of severe infection when referral is not possible: A randomised, open-label, equivalence trial","2015",25841891,L603551543
"Pidotimod for the prevention of acute respiratory infections in healthy children entering into daycare: A double blind randomized placebo-controlled study","2015",25931316,L604272953
"Seven-day quintuple regimen as a rescue therapy for Helicobacter pylori eradication","2015",25593496,L601390538
"Single-dose compared with multiple day antibiotic prophylaxis for cesarean section in low-resource settings, a randomized controlled, noninferiority trial","2015",25263498,L600971398
"Single-dose oritavancin versus 7-10 days of vancomycin in the treatment of gram-positive acute bacterial skin and skin structure infections: The SOLO II noninferiority study","2015",25294250,L603143384
"Comparison of 1-day versus 1-hour application of topical neomycin/polymyxin-B before cataract surgery","2015",25840297,L603576609
"Seven-day nonbismuth containing quadruple therapy could achieve a grade a success rate for first-line helicobacter pylori eradication","2015",26090428,L604707970
"A randomised clinical trial of 10-day concomitant therapy and standard triple therapy for Helicobacter pylori eradication","2014",25132282,L53286099
"12-day reverse hybrid therapy versus 12-day standard triple therapy for Helicobacter pylori infection-a multi-center, randomized, controlled trial","2014",,L71748219
"Antibiotic prophylaxis for transrectal prostate biopsy: a comparison of one-day and five-day regimen","2014",25331236,L603165173
"Three days of perioperative antibiotic prophylaxis in neonates: Is it sufficient?","2014",,L71626554
"Thesis study to optimize peritoneal infection therapy (stop-it) trial: Four days of antibiotics result in similar outcomes compared to duration based on resolution of physiological response","2014",,L71437576
"A prospective, randomized study comparing minilaparotomy and laparoscopic cholecystectomy as a day-surgery procedure: 5-Year outcome","2014",24196543,L372598065
"Feasibility of Shortening 14-day Hybrid Therapy While Maintaining an Excellent Helicobacter pylori Eradication Rate","2014",24612093,L372927343
"Levofloxacin-amoxicillin/clavulanate-rabeprazole versus a standard seven-day triple therapy for eradication of helicobacter pylori infection","2014",24995271,L373428515
"A comparison between 15-day sequential, 10-day sequential and proton pump inhibitor-based triple therapy for Helicobacter pylori infection in Korea","2014",24988873,L373557578
"A comparative study of 10-day furazolidone-containing triple and quadruple therapy as rescue therapy for helicobacter pylori infection","2014",,L373655116
"Randomized controlled trial comparing 7-day triple, 10-day sequential, and 7-day concomitant therapies for Helicobacter pylori infection","2014",25070099,L600056768
"Comparison of 10-day and 14-day furazolidone-containing quadruple salvage therapies for Helicobacter pylori eradication","2013",,L372142826
"A multicenter, randomized, prospective study of 14-day ranitidine bismuth citrate-vs. lansoprazolebased triple therapy for the eradication of Helicobacter pylori in dyspeptic patients","2013",24254262,L370113376
"Effect of fluoroquinolone resistance on 14-day levofloxacin triple and triple plus bismuth quadruple therapy","2013",23581720,L369581136
"Daily vs every other day administration of G-CSF following autologous peripheral stem cell transplantation: A prospective randomized study","2013",23422652,L52446900
"T.E.A. Study: Three-day ertapenem versus three-day Ampicillin-Sulbactam","2013",23631512,L52564819
"Twice a day quadruple therapy for the first-line treatment of Helicobacter pylori in an area with a high prevalence of background antibiotic resistance.","2013",23650780,L369135547
"Nonbismuth quadruple ""concomitant"" therapy versus standard triple therapy, both of the duration of 10 days, for first-line H. Pylori eradication: A randomized trial","2013",22858517,L52144820
"Comparison of clinical efficacy between 3-day combined clavulanate/ amoxicillin preparation treatment and 10-day amoxicillin treatment in children with pharyngolaryngitis or tonsillitis","2013",22760341,L52094966
"Comparison of 10 day bismuth quadruple therapy with high-dose metronidazole or levofloxacin for second-line helicobacter pylori therapy: A randomized controlled trial","2013",22984204,L366286391
"28-Day safety and tolerability of umeclidinium in combination with vilanterol in COPD: A randomized placebo-controlled trial","2012",22955035,L52223615
"Ten-day sequential versus triple therapy for Helicobacterpylori eradication: A prospective, open-label, randomized trial","2012",22849546,L365955061
"A pilot randomised controlled trial in intensive care patients comparing 7 days' treatment with empirical antibiotics with 2 days' treatment for hospital-acquired infection of unknown origin","2012",23010339,L365811357
"The efficacy of second-line anti-helicobacter pylori therapy using an extended 14-day levofloxacin/amoxicillin/proton-pump inhibitor treatment - a pilot study","2012",22967121,L365646987
"First-day step-down to oral outpatient treatment versus continued standard treatment in children with cancer and low-risk fever in neutropenia. A randomized controlled trial within the multicenter SPOG 2003 FN study","2012",22271702,L365251996
"Levofloxacin versus clarithromycin in a 10 day triple therapy regimen for first-line helicobacter pylori eradication: A single-blind randomized clinical trial","2012",22687889,L365507737
"Early-Onset Ventilator-Associated Pneumonia in Adults Randomized Clinical Trial: Comparison of 8 versus 15 Days of Antibiotic Treatment","2012",22952580,L365552208
"Five versus seven day antibiotic course for the treatment of pneumonia in the intensive care unit","2012",,L71993245
"CANVAS 1 and 2: Analysis of clinical response at day 3 in two phase 3 trials of ceftaroline fosamil versus vancomycin plus aztreonam in treatment of acute bacterial skin and skin structure infections","2012",22314524,L364666204
"Ten-day sequential therapy is more effective than proton pump inhibitor-based therapy in Korea: A prospective, randomized study","2012",21916989,L364309036
"Zinc as adjunct treatment in infants aged between 7 and 120 days with probable serious bacterial infection: A randomised, double-blind, placebo-controlled trial","2012",22656335,L364903604
"Efficacy of 5-day levofloxacin-containing concomitant therapy in eradication of helicobacter pylori infection","2012",22484118,L365091902
"Ciprofl oxacin for 7 days versus 14 days in women with acute pyelonephritis: A randomised, open-label and double-blind, placebo-controlled, non-inferiority trial","2012",22726802,L52073373
"Randomized trial on 14 versus 7 days of esomeprazole, moxifloxacin, and amoxicillin for second-line or rescue treatment of Helicobacter pylori infection","2011",22059392,L362898577
"Randomised clinical trial: The efficacy of a 10-day sequential therapy vs. a 14-day standard proton pump inhibitor-based triple therapy for Helicobacter pylori in Korea","2011",21923713,L51654018
"Prospective randomized study of efficacy of 1-day versus 3-day antibiotic prophylaxis for preventing surgical site infection after coronary artery bypass graft","2011",21982465,L51618359
"""7, 10 and 14-days rabeprazole-based standard triple therapies for H. pylori eradication: Are they still effective? a randomized trial""","2011",22103045,L362706167
"Evaluation of short-term clinical efficacy of 3-day therapy with azithromycin in comparison with 5-day cefcapene-pivoxyl for acute streptococcal tonsillopharyngitis in primary care","2011",21249415,L51238958
"Single-dose extended-release azithromycin versus a 10-day regimen of amoxicillin/clavulanate for the treatment of children with acute otitis media","2011",21269858,L51245674
"Short course versus 7-day course of intravenous antibiotics for probable neonatal septicemia: A pilot, open-label, randomized controlled trial","2011",20972299,L361595769
"5 versus 10 days of treatment with ceftriaxone for bacterial meningitis in children: A double-blind randomised equivalence study","2011",21620467,L51442708
"14-day triple, 5-day concomitant, and 10-day sequential therapies for Helicobacter pylori infection in seven Latin American sites: A randomised trial","2011",21777974,L51531014
"Comparison of 3-day and 7-day ciprofloxacin regimen for the treatment of uncomplicated urinary tract infection in women: A randomized double-blind clinical trial","2010",,L364267249
"A randomized comparative study of single-dose fosfomycin and 5-day ciprofloxacin in female patients with uncomplicated lower urinary tract infections","2010",20585969,L50972622
"Routine resite of peripheral intravenous devices every 3 days did not reduce complications compared with clinically indicated resite: A randomised controlled trial","2010",20831782,L359666806
"Antimicrobial resistance of H. pylori to the outcome of 10-days vs. 7-days Moxifloxacin based therapy for the eradication: A randomized controlled trial","2010",20398300,L50878340
"A prospective, multicenter, randomized trial for duration of the prophylactic antibiotics after elective colorectal surgery: 3 Days versus 5 days","2010",,L358868402
"Single-Dose Versus Single-Day Antibiotic Prophylaxis for Orthognathic Surgery: A Prospective, Randomized, Double-Blind Clinical Study","2010",20116706,L358098452
"High efficacy of 14-day triple therapy-based, bismuth-containing quadruple therapy for initial helicobacter pylori eradication","2010",20557366,L358798592
"One-day application of topical moxifloxacin 0.5% to select for fluoroquinolone-resistant coagulase-negative Staphylococcus","2009",19781465,L355290578
"Treatment duration of febrile urinary tract infection (FUTIRST trial): A randomized placebo-controlled multicenter trial comparing short (7 days) antibiotic treatment with conventional treatment (14 days)","2009",19691829,L355207956
"1 Day of nitrofurantoin was not as effective as 7 days for asymptomatic bacteriuria in pregnancy","2009",,L355048336
"A multicenter study of valganciclovir prophylaxis up to day 120 in CMV-Seropositive lung transplant recipients","2009",19344437,L354515888
"Prospective, randomized trial of 10 days versus 30 days of antimicrobial treatment, including a short- term course of parenteral therapy, for childhood septic arthritis","2009",19323633,L354644209
"One preoperative dose randomized against 3-day antibiotic prophylaxis for transrectal ultrasonography-guided prostate biopsy","2009",19021604,L354404124
"Besifloxacin ophthalmic suspension 0.6% in patients with bacterial conjunctivitis: A multicenter, prospective, randomized, double-masked, vehicle-controlled, 5-day efficacy and safety study","2009",19393842,L354486862
"Alcohol-based hand-disinfection reduced children's absence from Swedish day care centers","2008",18945282,L352637206
"Current indications for laparoscopy in day-case surgery","2008",19112057,L50374907
"Prospective assessment of the efficacy of single dose versus traditional 3-day antimicrobial prophylaxis in 12-core transrectal prostate biopsy","2008",18721198,L352568434
"The role of preoperative antibiotics in the prevention of wound infection after day case surgery for inguinal hernia in children in Ile Ife, Nigeria","2008",18726104,L50250714
"Pharmacodynamic analysis and clinical trial of amoxicillin sprinkle administered once daily for 7 days compared to penicillin V potassium administered four times daily for 10 days in the treatment of tonsillopharyngitis due to Streptococcus pyogenes in children","2008",18332170,L351915683
"A prospective, double-blind, multicenter, randomized trial comparing ertapenem 3 Vs 5 days in community-acquired intraabdominal infection","2008",17846853,L351214637
"7 Days of treatment good for Helicobacter pylori","2008",,L351281184
"A Double-Blind, Randomized Comparison of Levofloxacin 750 mg Once-Daily for Five Days With Ciprofloxacin 400/500 mg Twice-Daily for 10 Days for the Treatment of Complicated Urinary Tract Infections and Acute Pyelonephritis","2008",18242357,L351173271
"Comparison of 5 day short-course therapies for secondary infection in patients with chronic respiratory disease using gatifloxacin and levofloxacin","2007",,L350302122
"10 day sequential therapy was more effective than 10 day triple drug therapy for eradicating Helicobacter pylori infection","2007",,L47611219
"Efficacy and safety of Saccharomyces boulardii in the 14-day triple anti-helicobacter pylori therapy: A prospective randomized placebo-controlled double-blind study","2007",17669103,L47196340
"Comparison of a 3-day with a 1-day regimen of an extended-release formulation of ciprofloxacin as antimicrobial prophylaxis for patients undergoing transrectal needle biopsy of the prostate","2007",17552953,L46878540
"Three vs. 10 days of amoxycillin-clavulanic acid for type 1 acute exacerbations of chronic obstructive pulmonary disease: A randomised, double-blind study","2007",17391383,L46603359
"Can Helicobacter pylori eradication therapy be shortened to 4 days?: Commentary","2007",,L46454789
"Is continuous infusion ceftriaxone better than once-a-day dosing in intensive care? A randomized controlled pilot study","2007",17135183,L47072068
"Efficacy and safety of 3-day azithromycin versus 5-day moxifloxacin for the treatment of acute bacterial exacerbations of chronic bronchitis","2007",17189096,L44959787
"Randomized controlled trial of 7-day vs. 14-day antibiotics for neonatal sepsis","2006",17030532,L44964231
"Single-dose metronidazole vs 5-day multi-drug antibiotic regimen in excision of pilonidal sinuses with primary closure: A prospective, randomized, double-blinded pilot study","2006",16362397,L44446073
"Randomized double-blind study comparing 7- and 10-day regimens of faropenem medoxomil with a 10-day cefuroxime axetil regimen for treatment of acute bacterial sinusitis","2006",17011409,L44462785
"A pilot study of 1 versus 3 days of dexamethasone as add-on therapy in children with streptococcal pharyngitis","2006",16732143,L43863355
"7-Day triple therapy of Helicobacter pylori infection with levofloxacin, amoxicillin, and high-dose esomeprazole in patients with known antimicrobial sensitivity","2006",16423088,L43468614
"Use of prophylactic antibiotics in a paediatric day-case surgery at NAUTH, Nnewi, Nigeria: A randomized double-blinded study","2006",16483435,L43242240
"Granulocyte-colony-stimulating factor-mobilized prophylactic granulocyte transfusions given after allogeneic peripheral blood progenitor cell transplantation result in a modest reduction of febrile days and intravenous antibiotic usage","2006",16398726,L43381780
"A study of 4- and 7-day triple therapy with rabeprazole, high-dose levofloxacin and tinidazole rescue treatment for Helicobacter pylori eradication","2006",16393308,L43382038
"Antibiotic prophylaxis in day surgery in dermatology","2005",16166930,L41503791
"Acute uncomplicated lower urinary tract infections in general practice: Clinical and microbiological cute rates after three- versus five-day treatment with trimethoprim","2005",16392777,L41535007
"Prospective randomized comparison of single-dose versus 1-day cefazolin for prophylaxis in gynecologic surgery","2005",15762971,L40478190
"Household-based costs and benefits of vaccinating healthy children in daycare against influenza virus: Results from a pilot study","2005",15693728,L40194009
"A 10-day levofloxacin-based therapy in patients with resistant Helicobacter pylori infection: A controlled trial","2004",15551252,L39539749
"Open, randomized multicenter comparative trial of rabeprazole, ofloxacin and amoxicillin therapy for Helicobocter pylori eradication: 7 vs. 14 day treatment","2004",15361080,L39273945
"Double-blind, randomized study of the efficacy and safety of oral pharmacokinetically enhanced amoxicillin-clavulanate (2,000/125 milligrams) versus those of amoxicillin-clavulanate (875/125 milligrams), both given twice daily for 7 days, in treatment of bacterial community-acquired pneumonia in adults","2004",15328092,L39129326
"A prospective, randomized trial of 3 or 14 days of ciprofloxacin treatment for acute urinary tract infection in patients with spinal cord injury","2004",15356779,L39180437
"Comparison of short-course (5 days) and standard (10 days) treatment for uncomplicated cellulitis","2004",15302637,L39037946
"Gemifloxacin once daily for 7 days compared to amoxicillin/clavulanic acid thrice daily for 10 days for the treatment of community-acquired pneumonia of suspected pneumococcal origin","2004",15303634,L38842773
"Seven-day therapy for Helicobacter pylori in the United States","2004",15225176,L38938723
"Evaluation of 5-day therapy with telithromycin, a novel ketolide antibacterial, for the treatment of tonsillopharyngitis","2004",15214873,L39077048
"3 Days ciprofloxacin adequate for UTI in older women","2004",,L38738109
"Comparison of hospitalization rates in patients with community-acquired pneumonia treated with telithromycin for 5 or 7 days or clarithromycin for 10 days","2004",15140341,L38685020
"Comparison of hospitalization rates in patients with community-acquired pneumonia treated with 10 days of telithromycin or clarithromycin","2004",15140342,L38685021
"A prospective randomized trial of 1-day versus 3-day antibiotic prophylaxis for transrectal ultrasound guided prostate biopsy.","2004",15182413,L39002428
"Eradication of Helicobacter pylori by 7-Day Triple-Therapy Regimens Combining Pantoprazole with Clarithromycin, Metronidazole, or Amoxicillin in Patients with Peptic Ulcer Disease: Results of Two Double-Blind, Randomized Studies","2003",14632678,L37553437
"Comparison of rabeprazole-based four- and seven-day triple therapy and omeprazole-based seven-day triple therapy for Helicobacter pylori infection in patients with peptic ulcer","2003",14976565,L38578657
"Comparison of 8 vs 15 Days of Antibiotic Therapy for Ventilator-Associated Pneumonia in Adults: A Randomized Trial","2003",14625336,L37443289
