No,PMID,title,year,journal,n_randomised,random1.1,conceal1.2,baselinediff1.3,rob1,interven,interven_type,blind_all,ptaware2.1,phyaware2.2,n_analysed,n_short_randomised,n_long_randomised,n_adherent_short,n_adherent_long,shortXlong,longXshort,short_protocol,long_protocol,short_actual,long_actual,intdev2.3,intdevoutcome2.4,intdevbalance2.5,pri_analysis_population,sec_analysis_pop,ana2.6,impact2.7,rob2.1,rob2.2,rob2,missing3.1,missingbias3.2,missingdepend3.3,missingdependlikely3.4,rob3,primary_outcome,fu_period_note,outcomemeasure4.1,outcomediffer4.2,assessaware4.3,assessinfluence4.4,assessinfluencelikely4.5,rob4,anaplan5.1,multioutcome5.2,multiana5.3,rob5,rob_overall,hypothesis,margin,pri_analysis_population,sec_analysis_pop,diffshown_ITT,diffshown_PP,arm_clinicalsuperior,outcome_measure,adhere_monitor,excl_prianalysis_reason,funding,diagnosis,abx_specific,abx_short,abx_long,culture_directed_insome,fu_period,fu_period_note,outcome_clinical,outcome_microb_clinical,outcome_microb_colonising,abx_se,outcome_economic,per_priclinicaloutcome_short,per_priclinicaloutcome_long,per_mortality,note
19,31030266,Antimicrobial prophylaxis for 1 day versus 3 days in liver cancer surgery: a randomized controlled non-inferiority trial,2019,surg today,480,Y,Y,Y,Low risk,"hepatocellular carcinoma scheduled to undergo resection were randomly assigned to receive either a 1-day regimen for antimicrobial prophylaxis, or a 3-day regimen",arbitrary durations,0,Y,Y,467,240,240,232,235,Not reported,Not reported,1,3,Not reported,Not reported,NI,NA,NA,mITT,none,N,PN,Some concerns,Some concerns,Some concerns,Y,NA,NA,NA,Low risk,SSI,30 days after operation,N,PN,Y,PY,PN,Some concerns,Y,N,N,Low risk,Some concerns,non-inferiority,8,mITT,none,0,NA,NA,absolute difference,Medical chart,"elderly, other procedures, withdrew consent",investigator initiated,NA,,flomoxef,flomoxef,0,30,30 days after operation,1,1,0,0,0,10,10,0,
20,30535100,Seven Versus 14 Days of Antibiotic Therapy for Uncomplicated Gram-negative Bacteremia: A Noninferiority Randomized Controlled Trial,2019,CID,604,Y,Y,Y,Low risk,"Inpatients with gram-negative bacteremia, who were afebrile and hemodynamically stable for at least 48 hours, were randomized to receive 7 days (intervention) or 14 days (control) of covering antibiotic therapy.",arbitrary durations,0,Y,Y,604,306,298,280,276,26,13,7,14,10,16,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,"composite of all-cause mortality; clinical failure, including either relapse of the bacteremia, local suppurative complications, or distant complications; and readmission or extended hospital stay (>14 days)","primary outcome at 90 days from randomization was a composite of all-cause mortality; clinical failure, including either relapse of the bacteremia, local suppurative complications, or distant complications; and readmission or extended hospital stay (>14 days)",N,PN,Y,PY,PN,Some concerns,Y,PN,N,Low risk,Some concerns,non-inferiority,10,ITT,PP,0,0,NA,absolute difference,Medical chart,NA,investigator initiated,culture of sterile site,The type of empirical or directed antibiotic treatment was chosen by the treating physicians.,various,various,1,90,"primary outcome at 90 days from randomization was a composite of all-cause mortality; clinical failure, including either relapse of the bacteremia, local suppurative complications, or distant complications; and readmission or extended hospital stay (>14 days)",1,1,0,1,hospital los,46,48,11,
21,31106353,Four versus six weeks of antibiotic therapy for osteoarticular infections after implant removal: a randomized trial,2019,JAC,123,Y,Y,Y,Low risk,"4 or 6 weeks of systemic, pathogen-targeted antibiotic therapy",arbitrary durations,0,Y,Y,123,62,61,60,57,Not reported,Not reported,28,42,28,42,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,remission of infection at the operative site,median follow-up period of 2.2 years,N,PY,NA,NA,NA,High risk,NI,PY,NI,High risk,High risk,non-inferiority,10,ITT,PP,0,0,NA,absolute difference,Self reporting,did not remove implant,investigator initiated,culture of sterile site,"The most frequently prescribed parenteral antibiotics were vancomycin (n = 23), amoxicillin/clavulanic acid (30) and cefuroxime (17). Among oral antibiotics, the most commonly prescribed were fluoroquinolones (n = 32), clindamycin (24), doxycycline (21), amoxicillin/clavulanic acid (30) and co-trimoxazole (13).",various,various,1,805.2,median follow-up period of 2.2 years,1,1,0,1,0,6,5,0,
22,29484469,Short-course antibiotic therapy for critically ill patients treated for postoperative intra-abdominal infection: the DURAPOP randomised clinical trial,2018,Intensive care med,249,Y,Y,Y,Low risk,8-day versus 15-day antibiotic therapy in critically ill patients with PIAI,arbitrary durations,0,Y,Y,236,126,123,77,66,21,10,8,15,Not reported,Not reported,NI,NA,NA,mITT,PP,N,Y,Some concerns,High risk,High risk,Y,NA,NA,NA,Low risk,"number of antibiotic-free days (i.e. number of days alive and antibiotic-free) from day 8 to day 28
  (analysis of superiority)","number of antibiotic-free days (i.e. number of days alive and antibiotic-free) from day 8 to day 28
  (analysis of superiority)",N,N,Y,PN,NA,Low risk,NI,N,NI,Some concerns,High risk,superiority,NA,mITT,PP,0,0,NA,number of antibiotic-free days,Medical chart,"loss to follow up, death",investigator initiated,culture of sterile site,"Empirical ABT was recommended according to the French Guidelines for PIAI (Methods-ESM) [5]. However, ABT and management were left to the discretion of the attending physicians, including drug plasma monitoring and any adaptation considered necessary.",various,various,1,28,"number of antibiotic-free days (i.e. number of days alive and antibiotic-free) from day 8 to day 28
  (analysis of superiority)",1,1,1,0,hospital los,8,11,13,mortality day 8-18 used as clinical outcome
23,30318069,"Re: Angela Huttner, Arina Kowalczyk, Adi Turjeman, et al. Effect of 5-Day Nitrofurantoin vs Single-dose Fosfomycin on Clinical Resolution of Uncomplicated Lower Urinary Tract Infection in Women: A Randomized Clinical Trial. JAMA 2018;319:1781–9",2018,JAMA,513,Y,Y,Y,Low risk,"100 mg 3 times a day for 5 days (n = 255), or a single 3-g dose of oral fosfomycin (n = 258)",arbitrary durations,0,Y,Y,485,258,255,237,237,Not reported,Not reported,1,5,Not reported,Not reported,NI,NA,NA,mITT,PP,N,Y,Some concerns,High risk,High risk,Y,NA,NA,NA,Low risk,"clinical response in the 28 (±7) days following completion of therapy, defined as clinical resolution (complete resolution of symptoms and signs of UTI without prior failure), failure (need for additional or change in antibiotic treatment due to a UTI or discontinuation due to lack of efficacy), or indeterminate (either persistence of symptoms without objective evidence of infection or any extenuating circumstances precluding a classification of clinical resolution or failure). Clinical resolution was thus a lack of prior failure with complete resolution of symptoms at the date of the examination, indeterminate response was a lack of prior failure yet with persistence of symptoms without objective evidence of infection, and clinical failure at any time point was carried through to the end of the study.",attended 2 follow-up visits at 14 (±2) and 28 (±7) days after completion of antibiotic therapy; urine cultures were collected at all scheduled and unscheduled visits,N,PN,Y,PY,PN,Some concerns,Y,PN,N,Low risk,High risk,superiority,NA,mITT,PP,0,0,NA,"clinical response in the 28 (±7) days following completion of therapy, defined as clinical resolution (complete resolution of symptoms and signs of UTI without prior failure), failure (need for additional or change in antibiotic treatment due to a UTI or discontinuation due to lack of efficacy), or indeterminate (either persistence of symptoms without objective evidence of infection or any extenuating circumstances precluding a classification of clinical resolution or failure). Clinical resolution was thus a lack of prior failure with complete resolution of symptoms at the date of the examination, indeterminate response was a lack of prior failure yet with persistence of symptoms without objective evidence of infection, and clinical failure at any time point was carried through to the end of the study.",Self reporting,missing data,investigator initiated,clinical syndrome with laboratory test,,fosfomycin,nitrofurantoin,0,28,attended 2 follow-up visits at 14 (±2) and 28 (±7) days after completion of antibiotic therapy; urine cultures were collected at all scheduled and unscheduled visits,1,1,1,0,0,42,30,0,
25,29781385,Procalcitonin-guided use of antibiotics for lower respiratory tract infection,2018,NEJM,1664,Y,Y,Y,Low risk,"patients who presented to the emergency department with a suspected lower respiratory tract infection and for whom the treating physician was uncertain whether antibiotic therapy was indicated to one of two groups: the procalcitonin group, in which the treating clinicians were provided with real-time initial (and serial, if the patient was hospitalized) procalcitonin assay results and an antibiotic use guideline with graded recommendations based on four tiers of procalcitonin levels, or the usual-care group",inflammatory markers,0,Y,Y,1656,830,834,696,830,134,0,NA,NA,4,4,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,"adverse outcomes that could be attributable to withholding antibiotics in lower respiratory tract infection, within 30 days after enrollment",30 days after enrolment,N,PN,Y,PY,PN,Some concerns,Y,N,N,Low risk,Some concerns,non-inferiority,4.5,ITT,PP,0,0,NA,absolute difference,Medical chart,withdrew consent,bioMérieux,clinical syndrome,,various,various,0,30,30 days after enrolment,1,0,0,0,0,12,13,2,
27,29663044,Procalcitonin algorithm to guide initial antibiotic therapy in acute exacerbations of COPD admitted to the ICU: a randomized multicenter study,2018,Intensive care med,302,Y,Y,Y,Low risk,"Circulating PCT levels were sequentially assessed at inclusion (PCT-H0), at 6 h after inclusion (PCT-H6), and on days 1, 3 and 5 after inclusion. PCT levels were measured by Elecsys BRAHMS PCT immunoassay (Roche Diagnostics, Mannheim, Germany) using a cobas e411 analyzer, according to the manufacturer’s instructions.
  
  In the PCT group, the antibiotic treatment was guided by serum procalcitonin levels. The patients were classified into the following three groups based on the probability of bacterial infection, according to the PCT level, which was measured as described in previous reports [4–7] and our prospective pilot studies in the indicated setting [12, 13]: group 1, PCT < 0.1 μg/L, which indicated that no bacterial infection was present, and the initiation or continuation of antibiotics was strongly discouraged; group 2, PCT > 0.1 and < 0.25 μg/L, which indicated that bacterial infection was possible [12, 13], and the initiation or continuation of antibiotics was encouraged; and group 3, PCT > 0.25 μg/L, which indicated that bacterial infection was present, and the initiation or continuation of antibiotics was strongly encouraged. In addition, the investigators were encouraged to discontinue antibiotics when the PCT concentration was less than 90% of the peak concentration or an absolute concentration less than 0.1 μg/L was noted.",inflammatory markers,0,Y,Y,302,151,151,Not reported,Not reported,Not reported,Not reported,NA,NA,5,5,NI,NA,NA,ITT,none,N,PN,Some concerns,Some concerns,Some concerns,NI,NI,NI,NI,High risk,all cause mortality,3 months after randomisation,N,PN,Y,PN,NA,Low risk,PY,N,N,Low risk,High risk,non-inferiority,12,ITT,none,0,NA,NA,absolute difference,Not reported,NA,investigator initiated,clinical syndrome with laboratory test,"Antibiotic therapy during the first 48 h after inclusion included: cephalosporins (31%), macrolides (25%), antipseudomonal penicillins (19%), aminopenicillins (18%), and fluoroquinolones (5%). Patients with pneumonia received combination therapy in 88% of cases (52/64 in PCT group and 58/61 in control group, p = 0.013).",various,various,0,90,3 months after randomisation,1,0,0,0,0,20,14,17,mortality not really a direct effect??
28,30264119,Effect of Algorithm-Based Therapy vs Usual Care on Clinical Success and Serious Adverse Events in Patients with Staphylococcal Bacteremia: A Randomized Clinical Trial,2018,JAMA,509,Y,Y,Y,Low risk,algorithm-based therapy vs usual practice,treatment protocol,0,Y,Y,509,255,254,207,203,Not reported,Not reported,NA,NA,4,6,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,N,Y,NA,NA,Low risk,clinical success,42 days beyond end of therapy for those with Staphylococcus aureus and 28 days for those with coagulase-negative staphylococcal bacteremia,N,PN,Y,PY,PN,Some concerns,Y,N,N,Low risk,Some concerns,non-inferiority,15,ITT,PP,0,0,NA,absolute difference,Not reported,NA,investigator initiated,culture of sterile site,The choice and duration of antibiotics in the usual practice group was determined by the treating physician,various,various,1,42,42 days beyond end of therapy for those with Staphylococcus aureus and 28 days for those with coagulase-negative staphylococcal bacteremia,1,0,0,0,0,18,19,6,
30,29153975,"Optimisation of empirical antimicrobial therapy in patients with haematological malignancies and febrile neutropenia (How Long study): an open-label, randomised, controlled phase 4 trial",2017,Lancet Haematology,157,Y,Y,Y,Low risk,"For the experimental group, EAT was withdrawn after 72 h or more of apyrexia plus clinical recovery; for the control group, treatment was withdrawn when the neutrophil count was also 0·5 × 109 cells per L or higher.",treatment protocol,0,Y,Y,157,78,79,66,66,Not reported,Not reported,NA,NA,Not reported,Not reported,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,duration of antibiotic free days,median 30 days,N,N,Y,PN,NA,Low risk,Y,N,N,Low risk,Some concerns,superiority,NA,ITT,PP,0,0,NA,duration of antibiotic free days,Not reported,NA,investigator initiated,clinical syndrome,antipseudomonal β-lactam drug as monotherapy or as combination therapy,various,various,0,30,median 30 days,1,0,0,1,0,NA,NA,3,clinical outcomes reported were side effects of antibiotics
31,28711318,"Procalcitonin-guided decision making for duration of antibiotic therapy in neonates with suspected early-onset sepsis: a multicentre, randomised controlled trial (NeoPIns)",2017,Lancet,1710,Y,Y,Y,Low risk,"Using score to risk stratify for probability of infection (included population of patients with low risk of infection), then use procalcitonin",inflammatory markers,0,Y,Y,1710,866,844,565,435,180,198,NA,NA,2,3,NI,NA,NA,ITT,mITT,N,PN,Some concerns,Some concerns,Some concerns,Y,NA,NA,NA,Low risk,re-infection or death in the first month of life,first month of life,N,PN,Y,PY,PN,Some concerns,Y,PN,N,Low risk,Some concerns,non-inferiority,2,ITT,mITT,1,1,long,absolute difference,Medical chart,NA,investigator initiated,clinical syndrome,,various,various,1,30,first month of life,1,0,0,0,hospital los,1,1,1,PP population analysed included those not adherent to the protocol. I have subtracted those numbers from the PP population (really should be mITT). Infection deemed unlikely in 42%
