"","relevancy","reason_exclude","comments","meandur_short","meandur_long","fu_dur","PMID","Title.x"
"20",0,"Resistance during f/u not included","",NA,NA,NA,10993623,"Complicated appendicitis: is there a minimum intravenous antibiotic requirement? A prospective randomized trial"
"21",NA,NA,NA,NA,NA,NA,11006450,"Efficacy of ceftibuten in 5 versus 10 days treatment of recurrent acute otitis media in children"
"22",0,"Resistance during f/u not included","",NA,NA,NA,11009140,"Doxycycline and rifampicin for mild scrub-typhus infections in northern Thailand: a randomised trial"
"23",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11049707,"A prospective, randomized, double-blind studyof single high dose versus multiple standard dose gentamicin both in combination withmetronidazole for colorectal surgicalprophylaxis"
"24",0,"Resistance during f/u not included","",NA,NA,NA,11055597,"Short course therapy with cefitbuten versus azithromycin in pediatric streptococcal pharyngitis"
"25",0,"Resistance during f/u not included","",NA,NA,NA,11063500,"Clarithromycin attenuates mastectomy-induced acute inflammatory response"
"26",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11073141,"Cefminox versus metronidazole plus gentamicin intra-abdominal infections: a prospective randomized controlled clinical trial"
"27",0,"Resistance during f/u not included","",NA,NA,NA,11076325,"Neonatal pneumonia: comparison of 4 vs 7 days of antibiotic therapy in term and near-term infants"
"28",NA,NA,NA,NA,NA,NA,11132064,"Is a 5-day course of antibiotics as effective as a 10-day course for the treatment of streptococcal pharyngitis and the prevention of poststreptococcal sequelae?"
"29",NA,NA,NA,NA,NA,NA,11144396,"Five-day cefdinir course vs. ten-day cefprozil course for treatment of acute otitis media"
"30",NA,NA,NA,NA,NA,NA,11163478,"Antimicrobial prophylaxis for infants at risk for recurrent acute otitis media"
"31",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11190646,"[Prospective multicenter comparative study of the management of peritonitis. Quality assurance in severe intra-abdominal infection]"
"32",0,"Resistance during f/u not included","",NA,NA,NA,11207174,"Randomised controlled trial of three day versus 10 day intravenous antibiotics in acute pyelonephritis: effect on renal scarring"
"33",1,"","Among the pathogens that were susceptible to study drugs at base- line, none developed resistance during therapy.","5","10","28 days after end of treatment",11219483,"Comparison of 5-day, short-course gatifloxacin therapy with 7-day gatifloxacin therapy and 10-day clarithromycin therapy for acute exacerbation of chronic bronchitis"
"34",0,"Resistance during f/u not included","",NA,NA,NA,11236113,"A randomised controlled trial of antibiotic prophylaxis in elective caesarean delivery"
"35",0,"Resistance during f/u not included","",NA,NA,NA,11255901,"A randomised controlled trial of delayed antibiotic prescribing as a strategy for managing uncomplicated respiratory tract infection in primary care"
"36",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11258785,"Treatment of nosocomial postoperative pneumonia in cancer patients: a prospective randomized study"
"37",0,"Resistance during f/u not included","",NA,NA,NA,11266417,"Efficacy, safety and tolerability of 3 day azithromycin versus 10 day co-amoxiclav in the treatment of children with acute lower respiratory tract infections"
"38",0,"Resistance during f/u not included","",NA,NA,NA,11285152,"Successful shortening from seven to four days of parenteral beta-lactam treatment for common childhood infections: a prospective and randomized study"
"39",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11303823,"Randomized, controlled trial comparing once daily and three times daily gentamicin in children with urinary tract infections"
"40",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11303851,"Comparative study of cefepime versus ceftazidime in the empiric treatment of pediatric cancer patients with fever and neutropenia"
"41",0,"Resistance during f/u not included","",NA,NA,NA,11316178,"Long-Term treatment with cisapride and antibiotics in liver cirrhosis: effect on small intestinal motility, bacterial overgrowth, and liver function"
"42",0,"Resistance during f/u not included","",NA,NA,NA,11387706,"[Treatment of group A streptococcal tonsillopharyngitis. 5 days cephalosporin is as effective as 10 days penicillin]"
"43",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11389117,"Meropenem versus ceftazidime as empirical monotherapy in febrile neutropenia of paediatric patients with cancer"
"44",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11389491,"Randomized, double-blind, controlled study of cefoperazone-sulbactam plus cotrimoxazole versus ceftazidime plus cotrimoxazole for the treatment of severe melioidosis"
"45",NA,NA,NA,NA,NA,NA,11409564,"Treatment of staphylococcal implant infection with rifampicin-ciprofloxacin in stable implants"
"46",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11428270,"[Antibiotic prophylaxis in oncologic pharyngolaryngeal surgery: ceftriaxone versus clindamycin and gentamycin]"
"47",NA,NA,NA,NA,NA,NA,11430537,"Neostigmine resolves critical illness-related colonic ileus in intensive care patients with multiple organ failure - A prospective, double-blind, placebo-controlled trial"
"48",1,"","At the day 28 visit, risk of penicillin-nonsusceptible pneumococcal carriage was significantly lower in the short-course, high-dose group (24%) compared with the standard-course group (32%); relative risk (RR), 0.77; 95% confidence interval (CI), 0.60-0.97; P = .03; risk of trimethoprim-sulfamethoxazole nonsusceptibility was also lower in the short-course, high-dose group (RR, 0.77; 95% CI, 0.58-1.03; P = .08). The protective effect of short-course, high-dose therapy was stronger in households with 3 or more children (RR, 0.72; 95% CI, 0.52-0.98).","5","10","28",11434826,"Effect of short-course, high-dose amoxicillin therapy on resistant pneumococcal carriage: a randomized trial"
"49",NA,NA,NA,NA,NA,NA,11485888,"Antibiotic therapy in intra-abdominal infections--a review on randomised clinical trials."
"50",0,"Intervention (not antibiotics or duration)","No vancomycin-resistant enterococci (VRE) were isolated in either hospital before, during, or after the study. No increase in the number of patients colonized or infected with microorganisms resistant to gentamicin was observed during the study. Separate analysis of the resistance patterns of the pathogens causing VAP did not reveal cases of acquired resistance to the antibiotics used in the oropharyngeal paste.","0 days of oral decontamination but about 1 course of antibiotics","10 days of decontamination therapy + one course of antibiotics",NA,11500337,"Prevention of ventilator-associated pneumonia by oral decontamination: a prospective, randomized, double-blind, placebo-controlled study"
"51",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11535952,"A comparative study of cefaclor vs. amoxicillin/clavulanate in tonsillopharyngitis"
"52",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11591895,"Once-daily versus multiple-daily gentamicin in infants and children"
"53",0,"Resistance during f/u not included","",NA,NA,NA,11686426,"Five days of cefprozil versus 10 days of clarithromycin in the treatment of an acute exacerbation of chronic bronchitis"
"54",NA,NA,NA,NA,NA,NA,11687020,"Antibiotics for spontaneous bacterial peritonitis in cirrhotics."
"55",NA,NA,NA,NA,NA,NA,11687159,"Elective versus symptomatic intravenous antibiotic therapy for cystic fibrosis."
"56",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11699402,"A randomized prospective multicentre trial of cefpirome versus piperacillin-tazobactam in febrile neutropenia"
"57",0,"Resistance during f/u not included","",NA,NA,NA,11711256,"Tolerability of 3-day, once-daily azithromycin suspension versus standard treatments for community-acquired paediatric infectious diseases"
"58",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11720319,"A randomized clinical trial of ciprofloxacin and metronidazole to treat acute pouchitis"
"59",NA,NA,NA,NA,NA,NA,11727192,"Perioperative antimicrobial prophylaxis for colonic surgery: Present status in Germany. A prospective multicenter study with and without metronidazole"
"60",0,"Resistance during f/u not included","",NA,NA,NA,11732026,"Postoperative antibiotic prophylaxis in mandibular fractures: A preliminary randomized, double-blind, and placebo-controlled clinical study"
"61",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11735011,"Efficacy of oral ofloxacin for single-dose perioperative prophylaxis in general surgery--a controlled randomized clinical study"
"62",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11735866,"Results of a pilot trial comparing prolonged intravenous antibiotics with sequential intravenous/oral antibiotics for children with perforated appendicitis"
"63",0,"Participants (not bacterial infection)","",NA,NA,NA,11736715,"Randomized controlled trial of clarithromycin and ethambutol in the treatment of Crohn's disease"
"64",0,"Resistance during f/u not included","",NA,NA,NA,11740701,"Clarithromycin versus azithromycin in the treatment of Mediterranean spotted fever in children: a randomized controlled trial"
"65",0,"Resistance during f/u not included","",NA,NA,NA,11755608,"Once daily oral ofloxacin in chronic obstructive pulmonary disease exacerbation requiring mechanical ventilation: a randomised placebo-controlled trial"
"66",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11757832,"Intraperitoneal ciprofloxacin and rifampicin versus cephradine as initial treatment of (C)APD-related peritonitis: a prospective randomized multicenter comparison (CIPPER trial)"
"67",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11760163,"Comparison of cefepime and ceftazidime in combination with amikacin in the empirical treatment of high-risk patients with febrile neutropenia: a prospective, randomized, multicenter study"
"68",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11776118,"A randomized controlled clinical trial on etimicin, a new aminoglycoside antibiotic, versus netilmicin in the treatment of bacterial infections"
"69",NA,NA,NA,NA,NA,NA,11815577,"Five day clarithromycin modified release versus 10 day penicillin V for group A streptococcal pharyngitis: A multi-centre, open-label, randomized study"
"70",0,"Other","Abstract cannot be retrived",NA,NA,NA,11820968,"[Urinary infections without complications: comparison of a treatment with norfloxacin for 7 days versus norfloxacin for 3 days]"
"71",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11833836,"Clinafloxacin versus piperacillin/tazobactam in the treatment of severe skin and soft-tissue infections in adults at a Veterans Affairs medical center"
"72",0,"Resistance during f/u not included","",NA,NA,NA,11867823,"Effect of long term treatment with azithromycin on disease parameters in cystic fibrosis: a randomised trial"
"73",0,"Resistance during f/u not included","",NA,NA,NA,11868759,"Efficacy of short-course therapy with the ketolide telithromycin compared with 10 days of penicillin V for the treatment of pharyngitis/tonsillitis"
"74",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11885177,"The influence of preoperative antibiotics on success of endosseous implants at 36 months"
"75",1,"","No in vitro resistance to the test drugs was found in the initial cultures, in those cases in which cure was not achieved, or in subsequent re-infections or relapses.","1 dose","3 days","28",11906502,"Single-dose ciprofloxacin versus 3 days of norfloxacin in uncomplicated urinary tract infections in women"
"76",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,11914996,"A study evaluating the efficacy, safety, and tolerability of ertapenem versus ceftriaxone for the treatment of community-acquired pneumonia in adults"
"77",0,"Resistance during f/u not included","",NA,NA,NA,11953726,"Antibiotic prophylaxis in infants and young children with cystic fibrosis: a randomized controlled trial"
"78",0,"Resistance during f/u not included","",NA,NA,NA,11969360,"Cefuroxime vs a dicloxacillin/chloramphenicol combination for the treatment of parapneumonic pleural effusion and empyema in children"
"79",0,"Resistance during f/u not included","",NA,NA,NA,11978253,"Does amoxicillin improve outcomes in patients with purulent rhinorrhea? A pragmatic randomized double-blind controlled trial in family practice"
"80",NA,NA,NA,NA,NA,NA,11986476,"A meta-analysis of randomized, controlled trials comparing short- and long-course antibiotic therapy for urinary tract infections in children."
"81",NA,NA,NA,NA,NA,NA,11991693,"Skin closure after infrainguinal bypass surgery: A prospective randomised study"
"82",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12005083,"Cefepime versus ceftazidime as empiric monotherapy for fever and neutropenia in children with cancer"
"83",0,"Resistance during f/u not included","",NA,NA,NA,12011543,"Efficacy and tolerability of once-daily therapy with telithromycin for 5 or 10 days for the treatment of acute maxillary sinusitis"
"84",NA,NA,NA,NA,NA,NA,12014540,"The natural history of acute cough in children aged 0 to 4 years in primary care: A systematic review"
"85",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12015692,"Ertapenem once daily versus piperacillin-tazobactam 4 times per day for treatment of complicated skin and skin-structure infections in adults: results of a prospective, randomized, double-blind multicenter study"
"86",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12019085,"Randomized controlled trial of sequential intravenous (i.v.) and oral moxifloxacin compared with sequential i.v. and oral co-amoxiclav with or without clarithromycin in patients with community-acquired pneumonia requiring initial parenteral treatment"
"87",0,"Resistance during f/u not included","",NA,NA,NA,12022154,"Tetracycline in the treatment of severe cholera due to Vibrio cholerae O139 Bengal"
"88",0,"Resistance during f/u not included","",NA,NA,NA,12064684,"No advantage of treating acute respiratory tract infections with azithromycin in a placebo-controlled study"
"89",NA,NA,NA,NA,NA,NA,12072669,"Selective decontamination of the digestive tract to prevent postoperative infection: A randomized placebo-controlled trial in liver transplant patients"
"90",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12075760,"Comparison of two dosages of azithromycin for three days versus penicillin V for ten days in acute group A streptococcal tonsillopharyngitis"
"91",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12097764,"Randomized, double-blind study of prulifloxacin versus ciprofloxacin in patients with acute exacerbations of chronic bronchitis"
"92",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12100914,"A prospective, multicenter, randomized, double-blind study comparing ertapenem and ceftriaxone followed by appropriate oral therapy for complicated urinary tract infections in adults"
"93",NA,NA,NA,NA,NA,NA,12111513,"Changes in the intestinal flora after the administration of prophylactic antibiotics to patients undergoing a gastrectomy"
"94",NA,NA,NA,NA,NA,NA,12137628,"Antibiotic duration for treating uncomplicated, symptomatic lower urinary tract infections in elderly women."
"95",NA,NA,NA,NA,NA,NA,12138060,"Short compared with standard duration of antibiotic treatment for urinary tract infection: A systematic review of randomised controlled trials"
"96",0,"Resistance during f/u not included","",NA,NA,NA,12161723,"Short treatment durations for acute bacterial rhinosinusitis: Five days of gemifloxacin versus 7 days of gemifloxacin"
"97",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12195873,"Three days of pivmecillinam or norfloxacin for treatment of acute uncomplicated urinary infection in women"
"98",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12240780,"A multicenter, open-label, randomized comparison of levofloxacin and azithromycin plus ceftriaxone in hospitalized adults with moderate to severe community-acquired pneumonia"
"99",0,"Resistance during f/u not included","",NA,NA,NA,12243918,"Clinical efficacy of 3 days versus 5 days of oral amoxicillin for treatment of childhood pneumonia: a multicentre double-blind trial"
"100",0,"Resistance during f/u not included","",NA,NA,NA,12351592,"Prophylaxis of radiation-associated mucositis in conventionally treated patients with head and neck cancer: a double-blind, phase III, randomized, controlled trial evaluating the clinical efficacy of an antimicrobial lozenge using a validated mucositis scoring system"
"101",0,"Outcome (not clinical efficacy)","",NA,NA,NA,12352474,"Erythromycin reduces delayed gastric emptying in critically ill trauma patients: a randomized, controlled trial"
"102",0,"Resistance during f/u not included","",NA,NA,NA,12405169,"Seven days vs. 10 days ceftriaxone therapy in bacterial meningitis"
"103",NA,NA,NA,NA,NA,NA,12420730,"Single-dose metronidazole versus 5-day multi-drug antibiotic regimen in excision of pilonidal sinuses with primary closure: A prospective randomised controlled double-blinded study"
"104",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12424684,"[Prophylaxis of recurrent urinary tract infections in children. Results of an open, controlled and randomized study about the efficacy and tolerance of cefixime compared to nitrofurantoin]"
"105",0,"Resistance during f/u not included","",NA,NA,NA,12480424,"Comparison of single-dose azithromycin and 12-dose, 3-day erythromycin for childhood cholera: a randomised, double-blind trial"
"106",NA,NA,NA,NA,NA,NA,12490017,"Antibiotic prophylaxis in percutaneous nephrolithotomy: Prospective study in 81 patients"
"107",0,"Resistance during f/u not included","",NA,NA,NA,12495686,"Combination therapy with polymyxin B-immobilized fibre haemoperfusion and teicoplanin for sepsis due to methicillin-resistant Staphylococcus aureus"
"108",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12501873,"A prospective, randomized, double-blind multicenter comparison of parenteral ertapenem and ceftriaxone for the treatment of hospitalized adults with community-acquired pneumonia"
"109",0,"Resistance during f/u not included","",NA,NA,NA,12526248,"The treatment duration of acute maxillary sinusitis: how long should it be? A nasal smear controlled study"
"110",NA,NA,NA,NA,NA,NA,12535494,"Short versus standard duration oral antibiotic therapy for acute urinary tract infection in children."
"111",NA,NA,NA,NA,NA,NA,12558230,"Improvement of intraoperative antibiotic prophylaxis in prolonged cardiac surgery by automated alerts in the operating room"
"112",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12581548,"An open-label, randomized, multicenter, comparative study of the efficacy and safety of 7 days of treatment with clarithromycin extended-release tablets versus clarithromycin immediate-release tablets for the treatment of patients with acute bacterial exacerbation of chronic bronchitis"
"113",0,"Resistance during f/u not included","",NA,NA,NA,12645831,"Oral gemifloxacin once daily for 5 days compared with sequential therapy with i.v. ceftriaxone/oral cefuroxime (maximum of 10 days) in the treatment of hospitalized patients with acute exacerbations of chronic bronchitis"
"114",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12655535,"Outpatient, sequential, parenteral-oral antibiotic therapy for lower risk febrile neutropenia in children with malignant disease: a single-center, randomized, controlled trial in Argentina"
"115",NA,NA,NA,NA,NA,NA,12678357,"A prospective, randomised comparison of autologous chondrocyte implantation versus mosaicplasty for osteochondral defects in the knee"
"116",0,"Resistance during f/u not included","",NA,NA,NA,12681877,"A randomized clinical trial of prophylaxis for vacuum abortion: 3 versus 7 days of doxycycline"
"117",0,"Resistance during f/u not included","",NA,NA,NA,12685882,"Ciprofloxacin for 2 or 4 weeks in the treatment of febrile urinary tract infection in men: a randomized trial with a 1 year follow-up"
"118",0,"Resistance during f/u not included","",NA,NA,NA,12697078,"Ertapenem versus piperacillin-tazobactam for treatment of mixed anaerobic complicated intra-abdominal, complicated skin and skin structure, and acute pelvic infections"
"119",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12725542,"Treatment of urinary tract infection with gentamicin once or three times daily"
"120",0,"Resistance during f/u not included","",NA,NA,NA,12729423,"Duration of antibiotic therapy for early Lyme disease. A randomized, double-blind, placebo-controlled trial"
"121",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12730816,"Antibiotic prophylaxis in elective thoracic surgery: cefuroxime versus cefepime"
"122",NA,NA,NA,NA,NA,NA,12749513,"A comparison of 5-day courses of dirithromycin and azithromycin in the treatment of acute exacerbations of chronic obstructive pulmonary disease"
"123",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12802748,"Ceftriaxone compared with sodium penicillin g for treatment of severe leptospirosis"
"124",0,"Resistance during f/u not included","",NA,NA,NA,12810429,"Antibiotic treatment and long term prognosis of reactive arthritis"
"125",0,"Resistance during f/u not included","",NA,NA,NA,12847531,"Pneumonia in term neonates: laboratory studies and duration of antibiotic therapy"
"126",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12856976,"Azithromycin in the treatment of cholera in children"
"127",0,"Resistance during f/u not included","",NA,NA,NA,12870368,"Oral telithromycin 800 mg once daily for 5 days versus cefuroxime axetil 500 mg twice daily for 10 days in adults with acute exacerbations of chronic bronchitis"
"128",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,12913766,"Linezolid versus vancomycin for treatment of resistant Gram-positive infections in children"
"129",NA,NA,NA,NA,NA,NA,12917897,"Nebulised anti-pseudomonal antibiotics for cystic fibrosis."
"130",NA,NA,NA,NA,NA,NA,12917916,"Prophylactic antibiotics for cystic fibrosis."
"131",0,"Resistance during f/u not included","",NA,NA,NA,12942708,"Efficacy of empirically prescribed amoxicillin and amoxicillin + clavulanic acid in children's reactive arthritis: a randomised trial"
"132",NA,NA,NA,NA,NA,NA,12959681,"Evaluation of ticarcillin/clavulanic acid versus ceftriaxone plus amikacin for fever and neutropenia in pediatric patients with leukemia and lymphoma"
"133",0,"Resistance during f/u not included","",NA,NA,NA,13678479,"Comparison of 5 days of extended-release clarithromycin versus 10 days of penicillin V for the treatment of streptococcal pharyngitis/tonsillitis: results of a multicenter, double-blind, randomized study in adolescent and adult patients"
"134",0,"Resistance during f/u not included","",NA,NA,NA,14503094,"Efficacy and tolerability of telithromycin for 5 or 10 days vs amoxicillin/clavulanic acid for 10 days in acute maxillary sinusitis"
"135",0,"Resistance during f/u not included","",NA,NA,NA,14526317,"Duration of antibiotic therapy after preterm premature rupture of fetal membranes"
"136",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,14570343,"Cefazolin versus cefazolin plus metronidazole for antibiotic prophylaxis at cesarean section"
"137",NA,NA,NA,NA,NA,NA,14583862,"Once-Weekly Dalbavancin versus Standard-of-Care Antimicrobial Regimens for Treatment of Skin and Soft-Tissue Infections"
"138",NA,NA,NA,NA,NA,NA,14583957,"Antibiotic therapy for prophylaxis against infection of pancreatic necrosis in acute pancreatitis."
"139",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,14584770,"Assessment of nosocomial urinary tract infections in orthopaedic patients: a prospective and comparative study using two different catheters"
"140",NA,NA,NA,NA,NA,NA,14617299,"Linezolid in the treatment of vancomycin-resistant Enterococcus faecium in solid organ transplant recipients: Report of a multicenter compassionate-use trial"
"141",1,"","Among patients who developed recurrent infections, multiresistant pathogens emerged less frequently in those who had received 8 days of antibiotics (42.1% vs 62.0% of pulmonary recurrences, P = .04).","8","15","",14625336,"Comparison of 8 vs 15 days of antibiotic therapy for ventilator-associated pneumonia in adults: a randomized trial"
"142",0,"Resistance during f/u not included","",NA,NA,NA,14656841,"Penicillin for acute sore throat in children: randomised, double blind trial"
"143",NA,NA,NA,NA,NA,NA,14664657,"Levofloxacin: A Review of its Use in the Treatment of Bacterial Infections in the United States"
"144",NA,NA,NA,NA,NA,NA,14697822,"Selective decontamination of digestive tract in intensive care."
"145",NA,NA,NA,NA,NA,NA,14702908,"Do delayed prescriptions reduce antibiotic use in respiratory tract infections? A systematic review"
"146",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,14759242,"Ampicillin + sulbactam vs clindamycin +/- cephalosporin for the treatment of aspiration pneumonia and primary lung abscess"
"147",0,"Resistance during f/u not included","",NA,NA,NA,14970093,"Optimal duration of antibiotic therapy for uncomplicated urinary tract infection in older women: a double-blind randomized controlled trial"
"148",0,"Resistance during f/u not included","",NA,NA,NA,15000732,"Benzathine penicillin, metronidazole and benzyl penicillin in the treatment of tetanus: a randomized, controlled trial"
"149",0,"Resistance during f/u not included","",NA,NA,NA,15084807,"Streptococcal-A tonsillopharyngitis: a 5-day course of cefuroxime axetil versus a 10-day course of penicillin V. results depending on the children's age"
"150",NA,NA,NA,NA,NA,NA,15106170,"Macrolide antibiotics for cystic fibrosis."
"151",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,15113316,"A randomised, double-blind, double-dummy comparative study of gatifloxacin with clarithromycin in the treatment of community-acquired pneumonia"
"152",0,"Study design (not RCT)","",NA,NA,NA,15119993,"Efficacy of 750-mg, 5-day levofloxacin in the treatment of community-acquired pneumonia caused by atypical pathogens"
"153",0,"Resistance during f/u not included","",NA,NA,NA,15128726,"Improving appropriateness of antibiotic therapy: randomized trial of an intervention to foster reassessment of prescription after 3 days"
"154",0,"Resistance during f/u not included","Subsequent infection discontinuation group 56 (37.3) conventional group 46 (32.9) 0.425 but resistance not reported",NA,NA,NA,15136392,"A randomized controlled trial of an antibiotic discontinuation policy for clinically suspected ventilator-associated pneumonia"
"155",0,"Resistance during f/u not included","",NA,NA,NA,15150184,"Ertapenem versus ceftriaxone for the treatment of community-acquired pneumonia in adults: combined analysis of two multicentre randomized, double-blind studies"
"156",0,"Resistance during f/u not included","",NA,NA,NA,15150185,"Treatment of complicated urinary tract infection in adults: combined analysis of two randomized, double-blind, multicentre trials comparing ertapenem and ceftriaxone followed by appropriate oral therapy"
"157",0,"Resistance during f/u not included","",NA,NA,NA,15173031,"Impact of amoxicillin prophylaxis on the incidence, nature, and duration of bacteremia in children after intubation and dental procedures"
"158",0,"Resistance during f/u not included","",NA,NA,NA,15194131,"Gatifloxacin 400 mg as a single shot or 200 mg once daily for 3 days is as effective as ciprofloxacin 250 mg twice daily for the treatment of patients with uncomplicated urinary tract infections"
"159",0,"Resistance during f/u not included","",NA,NA,NA,15211234,"[Treatment of exacerbations of chronic obstructive pulmonary disease with pristinamycin]"
"160",0,"Study design (not RCT)","",NA,NA,NA,15211249,"[ANTEAB: a study of early antibiotic therapy in intensive care management of acute exacerbations of chronic obstructive lung disease]"
"161",NA,NA,NA,NA,NA,NA,15214873,"Evaluation of 5-day therapy with telithromycin, a novel ketolide antibacterial, for the treatment of tonsillopharyngitis"
"162",NA,NA,NA,NA,NA,NA,15219008,"Prevention of MRSA pneumonia by oral vancomycin decontamination: A randomised trial"
"163",NA,NA,NA,NA,NA,NA,15235203,"Early enteral nutrition after surgical treatment of gut perforations: A prospective randomised study"
"164",0,"Resistance during f/u not included","",NA,NA,NA,15302637,"Comparison of short-course (5 days) and standard (10 days) treatment for uncomplicated cellulitis"
