"","PMID","PUI","Title"
"78",21501482,NA,"A prospective, multi centre, randomized clinical study to compare the efficacy and safety of Ertapenem 3 days versus Ampicillin-Sulbactam 3 days in the treatment of localized community acquired intra-abdominal infection. (T.E.A. Study: Three days Ertapenem vs three days Ampicillin-sulbactam)"
"79",21435093,NA,"Is there a benefit to extending the duration of Helicobacter pylori sequential therapy to 14 days?"
"80",21435092,NA,"Modified sequential Helicobacter pylori therapy: proton pump inhibitor and amoxicillin for 14 days with clarithromycin and metronidazole added as a quadruple (hybrid) therapy for the final 7 days"
"81",21397770,NA,"Efficacy and tolerability of besifloxacin ophthalmic suspension 0.6% administered twice daily for 3 days in the treatment of bacterial conjunctivitis: a multicenter, randomized, double-masked, vehicle-controlled, parallel-group study in adults and children"
"82",21123162,NA,"Metronidazole 1.5 gram dose for 7 or 14 days in the treatment of patients with chronic prostatitis caused by Trichomonas vaginalis: A randomized study"
"83",20402816,NA,"Comparison of the efficacy of the two tetracycline-containing sequential therapy regimens for the eradication of Helicobacter pylori: 5 days versus 14 days amoxicillin"
"84",20398300,NA,"Antimicrobial resistance of H. pylori to the outcome of 10-days vs. 7-days Moxifloxacin based therapy for the eradication: a randomized controlled trial"
"86",20185560,NA,"Ten days vs. 14 days antibiotic therapy in culture-proven neonatal sepsis"
"87",19691829,NA,"Treatment duration of febrile urinary tract infection (FUTIRST trial): a randomized placebo-controlled multicenter trial comparing short (7 days) antibiotic treatment with conventional treatment (14 days)"
"88",19323633,NA,"Prospective, randomized trial of 10 days versus 30 days of antimicrobial treatment, including a short-term course of parenteral therapy, for childhood septic arthritis"
"89",19097848,NA,"[Duration of antibiotic therapy for ventilator-associated pneumonia: comparison of 7 and 10 days. A pilot study]"
"90",18348774,NA,"The treatment of giardiasis in children: single-dose tinidazole compared with 3 days of nitazoxanide"
"91",18343748,NA,"Efficacy and safety of azithromycin 1 g once daily for 3 days in the treatment of community-acquired pneumonia: an open-label randomised comparison with amoxicillin-clavulanate 875/125 mg twice daily for 7 days"
"92",18332170,NA,"Pharmacodynamic analysis and clinical trial of amoxicillin sprinkle administered once daily for 7 days compared to penicillin V potassium administered four times daily for 10 days in the treatment of tonsillopharyngitis due to Streptococcus pyogenes in children"
"93",18242357,NA,"A double-blind, randomized comparison of levofloxacin 750 mg once-daily for five days with ciprofloxacin 400/500 mg twice-daily for 10 days for the treatment of complicated urinary tract infections and acute pyelonephritis"
"94",17880755,NA,"A trial of levofloxacin 750 mg once daily for 5 days versus ciprofloxacin 400 mg and/or 500 mg twice daily for 10 days in the treatment of acute pyelonephritis"
"95",17846853,NA,"A prospective, double-blind, multicenter, randomized trial comparing ertapenem 3 vs >or=5 days in community-acquired intraabdominal infection"
"96",17681976,NA,"Comment on: Gemifloxacin once daily for 5 days versus 7 days for the treatment of community-acquired pneumonia: a randomized, multicentre, double-blind study"
"97",17537866,NA,"Gemifloxacin once daily for 5 days versus 7 days for the treatment of community-acquired pneumonia: a randomized, multicentre, double-blind study"
"98",17391383,NA,"Three vs. 10 days of amoxycillin-clavulanic acid for type 1 acute exacerbations of chronic obstructive pulmonary disease: a randomised, double-blind study"
"99",17219539,NA,"Pneumonia: 3 days of antibiotics for uncomplicated course"
"100",17097398,NA,"Topical retapamulin ointment (1%, wt/wt) twice daily for 5 days versus oral cephalexin twice daily for 10 days in the treatment of secondarily infected dermatitis: results of a randomized controlled trial"
"101",16982294,NA,"Levofloxacin 750 mg QD for five days versus amoxicillin/clavulanate 875 mg/125 mg BID for ten days for treatment of acute bacterial exacerbation of chronic bronchitis: a post hoc analysis of data from severely ill patients"
"102",16957433,NA,"Retapamulin ointment twice daily for 5 days vs oral cephalexin twice daily for 10 days for empiric treatment of secondarily infected traumatic lesions of the skin"
"103",16763247,NA,"Effectiveness of discontinuing antibiotic treatment after three days versus eight days in mild to moderate-severe community acquired pneumonia: randomised, double blind study"
"104",16732143,NA,"A pilot study of 1 versus 3 days of dexamethasone as add-on therapy in children with streptococcal pharyngitis"
"105",16730170,NA,"Levofloxacin 750-mg for 5 days for the treatment of hospitalized Fine Risk Class III/IV community-acquired pneumonia patients"
"106",16398726,NA,"Granulocyte-colony-stimulating factor-mobilized prophylactic granulocyte transfusions given after allogeneic peripheral blood progenitor cell transplantation result in a modest reduction of febrile days and intravenous antibiotic usage"
"107",16117986,NA,"A comparison of 5 days of therapy with cefdinir or azithromycin in children with acute otitis media: a multicenter, prospective, single-blind study"
"108",16087013,NA,"Efficacy and safety of a novel, single-dose azithromycin microsphere formulation versus 10 days of levofloxacin for the treatment of acute bacterial sinusitis in adults"
"109",16086704,NA,"Seven versus ten days of rabeprazole triple therapy for Helicobacter pylori eradication: a multicenter randomized trial"
"110",16024926,NA,"Eradication of Helicobacter pylori can be accurately confirmed 14 days after termination of triple therapy using a high-dose citric acid-based 13C urea breath test"
"111",15725048,NA,"Once-daily azithromycin for 3 days compared with clarithromycin for 10 days for acute exacerbation of chronic bronchitis: a multicenter, double-blind, randomized study"
"112",15704358,NA,"[Five days ceftibuten versus 10 days penicillin in the treatment of 2099 patients with A-streptococcal tonsillopharyngitis]"
"113",15616290,NA,"Efficacy and safety of pharmacokinetically enhanced amoxicillin-clavulanate at 2,000/125 milligrams twice daily for 5 days versus amoxicillin-clavulanate at 875/125 milligrams twice daily for 7 days in the treatment of acute exacerbations of chronic bronchitis"
"114",15365537,NA,"Efficacy and safety of oral telithromycin once daily for 5 days versus moxifloxacin once daily for 10 days in the treatment of acute bacterial rhinosinusitis"
"115",15361727,NA,"Two dosages of clarithromycin for five days, amoxicillin/clavulanate for five days or penicillin V for ten days in acute group A streptococcal tonsillopharyngitis"
"116",15356779,NA,"A prospective, randomized trial of 3 or 14 days of ciprofloxacin treatment for acute urinary tract infection in patients with spinal cord injury"
"117",15328092,NA,"Double-blind, randomized study of the efficacy and safety of oral pharmacokinetically enhanced amoxicillin-clavulanate (2,000/125 milligrams) versus those of amoxicillin-clavulanate (875/125 milligrams), both given twice daily for 7 days, in treatment of bacterial community-acquired pneumonia in adults"
"118",15303634,NA,"Gemifloxacin once daily for 7 days compared to amoxicillin/clavulanic acid thrice daily for 10 days for the treatment of community-acquired pneumonia of suspected pneumococcal origin"
"119",15303633,NA,"A randomized, double-blind study comparing 5 days oral gemifloxacin with 7 days oral levofloxacin in patients with acute exacerbation of chronic bronchitis"
"120",15302637,NA,"Comparison of short-course (5 days) and standard (10 days) treatment for uncomplicated cellulitis"
"121",15249757,NA,"Effects of co-administration of ibuprofen-lysine on the pharmacokinetics of amikacin in preterm infants during the first days of life"
"122",15194131,NA,"Gatifloxacin 400 mg as a single shot or 200 mg once daily for 3 days is as effective as ciprofloxacin 250 mg twice daily for the treatment of patients with uncomplicated urinary tract infections"
"123",15140342,NA,"Comparison of hospitalization rates in patients with community-acquired pneumonia treated with 10 days of telithromycin or clarithromycin"
"124",15140341,NA,"Comparison of hospitalization rates in patients with community-acquired pneumonia treated with telithromycin for 5 or 7 days or clarithromycin for 10 days"
"125",15128726,NA,"Improving appropriateness of antibiotic therapy: randomized trial of an intervention to foster reassessment of prescription after 3 days"
"126",15041875,NA,"[Treatment of functional signs of acute maxillary rhinosinusitis in adults. Efficacy and tolerance of administration of oral prednisone for 3 days]"
"127",14625336,NA,"Comparison of 8 vs 15 days of antibiotic therapy for ventilator-associated pneumonia in adults: a randomized trial"
"128",14503094,NA,"Efficacy and tolerability of telithromycin for 5 or 10 days vs amoxicillin/clavulanic acid for 10 days in acute maxillary sinusitis"
"129",13678479,NA,"Comparison of 5 days of extended-release clarithromycin versus 10 days of penicillin V for the treatment of streptococcal pharyngitis/tonsillitis: results of a multicenter, double-blind, randomized study in adolescent and adult patients"
"130",12870368,NA,"Oral telithromycin 800 mg once daily for 5 days versus cefuroxime axetil 500 mg twice daily for 10 days in adults with acute exacerbations of chronic bronchitis"
"131",12725603,NA,"Triple therapy for 7 days vs. triple therapy for 7 days plus omeprazole for 21 days in treatment of active duodenal ulcer with Helicobacter pylori infection. A double blind placebo controlled trial"
"132",12681877,NA,"A randomized clinical trial of prophylaxis for vacuum abortion: 3 versus 7 days of doxycycline"
"133",12645831,NA,"Oral gemifloxacin once daily for 5 days compared with sequential therapy with i.v. ceftriaxone/oral cefuroxime (maximum of 10 days) in the treatment of hospitalized patients with acute exacerbations of chronic bronchitis"
"134",12581548,NA,"An open-label, randomized, multicenter, comparative study of the efficacy and safety of 7 days of treatment with clarithromycin extended-release tablets versus clarithromycin immediate-release tablets for the treatment of patients with acute bacterial exacerbation of chronic bronchitis"
"135",12560149,NA,"Etiology of acute otitis media in childhood and evaluation of two different protocols of antibiotic therapy: 10 days cefaclor vs. 3 days azitromycin"
"136",12405169,NA,"Seven days vs. 10 days ceftriaxone therapy in bacterial meningitis"
"137",12243918,NA,"Clinical efficacy of 3 days versus 5 days of oral amoxicillin for treatment of childhood pneumonia: a multicentre double-blind trial"
"138",12195873,NA,"Three days of pivmecillinam or norfloxacin for treatment of acute uncomplicated urinary infection in women"
"139",12161723,NA,"Short treatment durations for acute bacterial rhinosinusitis: Five days of gemifloxacin versus 7 days of gemifloxacin"
"140",12075760,NA,"Comparison of two dosages of azithromycin for three days versus penicillin V for ten days in acute group A streptococcal tonsillopharyngitis"
"141",12011543,NA,"Efficacy and tolerability of once-daily therapy with telithromycin for 5 or 10 days for the treatment of acute maxillary sinusitis"
"142",11906502,NA,"Single-dose ciprofloxacin versus 3 days of norfloxacin in uncomplicated urinary tract infections in women"
"143",11868759,NA,"Efficacy of short-course therapy with the ketolide telithromycin compared with 10 days of penicillin V for the treatment of pharyngitis/tonsillitis"
"144",11838927,NA,"Short-term (48 hours) versus long-term (7 days) antibiotic prophylaxis for permanent pacemaker implantation"
"145",11820968,NA,"[Urinary infections without complications: comparison of a treatment with norfloxacin for 7 days versus norfloxacin for 3 days]"
"146",11686426,NA,"Five days of cefprozil versus 10 days of clarithromycin in the treatment of an acute exacerbation of chronic bronchitis"
"147",11534420,NA,"[Comparative study of the eradication of Helicobacter pylori: ranitidine bismuth citrate versus omeprazole plus two antibiotics for seven days]"
"148",11396535,NA,"Ranitidine bismuth citrate-based triple therapy for seven days, with or without further anti-secretory therapy, is highly effective in patients with duodenal ulcer and Helicobacter pylori infection"
"149",11387706,NA,"[Treatment of group A streptococcal tonsillopharyngitis. 5 days cephalosporin is as effective as 10 days penicillin]"
"150",11285152,NA,"Successful shortening from seven to four days of parenteral beta-lactam treatment for common childhood infections: a prospective and randomized study"
"151",11086771,NA,"Perioperative antibiotic use in high-risk penetrating hollow viscus injury: a prospective randomized, double-blind, placebo-control trial of 24 hours versus 5 days"
"152",11076325,NA,"Neonatal pneumonia: comparison of 4 vs 7 days of antibiotic therapy in term and near-term infants"
"153",10980174,NA,"Eradication of non-typhoid salmonellae in acute enteritis after therapy with ofloxacin for 5 or 10 days"
"154",10975012,NA,"Treatment of bacillary dysentery in Vietnamese children: two doses of ofloxacin versus 5-days nalidixic acid"
"155",10933649,NA,"Comparative efficacy of 5 days of dirithromycin and 7 days of erythromycin in skin and soft tissue infections"
"156",10877166,NA,"Treatment of shigellosis with cefixime: two days vs. five days"
"157",10849056,NA,"Comparison of seven and fourteen days of lansoprazole, clarithromycin, and amoxicillin therapy for eradication of Helicobacter pylori: a report from India"
"158",10819344,NA,"Five vs. ten days of antibiotic therapy for acute otitis media in young children"
"159",10749463,NA,"Randomized trial of four vs. seven days of ceftriaxone treatment for bacterial meningitis in children with rapid initial recovery"
"160",10735395,NA,"Comparison of ciprofloxacin (7 days) and trimethoprim-sulfamethoxazole (14 days) for acute uncomplicated pyelonephritis pyelonephritis in women: a randomized trial"
"161",10634735,NA,"Penicillin for acute sore throat: randomised double blind trial of seven days versus three days treatment or placebo in adults"
"162",33998210,NA,"[Clinical study of calcium phosphate cement loaded with recombinant human bone morphogenetic protein 2 combined with calcium phosphate cement loaded with antibiotic for chronic osteomyelitis with bone defect]"
"163",33983065,NA,"Ivermectin in combination with doxycycline for treating COVID-19 symptoms: a randomized trial"
"164",33904295,NA,"Comparison of Short Course Versus Long Course Antibiotic Prophylaxis for Caesarean Section: A Randomised Controlled Trial"
"165",33798311,NA,"[Cupping treatment combined with antibiotics for bacterial pneumonia in children: a randomized controlled trial]"
"166",33787584,NA,"Vitamin D supplementation and improvement of pneumonic children at a tertiary pediatric hospital in Egypt: A randomized controlled trial"
"167",33545096,NA,"Azithromycin in patients admitted to hospital with COVID-19 (RECOVERY): a randomised, controlled, open-label, platform trial"
"168",33486496,NA,"Early Use of Corticosteroid May Prolong SARS-CoV-2 Shedding in Non-Intensive Care Unit Patients with COVID-19 Pneumonia: A Multicenter, Single-Blind, Randomized Control Trial"
"169",33484864,NA,"Omadacycline vs moxifloxacin in adults with community-acquired bacterial pneumonia"
"170",33306991,NA,"Safety and immunogenicity of the adjunct therapeutic vaccine ID93 + GLA-SE in adults who have completed treatment for tuberculosis: a randomised, double-blind, placebo-controlled, phase 2a trial"
"171",33244881,NA,"Prospective randomized comparative study of percutaneous catheter drainage and percutaneous needle aspiration in the treatment of liver abscess"
"172",33185339,NA,"[The efficiency of combination therapy of non-gonococcal urethritis in men]"
"173",33081849,NA,"Safety and efficacy of antiviral combination therapy in symptomatic patients of Covid-19 infection - a randomised controlled trial (SEV-COVID Trial): A structured summary of a study protocol for a randomized controlled trial"
"174",33081817,NA,"Proactive prophylaxis with azithromycin and hydroxychloroquine in hospitalized patients with COVID-19 (ProPAC-COVID): a statistical analysis plan"
"175",33032474,NA,"Clinical evaluation of the synbiotic Prodefen Plus® in the prevention of the antibiotic-associated diarrhoea in subjects requiring antibiotic treatment"
"176",32960242,NA,"Effect of Prophylactic Negative Pressure Wound Therapy vs Standard Wound Dressing on Surgical-Site Infection in Obese Women After Cesarean Delivery: A Randomized Clinical Trial"
"177",32957336,NA,"The prolongation effect of ilaprazole-based standard triple therapy for Helicobacter pylori"
"178",32946836,NA,"Safety, immunogenicity, and efficacy of a Clostridioides difficile toxoid vaccine candidate: a phase 3 multicentre, observer-blind, randomised, controlled trial"
"179",32925778,NA,"Study on metabonomics of Chinese herbal medicine in the treatment of type 2 diabetes mellitus complicated with community-acquired pneumonia"
"180",32898578,NA,"Family Integrated Care for Preterm Infants in China: A Cluster Randomized Controlled Trial"
"181",32853672,NA,"Safety and effectiveness of azithromycin in patients with COVID-19: An open-label randomised trial"
"182",32807092,NA,"Microbial epidemiology and risk factors for relapse in gram-negative bacteria catheter-related bloodstream infection with a pilot prospective study in patients with catheter removal receiving short-duration of antibiotic therapy"
"183",32667982,NA,"Adjunctive Daptomycin in the Treatment of Methicillin-susceptible Staphylococcus aureus Bacteremia: A Randomized, Controlled Trial"
"184",32660517,NA,"Clinical effect modifiers of antibiotic treatment in patients with chronic low back pain and Modic changes - secondary analyses of a randomised, placebo-controlled trial (the AIM study)"
"185",32629112,NA,"Antibiotic route and duration of therapy for cellulitis: data extracted from a multi-center clinical trial"
"186",32609980,NA,"Randomized Trial of Amoxicillin for Pneumonia in Pakistan"
"188",32598243,NA,"What Should be Done for Perforation of the Gallbladder During Laparoscopic Cholecystectomy: Prophylaxis or Treatment?"
"189",32546269,NA,"Short-course antibiotic regimen compared to conventional antibiotic treatment for gram-positive cocci infective endocarditis: randomized clinical trial (SATIE)"
"191",32487263,NA,"Duration of antibiotic therapy in critically ill patients: a randomized controlled trial of a clinical and C-reactive protein-based protocol versus an evidence-based best practice strategy without biomarkers"
"192",32484534,NA,"Effect of C-Reactive Protein-Guided Antibiotic Treatment Duration, 7-Day Treatment, or 14-Day Treatment on 30-Day Clinical Failure Rate in Patients With Uncomplicated Gram-Negative Bacteremia: A Randomized Clinical Trial"
"193",32398341,NA,"Bacteremia Antibiotic Length Actually Needed for Clinical Effectiveness (BALANCE) randomised clinical trial: study protocol"
"194",32398065,NA,"An antibiotic stewardship programme to reduce inappropriate antibiotic prescribing for acute respiratory infections in rural Chinese primary care facilities: study protocol for a clustered randomised controlled trial"
"195",32378802,NA,"Effect of bile duct clamping versus no clamping on surgical site infections in patients undergoing pancreaticoduodenectomy: a randomized controlled study"
"196",32361220,NA,"Clinical impact of lung ultrasound monitoring for diagnosis of ventilator associated pneumonia: A diagnostic randomized controlled trial"
