"","PMID","title","Publication.Year","relevent","dur_trial","reason_exclude","Comments","short_dur","long_dur","fu_period"
"15",586099,"Comparative efficacy and toxicity of amikacin/carbenicillin versus gentamicin/carbenicillin in leukopenic patients. A randomized prospective trail",1977,NA,NA,NA,NA,NA,NA,NA
"16",708024,"Single-dose doxycycline for cholera",1978,NA,NA,NA,NA,NA,NA,NA
"17",733132,"Infectious morbidity following cesarean section. Comparison of two treatment regimens",1978,NA,NA,NA,NA,NA,NA,NA
"18",786428,"Randomised controlled trial of antibiotics in patients with cough and purulent sputum",1976,NA,NA,NA,NA,NA,NA,NA
"19",820813,"Nutritional status: a determinant of severity of diarrhea in patients with cholera",1976,NA,NA,NA,NA,NA,NA,NA
"20",839852,"Antibiotic prophylaxis for open-heart surgery",1977,NA,NA,NA,NA,NA,NA,NA
"21",868907,"Comparison of amikacin and gentamicin in the treatment of urinary tract infections",1977,NA,NA,NA,NA,NA,NA,NA
"22",1067690,"[Antibiotic prophylaxis in intensive care patients]",1976,NA,NA,NA,NA,NA,NA,NA
"23",1088099,"Doxycycline in the treatment of cholera",1976,NA,NA,NA,NA,NA,NA,NA
"24",1095132,"Duration of treatment for urinary tract infections in children",1975,NA,NA,NA,NA,NA,NA,NA
"25",1095307,"A controlled trial of bromhexine ('Bisolvon') in out-patients with chronic bronchitis",1975,NA,NA,NA,NA,NA,NA,NA
"26",1130885,"Incidence and significance of intraperitoneal anaerobic bacteria",1975,NA,NA,NA,NA,NA,NA,NA
"27",1252882,"Comparative double-blind study of cephalexin and co-trimoxazole in urinary tract infections",1976,NA,NA,NA,NA,NA,NA,NA
"28",1262715,"Yersinia pestis infection in Vietnam. II. Quantiative blood cultures and detection of endotoxin in the cerebrospinal fluid of patients with meningitis",1976,NA,NA,NA,NA,NA,NA,NA
"29",1287138,"The efficacy and safety of once-daily ceftibuten compared with co-amoxiclav in the treatment of acute bacterial sinusitis",1992,NA,NA,NA,NA,NA,NA,NA
"30",1291309,"Clindamycin versus phenoxymethylpenicillin in the treatment of acute orofacial infections",1992,NA,NA,NA,NA,NA,NA,NA
"31",1308265,"A single preoperative dose of cefazolin versus postoperative amoxicillin and gentamycin combination in prophylaxis of orthopaedic and traumatologic surgery",1992,NA,NA,NA,NA,NA,NA,NA
"32",1337070,"Erythema migrans: comparison of treatment with azithromycin, doxycycline and phenoxymethylpenicillin",1992,NA,NA,NA,NA,NA,NA,NA
"33",1349112,"Randomised comparison of oral ofloxacin alone with combination of parenteral antibiotics in neutropenic febrile patients",1992,NA,NA,NA,NA,NA,NA,NA
"34",1351620,"Double-blind study of selective decontamination of the digestive tract in intensive care",1992,NA,NA,NA,NA,NA,NA,NA
"35",1356459,"Fosfomycin/metronidazole compared with doxycycline/metronidazole for the prophylaxis of infection after elective colorectal surgery. A randomised double-blind multicentre trial in 517 patients",1992,NA,NA,NA,NA,NA,NA,NA
"36",1361423,"Diagnostic value of a P-fimbriation test in determining duration of therapy in children with urinary tract infections",1992,NA,NA,NA,NA,NA,NA,NA
"37",1372855,"Interferon gamma-1b. A review of its pharmacology and therapeutic potential in chronic granulomatous disease",1992,NA,NA,NA,NA,NA,NA,NA
"38",1399377,"A comparative trial of aztreonam versus gentamicin in the treatment of urinary tract infections",1992,NA,NA,NA,NA,NA,NA,NA
"39",1416574,"Treatment of shigellosis: III. Comparison of one- or two-dose ciprofloxacin with standard 5-day therapy. A randomized, blinded trial",1992,NA,NA,NA,NA,NA,NA,NA
"40",1416895,"Antimicrobial prophylaxis for major head and neck surgery in cancer patients: sulbactam-ampicillin versus clindamycin-amikacin",1992,NA,NA,NA,NA,NA,NA,NA
"41",1421911,"Single daily doses of trimethoprim/sulphadiazine for three or 10 days in urinary tract infections",1992,NA,NA,NA,NA,NA,NA,NA
"42",1434726,"Comparative study of cefazolin, cefamandole, and vancomycin for surgical prophylaxis in cardiac and vascular operations. A double-blind randomized trial",1992,NA,NA,NA,NA,NA,NA,NA
"43",1443356,"Timing of antibiotic prophylaxis with cefotaxime for prostatic resection: better in the operative period or at urethral catheter removal?",1992,NA,NA,NA,NA,NA,NA,NA
"44",1451930,"An open multicentre study to compare the efficacy and safety of sultamicillin with that of cefuroxime axetil in acute ear nose and throat infections in adults",1992,NA,NA,NA,NA,NA,NA,NA
"45",1453032,"Does metronidazole prevent alveolitis sicca dolorosa? A double-blind, placebo-controlled clinical study",1992,NA,NA,NA,NA,NA,NA,NA
"46",1461853,"A randomized trial of one versus three doses of Augmentin as wound prophylaxis in at-risk abdominal surgery",1992,NA,NA,NA,NA,NA,NA,NA
"47",1462745,"[Prevention of bacterial infection using selective intestinal decontamination in patients with cirrhosis admitted to intensive care. Controlled study in 120 patients]",1992,NA,NA,NA,NA,NA,NA,NA
"48",1493837,"Effect of penicillin on the clinical course of streptococcal pharyngitis in general practice",1992,NA,NA,NA,NA,NA,NA,NA
"49",1503287,"Antibiotic prophylaxis in lung surgery: A randomized trial of cefamandole versus placebo",1992,NA,NA,NA,NA,NA,NA,NA
"50",1503330,"Trimethoprim-sulfamethoxazole compared with vancomycin for the treatment of Staphylococcus aureus infection",1992,NA,NA,NA,NA,NA,NA,NA
"51",1503486,"[Comparative study of cefpiramide + amikacin versus piperacillin + amikacin in granulocytopenic patients: a randomized, prospective study]",1992,NA,NA,NA,NA,NA,NA,NA
"52",1510394,"Vancomycin is not an essential component of the initial empiric treatment regimen for febrile neutropenic patients receiving ceftazidime: a randomized prospective study",1992,NA,NA,NA,NA,NA,NA,NA
"53",1522663,"Comparative study of single dose and five days dose of gentamicin as prophylaxis in appendicectomy",1992,NA,NA,NA,NA,NA,NA,NA
"54",1523076,"Ceftibuten and trimethoprim-sulfamethoxazole for treatment of Shigella and enteroinvasive Escherichia coli disease",1992,NA,NA,NA,NA,NA,NA,NA
"55",1525793,"Intravenous fleroxacin versus ceftazidime for lower respiratory tract and skin and soft-tissue infections",1992,NA,NA,NA,NA,NA,NA,NA
"56",1531573,"Pelvic inflammatory disease: findings during inpatient treatment of clinically severe, laparoscopy-documented disease",1992,NA,NA,NA,NA,NA,NA,NA
"57",1535578,"Comparative efficacy and safety of roxithromycin and clarithromycin in upper respiratory tract infections",1992,NA,NA,NA,NA,NA,NA,NA
"58",1538160,"Treatment of traveler's diarrhea with ciprofloxacin and loperamide",1992,NA,NA,NA,NA,NA,NA,NA
"59",1548825,"Oral aztreonam, a poorly absorbed yet effective therapy for bacterial diarrhea in US travelers to Mexico",1992,NA,NA,NA,NA,NA,NA,NA
"60",1553112,"Comparison of ciprofloxacin with netilmicin for the treatment of acute pyelonephritis",1992,NA,NA,NA,NA,NA,NA,NA
"61",1571118,"Prophylactic antibiotics for head and neck surgery with flap reconstruction",1992,NA,NA,NA,NA,NA,NA,NA
"62",1589726,"Intestinal symptoms and serological response in patients with complicated and uncomplicated Yersinia enterocolitica infections",1992,NA,NA,NA,NA,NA,NA,NA
"63",1616214,"Empiric treatment of acute diarrheal disease with norfloxacin. A randomized, placebo-controlled study. Swedish Study Group",1992,NA,NA,NA,NA,NA,NA,NA
"64",1617922,"Clinical evaluation of roxithromycin 300 mg once daily as an alternative to 150 mg twice daily",1992,NA,NA,NA,NA,NA,NA,NA
"65",1617925,"Multicenter double-blind study of the efficacy and tolerance of roxithromycin versus erythromycin ethylsuccinate in acute orodental infection in adults. Odontogenic Infections Study Group",1992,NA,NA,NA,NA,NA,NA,NA
"66",1640303,"Randomized, controlled trial of antibiotic therapy for Escherichia coli O157:H7 enteritis",1992,NA,NA,NA,NA,NA,NA,NA
"67",1641600,"Efficacy and tolerance of roxithromycin in comparison with erythromycin stearate in patients with lower respiratory tract infections",1992,NA,NA,NA,NA,NA,NA,NA
"68",1670621,"Double-blind, placebo-controlled study of three-month treatment with lymecycline in reactive arthritis, with special reference to Chlamydia arthritis",1991,NA,NA,NA,NA,NA,NA,NA
"69",1753422,"[Long-term single dose chemoprophylaxis of recurrent urinary tract infection in elderly female subjects]",1991,NA,NA,NA,NA,NA,NA,NA
"70",1756043,"Antibiotic prophylaxis in non-cardiac thoracic surgery: cefazolin versus placebo",1991,NA,NA,NA,NA,NA,NA,NA
"71",1763794,"Randomized clinical trial of norfloxacin for shigellosis",1991,NA,NA,NA,NA,NA,NA,NA
"72",1790067,"[A comparative study of the efficacy of josamycin versus oral penicillin in the treatment of acute tonsillitis]",1991,NA,NA,NA,NA,NA,NA,NA
"73",1790545,"Treatment of presumed bacterial pneumonia in ambulatory children",1991,NA,NA,NA,NA,NA,NA,NA
"74",1799916,"Brodimoprim versus amoxicillin in the treatment of acute sinusitis",1991,NA,NA,NA,NA,NA,NA,NA
"75",1825704,"[Comparison of 2 antibiotic combinations used for peritonitis. Cefotaxime-clindamycin versus cefotaxime-metronidazole]",1991,NA,NA,NA,NA,NA,NA,NA
"76",1829879,"Ceftazidime as monotherapy or combined with teicoplanin for initial empiric treatment of presumed bacteremia in febrile granulocytopenic patients",1991,NA,NA,NA,NA,NA,NA,NA
"77",1868681,"Antibiotic use after cefuroxime prophylaxis in hip and knee joint replacement",1991,NA,NA,NA,NA,NA,NA,NA
"78",1874767,"Prophylaxis against infection. Single-dose cefonicid compared with multiple-dose cefamandole",1991,NA,NA,NA,NA,NA,NA,NA
"79",1900663,"Combination antimicrobial therapy in the treatment of acute pelvic inflammatory disease",1991,NA,NA,NA,NA,NA,NA,NA
"80",1902992,"A randomized clinical trial of ampicillin, gentamicin and clindamycin versus cefotaxime and clindamycin in children with ruptured appendicitis",1991,NA,NA,NA,NA,NA,NA,NA
"81",1914480,"Reduction of colonization and infection rate during pediatric intensive care by selective decontamination of the digestive tract",1991,NA,NA,NA,NA,NA,NA,NA
"82",1917046,"Penicillin G sodium and ceftriaxone in the treatment of neuroborreliosis in children--a prospective study",1991,NA,NA,NA,NA,NA,NA,NA
"83",1918785,"A randomized study of ciprofloxacin versus ceftriaxone in the treatment of nursing home-acquired lower respiratory tract infections",1991,NA,NA,NA,NA,NA,NA,NA
"84",1923175,"Ciprofloxacin monotherapy for acute pelvic infections: a comparison with clindamycin plus gentamicin",1991,NA,NA,NA,NA,NA,NA,NA
"85",1926651,"Single-dose fosfomycin trometamol (Monuril) versus multiple-dose norfloxacin: results of a multicenter study in females with uncomplicated lower urinary tract infections",1991,NA,NA,NA,NA,NA,NA,NA
"86",1929035,"Slow response to vancomycin or vancomycin plus rifampin in methicillin-resistant Staphylococcus aureus endocarditis",1991,NA,NA,NA,NA,NA,NA,NA
"87",1940815,"A comparison of albuterol and erythromycin for the treatment of acute bronchitis",1991,NA,NA,NA,NA,NA,NA,NA
"88",1951545,"Adjunctive clindamycin therapy for preterm labor: results of a double-blind, placebo-controlled trial",1991,NA,NA,NA,NA,NA,NA,NA
"89",1952848,"Choice of antibiotic in nonelective cesarean section",1991,NA,NA,NA,NA,NA,NA,NA
"90",1971644,"Current issues in the antibiotic primary management of the febrile neutropenic cancer patient: a perspective from the National Cancer Institute",1990,NA,NA,NA,NA,NA,NA,NA
"91",1973718,"Short-course treatment of bacteremia with ceftriaxone monotherapy",1990,NA,NA,NA,NA,NA,NA,NA
"92",1988516,"Therapy for women hospitalized with acute pyelonephritis: a randomized trial of ampicillin versus trimethoprim-sulfamethoxazole for 14 days",1991,NA,NA,NA,NA,NA,NA,NA
"93",2012351,"How long should catheter-acquired urinary tract infection in women be treated? A randomized controlled study",1991,NA,NA,NA,NA,NA,NA,NA
"94",2019378,"Short-course versus long-course antibiotic treatment of spontaneous bacterial peritonitis. A randomized controlled study of 100 patients",1991,NA,NA,NA,NA,NA,NA,NA
"95",2019772,"Vancomycin added to empirical combination antibiotic therapy for fever in granulocytopenic cancer patients. European Organization for Research and Treatment of Cancer (EORTC) International Antimicrobial Therapy Cooperative Group and the National Cancer Institute of Canada-Clinical Trials Group",1991,NA,NA,NA,NA,NA,NA,NA
"96",2023447,"Prophylactic minitracheotomy in lung resections. A randomized controlled study",1991,NA,NA,NA,NA,NA,NA,NA
"97",2039326,"Randomized trial of one-dose versus six-dose cefazolin prophylaxis in elective general thoracic surgery",1991,NA,NA,NA,NA,NA,NA,NA
"98",2050424,"Ofloxacin versus trimethoprim-sulfamethoxazole for prevention of infection in patients with acute leukemia and granulocytopenia",1991,NA,NA,NA,NA,NA,NA,NA
"99",2068470,"Multicenter trial of prophylaxis with clindamycin plus aztreonam or cefotaxime in gynecologic surgery",1991,NA,NA,NA,NA,NA,NA,NA
"100",2075079,"Single-dose prophylaxis in hysterectomies. An interim analysis",1990,NA,NA,NA,NA,NA,NA,NA
"101",2076441,"Randomized study of vancomycin pharyngeal instillation as a prophylaxis of bronchopulmonary infection in intubated neonates",1990,NA,NA,NA,NA,NA,NA,NA
"102",2105115,"Single dose cefotaxime plus metronidazole versus three dose cefuroxime plus metronidazole as prophylaxis against wound infection in colorectal surgery: multicentre prospective randomised study",1990,NA,NA,NA,NA,NA,NA,NA
"103",2110537,"Double-blind, placebo-controlled multicentre trial of the efficacy and tolerance of morniflumate suppositories in the treatment of tonsillitis in children",1990,NA,NA,NA,NA,NA,NA,NA
"104",2123239,"Lack of impact of early antibiotic therapy for streptococcal pharyngitis on recurrence rates",1990,NA,NA,NA,NA,NA,NA,NA
"105",2123946,"[Comparison of ciprofloxacin with polymyxin B for infection prophylaxis in neutropenic patients with acute non-lymphocytic leukemia]",1990,NA,NA,NA,NA,NA,NA,NA
"106",2126114,"Metronidazole in head and neck surgery--the effect of lengthened prophylaxis",1990,NA,NA,NA,NA,NA,NA,NA
"107",2127268,"Five day treatment of pharyngotonsillitis with cefpodoxime proxetil",1990,NA,NA,NA,NA,NA,NA,NA
"108",2130002,"Ceftriaxone versus chloramphenicol in the treatment of enteric fever",1990,NA,NA,NA,NA,NA,NA,NA
"109",2132290,"[A new anti-inflammatory--analgesic--antipyretic for the treatment of acute disease of the bronchi ]",1990,NA,NA,NA,NA,NA,NA,NA
"110",2142486,"Teicoplanin as modification of initial empirical therapy in febrile granulocytopenic patients",1990,NA,NA,NA,NA,NA,NA,NA
"111",2149050,"A prospective study comparing vancomycin and teicoplanin as second-line empiric therapy for infection in neutropenic patients",1990,NA,NA,NA,NA,NA,NA,NA
"112",2178582,"Empiric antimicrobial therapy of domestically acquired acute diarrhea in urban adults",1990,NA,NA,NA,NA,NA,NA,NA
"113",2179134,"Cefotaxime versus penicillin in the late stage of Lyme disease--prospective, randomized therapeutic study",1990,NA,NA,NA,NA,NA,NA,NA
"114",2186909,"Prospective randomized study of once-daily versus thrice-daily netilmicin regimens in patients with intraabdominal infections",1990,NA,NA,NA,NA,NA,NA,NA
"115",2193628,"Double-blind, randomized, controlled clinical trial of norfloxacin for cholera",1990,NA,NA,NA,NA,NA,NA,NA
"116",2196121,"Antimicrobial management of postoperative infections in abdominal surgery: single or combination regimen?",1990,NA,NA,NA,NA,NA,NA,NA
"117",2196149,"Prospective randomized study comparing the efficacy and safety of ciprofloxacin with cefaclor in the treatment of patients with purulent bronchitis",1990,NA,NA,NA,NA,NA,NA,NA
"118",2196962,"Randomised double blind trial of single dose doxycycline for treating cholera in adults",1990,NA,NA,NA,NA,NA,NA,NA
"119",2199866,"Antibiotic prophylaxis for cesarean delivery: is an extended-spectrum agent necessary?",1990,NA,NA,NA,NA,NA,NA,NA
"120",2200995,"[Ambulatory treatment with cefuroxime-axetil of infectious bronchitis in patients sixty years of age or older: comparative study of the combination of amoxicillin and clavulanic acid]",1990,NA,NA,NA,NA,NA,NA,NA
"121",2225508,"Chest infection following head and neck surgery: a pilot study",1990,NA,NA,NA,NA,NA,NA,NA
"122",2258342,"Single-dose pefloxacin versus five-days treatment with norfloxacin in uncomplicated cystitis in women",1990,NA,NA,NA,NA,NA,NA,NA
"123",2258346,"A randomized multicentre trial of pefloxacin plus metronidazole and gentamicin plus metronidazole in the treatment of severe intra-abdominal infections. Report from a Swedish Study Group",1990,NA,NA,NA,NA,NA,NA,NA
"124",2258349,"Pefloxacin versus ceftazidime in therapy of soft tissue infections in compromised patients",1990,NA,NA,NA,NA,NA,NA,NA
"125",2268811,"Perioperative cefazolin prophylaxis in hip fracture surgery",1990,NA,NA,NA,NA,NA,NA,NA
"126",2286000,"[Treatment of typhoid fever for three days with ceftriaxone]",1990,NA,NA,NA,NA,NA,NA,NA
"127",2286466,"Single dose fosfomycin trometamol versus multiple dose norfloxacin over three days for uncomplicated UTI in general practice",1990,NA,NA,NA,NA,NA,NA,NA
"128",2286467,"Fosfomycin trometamol in a single dose versus norfloxacin for seven days in the treatment of uncomplicated urinary infections in general practice",1990,NA,NA,NA,NA,NA,NA,NA
"129",2286597,"Comparison of i.v. ofloxacin and piperacillin in the treatment of complicated urinary tract infections",1990,NA,NA,NA,NA,NA,NA,NA
"130",2291755,"Pivmecillinam treatment in acute cystitis. Three versus seven days study",1990,NA,NA,NA,NA,NA,NA,NA
"131",2292549,"Randomized multicentre study of ciprofloxacin and azlocillin versus gentamicin and azlocillin in the treatment of febrile neutropenic patients",1990,NA,NA,NA,NA,NA,NA,NA
"132",2341068,"[Ceftriaxone or combined cefazolin-gentamicin for complicated urinary tract infections]",1990,NA,NA,NA,NA,NA,NA,NA
"133",2374529,"[Comparison of the effect of 2 therapy concepts in the treatment of Pneumocystis carinii pneumonia. Cotrimoxazole for 21 days versus sequential therapy with cotrimoxazole followed by pentamidine inhalation]",1990,NA,NA,NA,NA,NA,NA,NA
"134",2383162,"Ceftriaxone therapy of chronic inflammatory arthritis. A double-blind placebo controlled trial",1990,NA,NA,NA,NA,NA,NA,NA
"135",2403654,"A comparison of ceftriaxone and cefuroxime for the treatment of bacterial meningitis in children",1990,NA,NA,NA,NA,NA,NA,NA
"136",2404480,"Doxycycline prophylaxis for shigellosis",1990,NA,NA,NA,NA,NA,NA,NA
"137",2405349,"Comparative efficacies of aztreonam and chloramphenicol in children with typhoid fever",1990,NA,NA,NA,NA,NA,NA,NA
"138",2405653,"A randomized prospective trial of three different regimens of treatment of peritonitis in patients on continuous ambulatory peritoneal dialysis",1990,NA,NA,NA,NA,NA,NA,NA
"139",2414844,"Transurethral versus transvesical prostatectomy. Physiological strain",1985,NA,NA,NA,NA,NA,NA,NA
"140",2467608,"Cefotaxime versus penicillin-chloramphenicol in purulent meningitis: a controlled single-blind clinical trial",1988,NA,NA,NA,NA,NA,NA,NA
"141",2509069,"Comparison of once-daily and thrice-daily netilmicin regimens in serious systemic infections: a multicenter study in six Asian countries",1989,NA,NA,NA,NA,NA,NA,NA
"142",2510530,"Antibiotic prophylaxis with cefotaxime in gastroduodenal and biliary surgery",1989,NA,NA,NA,NA,NA,NA,NA
"143",2530546,"[Comparative study of intravenous ceftriaxone followed by oral cefixime versus ceftriaxone alone in the treatment of severe upper urinary tract infections]",1989,NA,NA,NA,NA,NA,NA,NA
"144",2534170,"[Prompt antibiotic prophylaxis in resection of the prostate and removal of the bladder catheter]",1989,NA,NA,NA,NA,NA,NA,NA
"145",2547245,"A comparative study of ciprofloxacin and conventional therapy in the treatment of patients with chronic lower leg ulcers infected with Pseudomonas aeruginosa or other gram-negative rods",1989,NA,NA,NA,NA,NA,NA,NA
"146",2570104,"Five days versus one day of penicillin as prophylaxis in elective neurosurgical operations",1989,NA,NA,NA,NA,NA,NA,NA
"147",2612203,"An open, comparative evaluation of amoxycillin and amoxycillin plus clavulanic acid ('Augmentin') in the treatment of bacterial pneumonia in children",1989,NA,NA,NA,NA,NA,NA,NA
"148",2614491,"Treatment of Lyme borreliosis. Randomized comparison of doxycycline and penicillin G",1989,NA,NA,NA,NA,NA,NA,NA
"149",2617655,"Comparative trial of erythromycin and sulphatrimethoprim in the treatment of tetracycline-resistant Vibrio cholerae O1",1989,NA,NA,NA,NA,NA,NA,NA
"150",2644108,"Single-dose cefotetan vs. multiple-dose cefoxitin--antimicrobial prophylaxis in colorectal surgery. Results of a prospective, multicenter, randomized study",1989,NA,NA,NA,NA,NA,NA,NA
"151",2644923,"Single-dose antibiotic prophylaxis in contaminated abdominal surgery",1989,NA,NA,NA,NA,NA,NA,NA
"152",2649400,"Piperacillin for prophylaxis in gynecological surgery",1989,NA,NA,NA,NA,NA,NA,NA
"153",2660473,"[Follow-up and wound healing following cesarean section with prophylactic use of Vagimid in comparison with the puerperal course without the use of Vagimid]",1989,NA,NA,NA,NA,NA,NA,NA
"154",2667180,"Presumptive antibiotics for penetrating abdominal wounds",1989,NA,NA,NA,NA,NA,NA,NA
"155",2668247,"A multicentric study of netilmicin once daily versus thrice daily in patients with appendicitis and other intra-abdominal infections",1989,NA,NA,NA,NA,NA,NA,NA
"156",2677259,"Antibiotic prophylaxis in surgery",1989,NA,NA,NA,NA,NA,NA,NA
"157",2678858,"Preoperative cell-mediated immunity and duration of antibiotic prophylaxis in relation to postopertive infectious complications. A controlled trial in biliary, gastroduodenal and colorectal surgery",1989,NA,NA,NA,NA,NA,NA,NA
"158",2681559,"Controlled trial of the prophylactic administration of antibiotics in sclerotherapy of esophageal varices",1989,NA,NA,NA,NA,NA,NA,NA
"159",2682096,"[Duration of the preventive use of antibiotics in colorectal surgery--single administration versus short-term prevention]",1989,NA,NA,NA,NA,NA,NA,NA
"160",2686413,"Intravenous/oral ciprofloxacin versus intravenous ceftazidime in the treatment of serious gram-negative infections of the skin and skin structure",1989,NA,NA,NA,NA,NA,NA,NA
"161",2686418,"Comparison of the safety and efficacy of intravenous ciprofloxacin and intravenous ceftazidime in the treatment of selected infections",1989,NA,NA,NA,NA,NA,NA,NA
"162",2686421,"Prospective, randomized comparison of sequential intravenous followed by oral ciprofloxacin with intravenous ceftazidime in the treatment of serious infections",1989,NA,NA,NA,NA,NA,NA,NA
"163",2686422,"Intravenous ciprofloxacin or ceftazidime in selected infections. A prospective, randomized, controlled study",1989,NA,NA,NA,NA,NA,NA,NA
"164",2686427,"Comparison of intravenous ciprofloxacin and intravenous cefotaxime for antimicrobial prophylaxis in transurethral surgery",1989,NA,NA,NA,NA,NA,NA,NA
"165",2691477,"Antibiotic therapy of perforated appendicitis in children: a comparison of amoxycillin/clavulanate with a combination of benzylpenicillin, netilmicin and metronidazole",1989,NA,NA,NA,NA,NA,NA,NA
"166",2691478,"Urinary tract infections with tissue penetration in children: cefotaxime compared with amoxycillin/clavulanate",1989,NA,NA,NA,NA,NA,NA,NA
"167",2693623,"Piperacillin alone vs triple antibiotic combination in gynecological infections",1989,NA,NA,NA,NA,NA,NA,NA
"168",2719459,"Multicenter randomized study of single-dose ofloxacin versus amoxicillin-probenecid for treatment of uncomplicated gonococcal infection",1989,NA,NA,NA,NA,NA,NA,NA
"169",2722725,"Single-dose cefmetazole versus multiple dose cefoxitin for prophylaxis in abdominal surgery",1989,NA,NA,NA,NA,NA,NA,NA
"170",2756357,"Prophylactic one-dose treatment with clindamycin and gentamicin in transurethral prostatic resection. A double-blind placebo controlled study",1989,NA,NA,NA,NA,NA,NA,NA
"171",2766869,"Treatment of childhood bacterial meningitis with ceftriaxone once daily: open, prospective, randomized, comparative study of short-course versus standard-length therapy",1989,NA,NA,NA,NA,NA,NA,NA
"172",2777728,"Gentamicin and low dose piperacillin in febrile neutropenic patients",1989,NA,NA,NA,NA,NA,NA,NA
"173",2791714,"A single prophylactic antibiotic for emergency appendicectomy?",1989,NA,NA,NA,NA,NA,NA,NA
"174",2862713,"Ceftazidime compared with gentamicin and carbenicillin in patients with cystic fibrosis, pulmonary pseudomonas infection, and an exacerbation of respiratory symptoms. British Thoracic Society Research Committee",1985,NA,NA,NA,NA,NA,NA,NA
"175",2868040,"Does antibiotic prophylaxis at the time of catheter insertion reduce the incidence of catheter-related sepsis in intravenous nutrition?",1985,NA,NA,NA,NA,NA,NA,NA
"176",2868173,"A scoring method (ASEPSIS) for postoperative wound infections for use in clinical trials of antibiotic prophylaxis",1986,NA,NA,NA,NA,NA,NA,NA
"177",2941290,"Ciprofloxacin in the treatment of acute bacterial diarrhea: a double blind study",1986,NA,NA,NA,NA,NA,NA,NA
"178",2943703,"Effect of boiled-rice feeding in childhood cholera on clinical outcome",1986,NA,NA,NA,NA,NA,NA,NA
"179",2962087,"[Preventive systemic antibiotherapy with ceftriaxone alone in neutropenic patients treated in a protected environment]",1987,NA,NA,NA,NA,NA,NA,NA
"180",2971184,"[Preventive action of an immunomodulator on respiratory infections in elderly subjects]",1988,NA,NA,NA,NA,NA,NA,NA
"181",2973595,"[First-line treatment of febrile episodes in leukemia in adults. Randomized, multicenter study of ceftazidime in single antibiotic therapy versus a cefotaxime-amikacin combination]",1988,NA,NA,NA,NA,NA,NA,NA
"182",3043354,"[Multicenter study of the clinical efficacy and tolerance of roxithromycin compared to erythromycin ethylsuccinate in lower respiratory tract infections]",1988,NA,NA,NA,NA,NA,NA,NA
"183",3043355,"[Multicenter study of the clinical efficacy and tolerance of roxithromicin compared to doxycycline in lower respiratory infections]",1988,NA,NA,NA,NA,NA,NA,NA
"184",3048935,"Cefoxitin for one day vs. ampicillin and metronidazole for three days in elective colorectal surgery. A prospective, randomized, multicenter study",1988,NA,NA,NA,NA,NA,NA,NA
"185",3052894,"Comparative clinical and pharmacokinetic aspects of cefotetan versus cefoxitin plus metronidazole in vaginal hysterectomy",1988,NA,NA,NA,NA,NA,NA,NA
"186",3054035,"Therapy for shigellosis. I. Randomized, double-blind trial of nalidixic acid in childhood shigellosis",1988,NA,NA,NA,NA,NA,NA,NA
"187",3056259,"Double-blind, randomized comparison of 24 weeks of norfloxacin and 12 weeks of norfloxacin followed by 12 weeks of placebo in the therapy of complicated urinary tract infection",1988,NA,NA,NA,NA,NA,NA,NA
"188",3059275,"[Prophylactic systemic antibiotherapy with only ceftriaxone in neutropenic patients treated in a protected environment]",1988,NA,NA,NA,NA,NA,NA,NA
"189",3065929,"Intramuscular ceftriaxone versus ampicillin-chloramphenicol in childhood bacterial meningitis",1988,NA,NA,NA,NA,NA,NA,NA
