"","PMID","title","setting","abx_appropriate_for_resistancetype","abx_appropriate_exist","abx_type","resistance_type","bacteria_reported","bacteria_grp","colonisation_site","abx_dur","time_baseline_endoffu","n_ind_contributedsamples","n_ind_outcome"
"77","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","14","120","17.0000","0.00"
"78","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","104","120","11.0000","0.00"
"79","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","14","150","17.0000","0.00"
"80","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","104","150","11.0000","0.00"
"81","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","14","210","17.0000","0.00"
"82","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","104","210","11.0000","0.00"
"83","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","14","270","17.0000","0.00"
"84","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","104","270","11.0000","0.00"
"85","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","14","360","17.0000","0.00"
"86","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","104","360","11.0000","0.00"
"87","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","14","450","11.0000","0.00"
"88","26340658","Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis","Outpatient","NO","YES","Tobramycin and ceftzidime","Tobramycin","Pseudomonas","Non fermenters","Respiratory tract","104","450","17.0000","0.00"
"90","32130261","Meropenem vs standard of care for treatment of neonatal late onset sepsis (NeoMero1): A randomised controlled trial","Inpatient","NO","NO","Meropenem","Carbapenem","Gram negatives","Gram negatives","Gut","8","28","101.0000","19.00"
"91","32130261","Meropenem vs standard of care for treatment of neonatal late onset sepsis (NeoMero1): A randomised controlled trial","Inpatient","NO","NO","Ampicillin+gentamicin or cefotaxime+gentamicin","Carbapenem","Gram negatives","Gram negatives","Gut","7","28","94.0000","7.00"
