,relevent,dur_trial,reason_exclude,Comments,short_dur,long_dur,fu_period,PMID,title,,,,,,,,,,,,,,,,,
86,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12019085,Randomized controlled trial of sequential intravenous (i.v.) and oral moxifloxacin compared with sequential i.v. and oral co-amoxiclav with or without clarithromycin in patients with community-acquired pneumonia requiring initial parenteral treatment,,,,,,,,,,,,,,,,,
90,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12075760,Comparison of two dosages of azithromycin for three days versus penicillin V for ten days in acute group A streptococcal tonsillopharyngitis,,,,,,,,,,,,,,,,,
91,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12097764,"Randomized, double-blind study of prulifloxacin versus ciprofloxacin in patients with acute exacerbations of chronic bronchitis",,,,,,,,,,,,,,,,,
92,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12100914,"A prospective, multicenter, randomized, double-blind study comparing ertapenem and ceftriaxone followed by appropriate oral therapy for complicated urinary tract infections in adults",,,,,,,,,,,,,,,,,
93,0,0,Intervention (not antibiotics or duration),All arms 4 days,NA,NA,NA,12111513,Changes in the intestinal flora after the administration of prophylactic antibiotics to patients undergoing a gastrectomy,,,,,,,,,,,,,,,,,
97,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12195873,Three days of pivmecillinam or norfloxacin for treatment of acute uncomplicated urinary infection in women,,,,,,,,,,,,,,,,,
98,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12240780,"A multicenter, open-label, randomized comparison of levofloxacin and azithromycin plus ceftriaxone in hospitalized adults with moderate to severe community-acquired pneumonia",,,,,,,,,,,,,,,,,
104,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12424684,"[Prophylaxis of recurrent urinary tract infections in children. Results of an open, controlled and randomized study about the efficacy and tolerance of cefixime compared to nitrofurantoin]",,,,,,,,,,,,,,,,,
108,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12501873,"A prospective, randomized, double-blind multicenter comparison of parenteral ertapenem and ceftriaxone for the treatment of hospitalized adults with community-acquired pneumonia",,,,,,,,,,,,,,,,,
111,0,0,Intervention (not antibiotics or duration),0,NA,NA,NA,12558230,Improvement of intraoperative antibiotic prophylaxis in prolonged cardiac surgery by automated alerts in the operating room,,,,,,,,,,,,,,,,,
112,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12581548,"An open-label, randomized, multicenter, comparative study of the efficacy and safety of 7 days of treatment with clarithromycin extended-release tablets versus clarithromycin immediate-release tablets for the treatment of patients with acute bacterial exa",,,,,,,,,,,,,,,,,
114,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12655535,"Outpatient, sequential, parenteral-oral antibiotic therapy for lower risk febrile neutropenia in children with malignant disease: a single-center, randomized, controlled trial in Argentina",,,,,,,,,,,,,,,,,
115,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12678357,"A prospective, randomised comparison of autologous chondrocyte implantation versus mosaicplasty for osteochondral defects in the knee",,,,,,,,,,,,,,,,,
119,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12725542,Treatment of urinary tract infection with gentamicin once or three times daily,,,,,,,,,,,,,,,,,
121,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12730816,Antibiotic prophylaxis in elective thoracic surgery: cefuroxime versus cefepime,,,,,,,,,,,,,,,,,
122,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12749513,A comparison of 5-day courses of dirithromycin and azithromycin in the treatment of acute exacerbations of chronic obstructive pulmonary disease,,,,,,,,,,,,,,,,,
123,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12802748,Ceftriaxone compared with sodium penicillin g for treatment of severe leptospirosis,,,,,,,,,,,,,,,,,
126,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12856976,Azithromycin in the treatment of cholera in children,,,,,,,,,,,,,,,,,
128,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12913766,Linezolid versus vancomycin for treatment of resistant Gram-positive infections in children,,,,,,,,,,,,,,,,,
132,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12959681,Evaluation of ticarcillin/clavulanic acid versus ceftriaxone plus amikacin for fever and neutropenia in pediatric patients with leukemia and lymphoma,,,,,,,,,,,,,,,,,
136,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,14570343,Cefazolin versus cefazolin plus metronidazole for antibiotic prophylaxis at cesarean section,,,,,,,,,,,,,,,,,
139,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,14584770,Assessment of nosocomial urinary tract infections in orthopaedic patients: a prospective and comparative study using two different catheters,,,,,,,,,,,,,,,,,
146,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,14759242,Ampicillin + sulbactam vs clindamycin +/- cephalosporin for the treatment of aspiration pneumonia and primary lung abscess,,,,,,,,,,,,,,,,,
151,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15113316,"A randomised, double-blind, double-dummy comparative study of gatifloxacin with clarithromycin in the treatment of community-acquired pneumonia",,,,,,,,,,,,,,,,,
162,0,0,Intervention (not antibiotics or duration),Oral topical vancomucin,NA,NA,NA,15219008,Prevention of MRSA pneumonia by oral vancomycin decontamination: A randomised trial,,,,,,,,,,,,,,,,,
163,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15235203,Early enteral nutrition after surgical treatment of gut perforations: A prospective randomised study,,,,,,,,,,,,,,,,,
168,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15328092,"Double-blind, randomized study of the efficacy and safety of oral pharmacokinetically enhanced amoxicillin-clavulanate (2,000/125 milligrams) versus those of amoxicillin-clavulanate (875/125 milligrams), both given twice daily for 7 days, in treatment of ",,,,,,,,,,,,,,,,,
176,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15495115,Intraventricular antibiotics for bacterial meningitis in neonates.,,,,,,,,,,,,,,,,,
178,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15598997,"Treatment of appendiceal mass: prospective, randomized clinical trial",,,,,,,,,,,,,,,,,
181,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15668857,Treatment with clarithromycin prior to coronary artery bypass graft surgery does not prevent subsequent cardiac events,,,,,,,,,,,,,,,,,
182,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15668859,Efficacy and safety of weekly dalbavancin therapy for catheter-related bloodstream infection caused by gram-positive pathogens,,,,,,,,,,,,,,,,,
184,0,0,Intervention (not antibiotics or duration),Body wash,NA,NA,NA,15699832,Prevention of acquired infections in intubated patients with the combination of two decontamination regimens,,,,,,,,,,,,,,,,,
187,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15712100,Levofloxacin for treatment of ventilator-associated pneumonia: a subgroup analysis from a randomized trial,,,,,,,,,,,,,,,,,
192,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15756271,"Optimisation of irinotecan dose in the treatment of patients with metastatic colorectal cancer after 5-FU failure: Results from a multinational, randomised phase II study",,,,,,,,,,,,,,,,,
198,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15821205,Reappraisal of clindamycin IV monotherapy for treatment of mild-to-moderate aspiration pneumonia in elderly patients,,,,,,,,,,,,,,,,,
201,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15865549,"An open-label, randomized study comparing efficacy and safety of intravenous piperacillin/tazobactam and ampicillin/sulbactam for infected diabetic foot ulcers",,,,,,,,,,,,,,,,,
202,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15889218,Prevention of surgical site infection after open prosthetic inguinal hernia repair: efficacy of parenteral versus oral prophylaxis with amoxicillin-clavulanic acid in a randomized clinical trial,,,,,,,,,,,,,,,,,
204,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,15970833,Timing of prophylactic antibiotic administration in the uninfected laboring gravida: A randomized clinical trial,,,,,,,,,,,,,,,,,
206,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,16038522,Treatment of childhood complicated community-acquired pneumonia with amoxicillin/sulbactam,,,,,,,,,,,,,,,,,
209,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,16075861,Peritonsillar abscess: a comparison of outpatient i.m. clindamycin and inpatient i.v. ampicillin/sulbactam following needle aspiration,,,,,,,,,,,,,,,,,
218,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,16281834,[Efficacy of ciprofloxacine antibiotic prophylaxis of infectious complications after TUR of the prostate],,,,,,,,,,,,,,,,,
231,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,16517534,Monotherapy with piperacillin/tazobactam versus cefepime as empirical therapy for febrile neutropenia in pediatric cancer patients: a randomized comparison,,,,,,,,,,,,,,,,,
232,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,16569261,Combination therapy versus monotherapy: A randomised pilot study on the evolution of inflammatory parameters after ventilator associated pneumonia [ISRCTN31976779],,,,,,,,,,,,,,,,,
237,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,16750618,A double-blind randomized study of aminoglycoside infusion with combined therapy for pulmonary Mycobacterium avium complex disease,,,,,,,,,,,,,,,,,
238,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,16760445,Single-dose azithromycin for the treatment of cholera in adults,,,,,,,,,,,,,,,,,
252,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17137468,Does periodontal care improve glycemic control? The Department of Veterans Affairs Dental Diabetes Study,,,,,,,,,,,,,,,,,
254,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17164546,A randomized controlled trial of enteral versus parenteral feeding in patients with predicted severe acute pancreatitis shows a significant reduction in mortality and in infected pancreatic complications with total enteral nutrition,,,,,,,,,,,,,,,,,
257,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17190130,Peripheral venous catheter-related inflammation: A randomized prospective trial,,,,,,,,,,,,,,,,,
262,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17262041,Randomized trial of percutaneous central venous lines versus peripheral intravenous lines,,,,,,,,,,,,,,,,,
265,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17297383,"A randomized, double-blind study comparing single-dose rifalazil with single-dose azithromycin for the empirical treatment of nongonococcal urethritis in men",,,,,,,,,,,,,,,,,
272,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17366011,High-dose ampicillin-sulbactam as an alternative treatment of late-onset VAP from multidrug-resistant Acinetobacter baumannii,,,,,,,,,,,,,,,,,
281,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17567657,Comparison of oral amoxicillin and intravenous benzyl penicillin for community acquired pneumonia in children (PIVOT trial): a multicentre pragmatic randomised controlled equivalence trial,,,,,,,,,,,,,,,,,
283,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,17592288,"Effect of enteral nutrition and synbiotics on bacterial infection rates after pylorus-preserving pancreatoduodenectomy: a randomized, double-blind trial",,,,,,,,,,,,,,,,,
295,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18091545,Randomized trial of combination versus monotherapy for the empiric treatment of suspected ventilator-associated pneumonia,,,,,,,,,,,,,,,,,
298,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18231720,Moxifloxacin vs ampicillin/sulbactam in aspiration pneumonia and primary lung abscess,,,,,,,,,,,,,,,,,
305,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18379232,"Efficacy and safety of intravenous infusion of doripenem versus imipenem in ventilator-associated pneumonia: a multicenter, randomized study",,,,,,,,,,,,,,,,,
314,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18473097,A randomized trial of ceftriaxone versus trimethoprim-sulfamethoxazole to prevent ventriculoperitoneal shunt infection,,,,,,,,,,,,,,,,,
316,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18484473,Piperacillin/tazobactam plus amikacin versus carbapenem monotherapy as empirical treatment of febrile neutropenia in childhood hematological malignancies,,,,,,,,,,,,,,,,,
323,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18661264,Preoperative disinfection of the conjunctival sac with antibiotics and iodine compounds: a prospective randomized multicenter study,,,,,,,,,,,,,,,,,
324,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18661495,"A prospective, randomized study comparing cefozopran with piperacillin-tazobactam plus ceftazidime as empirical therapy for febrile neutropenia in children with hematological disorders",,,,,,,,,,,,,,,,,
326,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18663500,Clinical and microbiological efficacy of moxifloxacin versus amoxicillin/clavulanic acid in severe odontogenic abscesses: a pilot study,,,,,,,,,,,,,,,,,
334,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18937610,Comparative evaluation of efficacy and safety of cefotaxime-sulbactam with amoxicillin-clavulanic acid in children with lower respiratory tract infections,,,,,,,,,,,,,,,,,
335,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18945594,"Safety and tolerability of ertapenem versus ceftriaxone in a double-blind study performed in children with complicated urinary tract infection, community-acquired pneumonia or skin and soft-tissue infection",,,,,,,,,,,,,,,,,
336,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,18990531,Safety and efficacy of intravenous tigecycline in treatment of community-acquired pneumonia: results from a double-blind randomized phase 3 comparison study with levofloxacin,,,,,,,,,,,,,,,,,
350,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,19339558,"Functional outcome and range of motion of high-flexion posterior cruciate-retaining and high-flexion posterior cruciate-substituting total knee prostheses: A prospective, randomized study",,,,,,,,,,,,,,,,,
353,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,19384201,A systematic review on clinical benefits of continuous administration of _-lactam antibiotics,,,,,,,,,,,,,,,,,
354,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,19390280,Assessment of strangulated content of the spontaneously reduced inguinal hernia via hernia sac laparoscopy: Preliminary results of a prospective randomized study,,,,,,,,,,,,,,,,,
358,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,19482956,A randomized trial of dental brushing for preventing ventilator-associated pneumonia,,,,,,,,,,,,,,,,,
359,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,19484759,Piperacillin/tazobactam versus cefepime for the empirical treatment of pediatric cancer patients with neutropenia and fever: a randomized and open-label study,,,,,,,,,,,,,,,,,
363,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,19578229,Single dose azithromycin versus ciprofloxacin for cholera in children: a randomized controlled trial,,,,,,,,,,,,,,,,,
364,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,19597646,Cefepime monotherapy is as effective as ceftriaxone plus amikacin in pediatric patients with cancer and high-risk febrile neutropenia in a randomized comparison,,,,,,,,,,,,,,,,,
368,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,19768381,Efficacy and safety of sequential intravenous/oral moxifloxacin vs intravenous/oral amoxicillin/clavulanate for complicated skin and skin structure infections,,,,,,,,,,,,,,,,,
371,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,19805679,Laparoscopy compared with laparotomy for comprehensive surgical staging of uterine cancer: Gynecologic Oncology Group Study LAP2,,,,,,,,,,,,,,,,,
380,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20067425,Long-term antibiotic treatment for Crohn's disease: Systematic review and meta-analysis of placebo-controlled trials,,,,,,,,,,,,,,,,,
381,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20074264,Short-term recovery after subtotal and total abdominal hysterectomy - A randomised clinical trial,,,,,,,,,,,,,,,,,
383,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20116706,"Single-Dose Versus Single-Day Antibiotic Prophylaxis for Orthognathic Surgery: A Prospective, Randomized, Double-Blind Clinical Study",,,,,,,,,,,,,,,,,
390,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20207618,A randomized controlled trial to examine the efficacy and safety of a new super-oxidized solution for the management of wide postsurgical lesions of the diabetic foot,,,,,,,,,,,,,,,,,
391,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20227056,Efficacy and safety of linezolid versus vancomycin for the treatment of complicated skin and soft-tissue infections proven to be caused by methicillin-resistant Staphylococcus aureus,,,,,,,,,,,,,,,,,
397,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20427546,Piperacillin-tazobactam versus carbapenem therapy with and without amikacin as empirical treatment of febrile neutropenia in cancer patients: results of an open randomized trial at a university hospital,,,,,,,,,,,,,,,,,
399,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20489580,Randomized clinical study for comparative evaluation of fourth-generation fluoroquinolones with the combination of fortified antibiotics in the treatment of bacterial corneal ulcers,,,,,,,,,,,,,,,,,
400,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20536364,Standard versus newer antibacterial agents in the treatment of severe acute exacerbation of chronic obstructive pulmonary disease: a randomized trial of trimethoprim-sulfamethoxazole versus ciprofloxacin,,,,,,,,,,,,,,,,,
401,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20544245,A long-term prospective randomized controlled study of non-specific interstitial pneumonia (NSIP) treatment in scleroderma,,,,,,,,,,,,,,,,,
403,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20558918,Antibiotic prophylaxis in transcatheter treatment of hepatocellular carcinoma: an open randomized prospective study of oral versus intravenous administration,,,,,,,,,,,,,,,,,
406,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20594464,"[The effect of early goal-directed therapy on treatment of critical patients with severe sepsis/septic shock: a multi-center, prospective, randomized, controlled study]",,,,,,,,,,,,,,,,,
408,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20620377,"A prospective, randomized trial comparing BioGlue and Vivostat for the control of alveolar air leak",,,,,,,,,,,,,,,,,
414,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20855397,Randomized controlled trial of day care versus hospital care of severe pneumonia in Bangladesh,,,,,,,,,,,,,,,,,
417,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,20937045,Clinical trial: The combination of rifaximin with partially hydrolysed guar gum is more effective than rifaximin alone in eradicating small intestinal bacterial overgrowth,,,,,,,,,,,,,,,,,
419,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,21105351,[Assessment of the effectiveness of sinuforte used for the combined treatment of rhinosinusitis and exudative otitis media in children],,,,,,,,,,,,,,,,,
424,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,21208648,The use of penile skin graft versus penile skin flap in the repair of long bulbo-penile urethral stricture: A prospective randomized study,,,,,,,,,,,,,,,,,
432,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,21438131,Piperacillin/tazobactam versus cefozopran for the empirical treatment of pediatric cancer patients with febrile neutropenia,,,,,,,,,,,,,,,,,
437,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,21600087,"[A multi-center, randomized, controlled, double blind and double dummy clinical trial of antofloxacin hydrochloride tablet versus levofloxacin tablet for the treatment of acute bacterial infections]",,,,,,,,,,,,,,,,,
439,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,21713025,The influence of reduced susceptibility to fluoroquinolones in Salmonella enterica serovar Typhi on the clinical response to ofloxacin therapy,,,,,,,,,,,,,,,,,
441,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,21773891,Wound complications and clinical results of electrocautery versus a scalpel to create a cutaneous flap in thyroidectomy: A prospective randomized trial,,,,,,,,,,,,,,,,,
442,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,21829969,Antibiotic treatment schemes for very severe community-acquired pneumonia in children: a randomized clinical study,,,,,,,,,,,,,,,,,
444,0,0,Intervention (not antibiotics or duration),"On multivariate mixed model analysis AMP treatment remained an independent risk factor for colonization with K._pneumonia overall (OR, 5.18; 95%CI: 1.45–18.54) and with AMP_resistant strains (OR, 5.83; 95%CI: 1.63–20.84) and with S._hominis (OR, 12.57; 95",67 hours,60 hours,28 days,21895866,Ampicillin versus penicillin in the empiric therapy of extremely low-birthweight neonates at risk of early onset sepsis,,,,,,,,,,,,,,,,,
447,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,21959688,Laparoscopic inguinal hernia repair: Transabdominal preperitoneal (TAPP) versus totally extraperitoneal (TEP) approach: A prospective randomized controlled trial,,,,,,,,,,,,,,,,,
449,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,21996070,A randomized trial of computer kiosk-expedited management of cystitis in the emergency department,,,,,,,,,,,,,,,,,
450,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,22009525,Evaluation of the efficacy and safety of intravenous ciprofloxacin versus meropenem in the treatment of postoperative infection,,,,,,,,,,,,,,,,,
451,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,22011265,Clindamycin vs. first-generation cephalosporins for acute osteoarticular infections of childhood-a prospective quasi-randomized controlled trial,,,,,,,,,,,,,,,,,
452,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,22021072,Selective decontamination of the oral and digestive tract in surgical versus non-surgical patients in intensive care in a cluster-randomized trial,,,,,,,,,,,,,,,,,
457,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,22266154,"A Randomized, Controlled Trial of Panax quinquefolius Extract (CVT-E002) to Reduce Respiratory Infection in Patients With Chronic Lymphocytic Leukemia",,,,,,,,,,,,,,,,,
460,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,22314524,CANVAS 1 and 2: Analysis of clinical response at day 3 in two phase 3 trials of ceftaroline fosamil versus vancomycin plus aztreonam in treatment of acute bacterial skin and skin structure infections,,,,,,,,,,,,,,,,,
