study_no,PMID,title,country,setting,study_type,abx_tx_site,colonisation_site,abx_type,abx_route,resistance_type,bacteria_reported,cluster_rand,n_cluster,abx_dur,n_ind_contributedsamples,n_sample,time_baseline_endoffu,los,n_ind_outcome,n_possample_outcome,comments,,,,,,,
3,11434826,"Effect of short-course, high-dose amoxicillin therapy on resistant pneumococcal carriage: a randomized trial",Dominican Republic,Outpatient,Treatment for infection,Respiratory tract,Respiratory tract,Amoxicillin,Oral,Penicillin,Pneumococcus,0,NA,5,740,Not reported,5,NA,151.65,Not reported,,,,,,,,
3,11434826,"Effect of short-course, high-dose amoxicillin therapy on resistant pneumococcal carriage: a randomized trial",Dominican Republic,Outpatient,Treatment for infection,Respiratory tract,Respiratory tract,Amoxicillin,Oral,Penicillin,Pneumococcus,0,NA,5,364,Not reported,10,NA,83.72,Not reported,,,,,,,,
3,11434826,"Effect of short-course, high-dose amoxicillin therapy on resistant pneumococcal carriage: a randomized trial",Dominican Republic,Outpatient,Treatment for infection,Respiratory tract,Respiratory tract,Amoxicillin,Oral,Penicillin,Pneumococcus,0,NA,10,358,Not reported,10,NA,71.6,Not reported,,,,,,,,
3,11434826,"Effect of short-course, high-dose amoxicillin therapy on resistant pneumococcal carriage: a randomized trial",Dominican Republic,Outpatient,Treatment for infection,Respiratory tract,Respiratory tract,Amoxicillin,Oral,Penicillin,Pneumococcus,0,NA,5,355,Not reported,28,NA,85.2,Not reported,,,,,,,,
3,11434826,"Effect of short-course, high-dose amoxicillin therapy on resistant pneumococcal carriage: a randomized trial",Dominican Republic,Outpatient,Treatment for infection,Respiratory tract,Respiratory tract,Amoxicillin,Oral,Penicillin,Pneumococcus,0,NA,10,346,Not reported,28,NA,110.72,Not reported,,,,,,,,
3,11434826,"Effect of short-course, high-dose amoxicillin therapy on resistant pneumococcal carriage: a randomized trial",Dominican Republic,Outpatient,Treatment for infection,Respiratory tract,Respiratory tract,Amoxicillin,Oral,Trimethoprim-sulfamethoxazole,Pneumococcus,0,NA,5,355,Not reported,28,NA,62,Not reported,,,,,,,,
3,11434826,"Effect of short-course, high-dose amoxicillin therapy on resistant pneumococcal carriage: a randomized trial",Dominican Republic,Outpatient,Treatment for infection,Respiratory tract,Respiratory tract,Amoxicillin,Oral,Trimethoprim-sulfamethoxazole,Pneumococcus,0,NA,10,346,Not reported,28,NA,81,Not reported,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amoxicillin,E coli,0,NA,0,60,60,1,NA,5,5,"to receive either a 3-day antibiotic treatment associated with indwelling urethral catheter replacement 4 h after the first administration of antibiotic (i.e. the study group) or no antibiotic, no catheter replacement (i.e. standard of care). Antibiotics ",,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amoxicillin,E coli,0,NA,0,30,30,7,NA,2,2,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Amoxicillin,E coli,0,NA,3,30,30,7,NA,2,2,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amoxicillin,E coli,0,NA,0,30,30,15,NA,0,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Amoxicillin,E coli,0,NA,3,30,30,15,NA,2,2,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amox-clav,E coli,0,NA,0,60,60,1,NA,6,6,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amox-clav,E coli,0,NA,0,30,30,7,NA,0,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Amox-clav,E coli,0,NA,3,30,30,7,NA,1,1,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amox-clav,E coli,0,NA,0,30,30,15,NA,0,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Amox-clav,E coli,0,NA,3,30,30,15,NA,0,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Ticacillin,Pseudomonas,0,NA,0,60,60,1,NA,8,8,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Ticacillin,Pseudomonas,0,NA,0,30,30,7,NA,4,4,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Ticacillin,Pseudomonas,0,NA,3,30,30,7,NA,1,1,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Ticacillin,Pseudomonas,0,NA,0,30,30,15,NA,1,1,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Ticacillin,Pseudomonas,0,NA,3,30,30,15,NA,2,2,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Ticacillin,Acinectobacter baumannii,0,NA,0,60,60,1,NA,3,3,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Ticacillin,Acinectobacter baumannii,0,NA,0,30,30,7,NA,0,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Ticacillin,Acinectobacter baumannii,0,NA,3,30,30,7,NA,1,1,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Ticacillin,Acinectobacter baumannii,0,NA,0,30,30,15,NA,0,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Ticacillin,Acinectobacter baumannii,0,NA,3,30,30,15,NA,1,1,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amox-clav,Klebsiella pneumoniae,0,NA,0,60,60,1,NA,5,5,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amox-clav,Klebsiella pneumoniae,0,NA,0,30,30,7,NA,1,1,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Amox-clav,Klebsiella pneumoniae,0,NA,3,30,30,7,NA,0,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amox-clav,Klebsiella pneumoniae,0,NA,0,30,30,15,NA,1,1,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Amox-clav,Klebsiella pneumoniae,0,NA,3,30,30,15,NA,1,1,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Cefotaxime,Citrobacter,0,NA,0,60,60,1,NA,0,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Cefotaxime,Citrobacter,0,NA,0,30,30,7,NA,0,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Cefotaxime,Citrobacter,0,NA,3,30,30,7,NA,1,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Cefotaxime,Citrobacter,0,NA,0,30,30,15,NA,0,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Cefotaxime,Citrobacter,0,NA,3,30,30,15,NA,0,0,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amoxicillin,Enterococcus,0,NA,0,60,60,1,NA,8,8,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amoxicillin,Enterococcus,0,NA,0,30,30,7,NA,2,2,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,Culture directed,Oral or IV,Amoxicillin,Enterococcus,0,NA,3,30,30,7,NA,1,1,,,,,,,,
4,17294169,A randomized trial of catheter change and short course of antibiotics for asymptomatic bacteriuria in catheterized ICU patients,France,ICU,Treatment for infection,Urinary tract,Urine,NA,NA,Amoxicillin,Enterococcus,0,NA,0,30,30,15,NA,1,1,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Ampicillin,M catarhalis,0,NA,0,78,78,1,NA,10,10,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Ampicillin,M catarhalis,0,NA,0,37,78,720,NA,5,5,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,Azithromycin,Oral,Ampicillin,M catarhalis,0,NA,once weekly for 24 months,41,78,720,NA,0,0,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Azithromycin,Staph aureus,0,NA,0,78,78,1,NA,7,7,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Meticillin,Staph aureus,0,NA,0,78,78,1,NA,2,2,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Azithromycin,Staph aureus,0,NA,0,37,78,720,NA,3,3,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Meticillin,Staph aureus,0,NA,0,37,78,720,NA,1,1,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,Azithromycin,Oral,Azithromycin,Staph aureus,0,NA,once weekly for 24 months,41,78,720,NA,11,11,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,Azithromycin,Oral,Meticillin,Staph aureus,0,NA,once weekly for 24 months,41,78,720,NA,2,2,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Azithromycin,H influenzae,0,NA,0,78,78,1,NA,1,1,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Ampicillin,H influenzae,0,NA,0,78,78,1,NA,4,4,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Azithromycin,H influenzae,0,NA,0,37,78,720,NA,0,0,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Ampicillin,H influenzae,0,NA,0,37,78,720,NA,1,1,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,Azithromycin,Oral,Azithromycin,H influenzae,0,NA,once weekly for 24 months,41,78,720,NA,0,0,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,Azithromycin,Oral,Ampicillin,H influenzae,0,NA,once weekly for 24 months,41,78,720,NA,1,1,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Azithromycin,Pneumococcus,0,NA,0,78,78,1,NA,11,11,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Penicillin,Pneumococcus,0,NA,0,78,78,1,NA,13,13,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Azithromycin,Pneumococcus,0,NA,0,37,78,720,NA,1,1,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,NA,NA,Penicillin,Pneumococcus,0,NA,0,37,78,720,NA,6,6,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,Azithromycin,Oral,Azithromycin,Pneumococcus,0,NA,once weekly for 24 months,41,78,720,NA,11,11,,,,,,,,
5,24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",Australia/NZ,Outpatient,Prophylaxis,Respiratory tract,Respiratory tract,Azithromycin,Oral,Penicillin,Pneumococcus,0,NA,once weekly for 24 months,41,78,720,NA,6,6,,,,,,,,
6,17484870,High-dose oral erythromycin decreased the incidence of parenteral nutrition-associated cholestasis in preterm infants,Hong Kong,Neonatal unit,Prevention or treatment of non-infectious diseases,Gut,Gut,NA,NA,Meticillin,Staph aureus,0,NA,0,75,75,1,NA,0,0,"Stool samples for microbiologic culture were collected from the studied infants immediately before treatment, after 10 days of medication, and 4 weeks after the treatment had been terminated.",,,,,,,
6,17484870,High-dose oral erythromycin decreased the incidence of parenteral nutrition-associated cholestasis in preterm infants,Hong Kong,Neonatal unit,Prevention or treatment of non-infectious diseases,Gut,Gut,NA,NA,Meticillin,Staph aureus,0,NA,0,38,38,10,NA,1,1,,,,,,,,
6,17484870,High-dose oral erythromycin decreased the incidence of parenteral nutrition-associated cholestasis in preterm infants,Hong Kong,Neonatal unit,Prevention or treatment of non-infectious diseases,Gut,Gut,Erythromycin,Oral,Meticillin,Staph aureus,0,NA,10,37,37,10,NA,0,0,,,,,,,,
6,17484870,High-dose oral erythromycin decreased the incidence of parenteral nutrition-associated cholestasis in preterm infants,Hong Kong,Neonatal unit,Prevention or treatment of non-infectious diseases,Gut,Gut,NA,NA,Meticillin,Staph aureus,0,NA,0,38,38,42,NA,0,0,,,,,,,,
6,17484870,High-dose oral erythromycin decreased the incidence of parenteral nutrition-associated cholestasis in preterm infants,Hong Kong,Neonatal unit,Prevention or treatment of non-infectious diseases,Gut,Gut,Erythromycin,Oral,Meticillin,Staph aureus,0,NA,14,37,37,42,NA,0,0,,,,,,,,
