No,PMID,title,year,journal,age_grp,interven,interven_type,blind_all,source_cont_required,source_cont_done,cond_specific,cond_cat,sterile_site,n_randomised,setting,country,income,short_protocol,long_protocol,short_actual,long_actual,rand_process,hypothesis,margin,pri_analysis_population,sec_analysis_pop,diffshown_ITT,diffshown_PP,arm_clinicalsuperior,outcome_measure,sample_size_calculated,didnotmeetcalculatedsamplesize,RoB2,n_short_randomised,n_long_randomised,n_analysed,n_adherent_short,n_adherent_long,shortXlong,longXshort,adhere_monitor,excl_prianalysis_reason,funding,diagnosis,abx_specific,abx_short,abx_long,culture_directed_insome,fu_period,fu_period_note,primary_outcome,combined_outcome,obj_outcome,abxpresc_outcome,outcome_clinical,outcome_microb_clinical,outcome_microb_colonising,abx_se,outcome_economic,per_priclinicaloutcome_short,per_priclinicaloutcome_long,per_mortality,note
11,33242083,"Three versus six weeks of antibiotic therapy for diabetic foot osteomyelitis: A prospective, randomized, non-inferiority pilot trial",2020,CID,adult,"Treating clinicians were allowed to perform any needed wound debridement procedures, to choose the method of weight off-loading the affected foot and the appropriate diagnostic imaging methods [15], to decide on the need for angioplasty, and to use negative-pressure vacuum therapy or hyperbaric oxygen for wound healing. While full resection of all infected bone was an exclusion, we permitted partial surgical amputation for necrotic bone. Our definition for “partial amputation” was purposely loose, including an amputation in 1 toe but leaving the DFO of another toe for conservative therapy, or a planned limited resection, such as during a partial calcanectomy [16, 17]. If there was a partial amputation, we determined the presence of residual DFO by previous radiological and/or intraoperative assessments, and the decision to treat remaining DFO with antibiotic therapy. To limit the number of antibiotic drugs investigators might select, we provided a list of permitted agents, from which the clinician could select the most appropriate",arbitrary durations,0,1,1,Diabetic foot osteomyelitis,Bone and prosthetics infection,1,93,inpatient,Switzerland,high,21,42,Not reported,Not reported,simple randomization,non-inferiority,25,ITT,PP,0,0,NA,absolute difference,1,1,0,44,49,93,39,43,0,0,Self reporting,clinical complications,investigator initiated,clinical syndrome with laboratory test,"We used 47 different antibiotic regimens, among which the most frequent agents were co-amoxiclav (63%), levofloxacin (22%), clindamycin (17%), co-trimoxazole (9%), and doxycycline (9%); rifampicin was administered in only 1 case",various,various,1,330,"median of 11 months, minimum 2 months","complete absence of clinical and radiologic findings of infection after a minimum follow-up of 2 months after EOT. We defined clinical failure as either recurrent, persistent, or new infection at the original site [21], or secondary amputation for progressive infection, ischemia, or necrosis. We defined microbiological failure as a microbiologically confirmed recurrence or persistence at the same localization with the same pathogen (or at least 1 of the same pathogens in case of polymicrobial infection).",0,0,0,1,1,0,0,hospital los,16,27,0,pilot study
12,32609979,Amoxicillin for 3 or 5 Days for Chest-Indrawing Pneumonia in Malawian Children,2020,NEJM,children,"children with chest-indrawing pneumonia (cough lasting <14 days or difficulty breathing, along with visible indrawing of the chest wall with or without fast breathing for age). Children not infected with human immunodeficiency virus (HIV) who were 2 to 59 months of age and had chest-indrawing pneumonia were randomly assigned to receive amoxicillin twice daily for either 3 days or 5 days",arbitrary durations,1,0,NA,Fast-breathing Pneumonia,Lower respiratory tract infection,0,3000,outpatient,Malawi,low,3,5,Not reported,Not reported,stratified randomisation,non-inferiority,5.2,mITT,NA,0,NA,NA,relative difference,1,0,1,1497,1503,2898,1442,1456,0,0,Self reporting,loss to follow up,investigator initiated,clinical syndrome,High-dose oral amoxicillin was provided in 250-mg dispersible tablets (tablets dissolved in liquid) in two divided doses daily. Children in the 3-day group received amoxicillin tablets for 3 days and placebo tablets for 2 days. Children in the 5-day group received amoxicillin tablets for 5 days.,amoxicillin,amoxicillin,0,6,"total follow up 14 days, outcome determined on day 6",treatment failure,0,0,0,1,0,0,0,none,13,11,0,
13,32484534,"Effect of C-Reactive Protein-Guided Antibiotic Treatment Duration, 7-Day Treatment, or 14-Day Treatment on 30-Day Clinical Failure Rate in Patients With Uncomplicated Gram-Negative Bacteremia: A Randomized Clinical Trial",2020,JAMA,adult,"individualized CRP-guided antibiotic treatment duration (discontinuation once CRP declined by 75% from peak; n = 170), fixed 7-day treatment duration (n = 169), or fixed 14-day treatment duration (n = 165).",treatment protocol,0,0,NA,Uncomplicated Gram-Negative Bacteremia,Bloodstream infection,1,504,inpatient,Switzerland,high,NA,NA,7,Not reported,stratified randomisation,non-inferiority,10,mITT,PP,0,0,NA,absolute difference,1,0,1,170,165,334,130,143,13,13,Medical chart,withdrew consent,investigator initiated,culture of sterile site,Inpatient physicians followed local guidelines for antibiotic choice and administration route; a switch from intravenous to oral administration was allowed per routine practice.,various,various,1,30,"total follow up 90 days, primary outcome determined on day 30","clinical failure rate at day 30, defined as the presence of at least 1 of the following, with a non-inferiority margin of 10%: recurrent bacteremia, local suppurative complication, distant complication (growth of the same organism causing the initial bacteremia), restarting gram-negative–directed antibiotic therapy due to clinical worsening suspected to be due to the initial organism, or death due to any cause.",0,0,0,1,1,0,1,hospital los,2,4,2,"interpretation is limited by the large noninferiority margin compared with the low observed event rate, as well as low adherence and wide range of treatment durations in the CRP-guided group."
13,32484534,"Effect of C-Reactive Protein-Guided Antibiotic Treatment Duration, 7-Day Treatment, or 14-Day Treatment on 30-Day Clinical Failure Rate in Patients With Uncomplicated Gram-Negative Bacteremia: A Randomized Clinical Trial",2020,JAMA,adult,"individualized CRP-guided antibiotic treatment duration (discontinuation once CRP declined by 75% from peak; n = 170), fixed 7-day treatment duration (n = 169), or fixed 14-day treatment duration (n = 165).",arbitrary durations,0,0,NA,Uncomplicated Gram-Negative Bacteremia,Bloodstream infection,1,504,inpatient,Switzerland,high,7,14,Not reported,Not reported,simple randomization,non-inferiority,10,mITT,PP,0,0,NA,absolute difference,1,0,1,169,165,334,141,143,24,13,Medical chart,withdrew consent,investigator initiated,culture of sterile site,Inpatient physicians followed local guidelines for antibiotic choice and administration route; a switch from intravenous to oral administration was allowed per routine practice.,various,various,1,30,"total follow up 90 days, primary outcome determined on day 30","clinical failure rate at day 30, defined as the presence of at least 1 of the following, with a non-inferiority margin of 10%: recurrent bacteremia, local suppurative complication, distant complication (growth of the same organism causing the initial bacteremia), restarting gram-negative–directed antibiotic therapy due to clinical worsening suspected to be due to the initial organism, or death due to any cause.",0,0,0,1,1,0,1,hospital los,6,2,2,
14,31618678,"Antibiotic treatment for 6 days versus 12 days in patients with severe cellulitis: a multicentre randomized, double-blind, placebo-controlled, non-inferiority trial",2020,Clin Microbiol Infect,adult,symptom improvement who were afebrile were randomized between an additional 6 days of oral flucloxacillin or placebo,arbitrary durations,1,0,NA,Severe cellulitis,Skin and soft tissue infection,0,151,inpatient,Netherland,high,6,12,Not reported,Not reported,simple randomization,non-inferiority,10,ITT,PP,NA,NA,NA,absolute difference,1,1,0,73,76,149,66,66,1,5,Medical chart,NA,investigator initiated,clinical syndrome,,flucloxacillin,flucloxacillin,0,28,"The primary outcome was cure by day 14 without relapse by day 28 in the intention-to-treat (ITT) population, which included all participants who were correctly randomized. Cure by day 14 was defined as the absence of pain and warmth and a reduction in erythema and oedema. Relapse was defined as the initiation of new antibiotics for cellulitis by non-trial physicians.
 Secondary outcomes included a per-protocol analysis (PPA), (time to) relapse within 90 days, sequential visual analogue scores (VASs) of pain and oedema, the CSS over time, and cure without relapse using a modified cure assessment.",cure by day 14 without relapse by day 28,0,0,0,1,0,0,0,0,50,49,1,could not make conclusion because under powered
15,30992295,"Two weeks versus four weeks of antibiotic therapy after surgical drainage for native joint bacterial arthritis: a prospective, randomised, non-inferiority trial",2019,Ann Rheum Dis,adult,"eligible hospitalised patients, following a specified randomisation procedure (1:1, by computer-generated random numbers) to therapy with systemic antibiotic agents for either 2 weeks (±3 days) or 4 weeks (±3 days).",arbitrary durations,0,1,1,native joint bacterial arthritis:,Bone and prosthesis infection,1,154,inpatient,Switzerland,high,14,28,14,28,simple randomization,non-inferiority,10,ITT,PP,0,0,NA,absolute difference,1,0,1,77,77,85,not reported,not reported,not reported,not reported,Medical chart,not reported,investigator initiated,NA,"The most frequently administered parenteral antibiotics were co-amoxiclav (n=71), ceftriaxone (n=3) and vancomycin (n=4). Overall, we administered parenteral β-lactam antibiotics in 107 (69%) cases. The oral antibiotics prescribed were co-amoxiclav (74), quinolones (26), clindamycin (19), doxycycline (2), co-trimoxazole (3) or a combination of above.",various,various,0,60,"Remission was defined as the complete absence of clinical, laboratory or radiological findings after a minimal follow-up of 2 months after treatment.","rates of remission of infection. Remission was defined as the complete absence of clinical, laboratory or radiological findings after a minimal follow-up of 2 months after treatment.",0,0,0,1,1,0,1,hospital los,4,5,0,
16,30596964,Comparison of 3 Days Amoxicillin Versus 5 Days Co-Trimoxazole for Treatment of Fast-breathing Pneumonia by Community Health Workers in Children Aged 2-59 Months in Pakistan: A Cluster-randomized Trial,2019,CID,children,"treated fast-breathing pneumonia as per the LHW program standard of care [15], using oral co-trimoxazole at 40 mg sulphamethoxazole/8mg trimethoprim/kg/day (200mg sulphamethoxazole/40mg trimethoprim/5 ml), given twice daily for 5 days. In the intervention clusters, LHWs treated fast-breathing pneumonia for 3 days with oral amoxicillin at 50mg/kg/day (250mg/5ml), given twice daily.",arbitrary durations,0,0,NA,Fast-breathing Pneumonia,Lower respiratory tract infection,0,19291,outpatient,Pakistan,low,3,5,Not reported,Not reported,cluster randomisation,equivalency,plus minus 5,PP,ITT,1,0,short,absolute difference,1,0,1,11230,8061,15662,9153,6509,47,1418,"Self reporting, check medication",protocol deviation,investigator initiated,clinical syndrome,,Amoxicillin,Bactrim,0,6,Day 4 (Primary Outcome Intervention) and Day 6 (Primary Outcome Control),treatment failure,0,0,0,1,0,0,1,0,4,9,0,
17,31585944,"Penicillin V four times daily for five days versus three times daily for 10 days in patients with pharyngotonsillitis caused by group A streptococci: randomised controlled, open label, non-inferiority study",2019,BMJ,children,"Patients aged 6 years and over with pharyngotonsillitis caused by group A streptococci and three or four Centor criteria (fever ≥38.5°C, tender lymph nodes, coatings of the tonsils, and absence of cough).
 
 Interventions
 Penicillin V 800 mg four times daily for five days (total 16 g) compared with the current recommended dose of 1000 mg three times daily for 10 days (total 30 g)",arbitrary durations,0,0,NA,pharyngotonsillitis,Upper respiratory tract infection,0,433,outpatient,Sweden,high,5,10,Not reported,Not reported,stratified randomisation,non-inferiority,10,PP,mITT,0,0,NA,absolute difference,1,0,1,215,218,422,202,195,Reported in proportions of doses taken,Reported in proportions of doses taken,Self reporting,"withdrew consent, did not satisfy inclusion criteria",investigator initiated,"clinical syndrome, culture",,penicillin,penicillin,1,6,clinical cure five to seven days after the end of antibiotic treatment,clinical cure,0,0,0,1,1,0,1,0,10,7,0,
18,30982631,Guideline-Based Clinical Assessment Versus Procalcitonin-Guided Antibiotic Use in Pneumonia: A Pragmatic Randomized Trial,2019,Ann Emerg Med,adult,procalcitonin-guided or clinical assessment group,inflammatory markers,0,0,NA,CAP,Lower respiratory tract infection,0,285,inpatient,France,high,NA,NA,9,10,simple randomization,superiority,NA,ITT,mITT,0,NA,NA,duration of antibiotic,1,0,1,142,143,262,108,143,34,0,Medical chart,"enrolment error, other diagnosis",investigator initiated,clinical syndrome,"Antibiotics administered in the ED included amoxicillin (clinical assessment group 32 [22%], procalcitonin group 26 [18%]), amoxicillin-clavulanate (clinical assessment group 62 [43%], procalcitonin group 57 [40%]), a fluoroquinolone (clinical assessment group 7 [5%], procalcitonin group 5 [3%]), ceftriaxone (clinical assessment group 42 [29%], procalcitonin group 38 [27%]), and others (clinical assessment group 18 [13%], procalcitonin group 26 [18%]).",various,various,0,30,total days of antibiotic exposure within 30 days after ED admission in the intention-to-treat population,total days of antibiotic exposure within 30 days after ED admission in the intention-to-treat population,0,1,1,1,0,0,0,hospital los,8,8,2,
19,31030266,Antimicrobial prophylaxis for 1 day versus 3 days in liver cancer surgery: a randomized controlled non-inferiority trial,2019,surg today,adult,"hepatocellular carcinoma scheduled to undergo resection were randomly assigned to receive either a 1-day regimen for antimicrobial prophylaxis, or a 3-day regimen",arbitrary durations,0,0,NA,SSI in liver cancer surgery,Prophylaxis (post-surgery),0,480,inpatient,Japan,high,1,3,Not reported,Not reported,simple randomization,non-inferiority,8,mITT,none,0,NA,NA,absolute difference,1,0,1,240,240,467,232,235,Not reported,Not reported,Medical chart,"elderly, other procedures, withdrew consent",investigator initiated,NA,,flomoxef,flomoxef,0,30,30 days after operation,SSI,0,0,0,1,1,0,0,0,10,10,0,
20,30535100,Seven Versus 14 Days of Antibiotic Therapy for Uncomplicated Gram-negative Bacteremia: A Noninferiority Randomized Controlled Trial,2019,CID,adult,"Inpatients with gram-negative bacteremia, who were afebrile and hemodynamically stable for at least 48 hours, were randomized to receive 7 days (intervention) or 14 days (control) of covering antibiotic therapy.",arbitrary durations,0,0,NA,Gram-negative bacteremia,Bloodstream infection,1,604,inpatient,Israel and Italy,high,7,14,10,16,simple randomization,non-inferiority,10,ITT,PP,0,0,NA,absolute difference,1,0,1,306,298,604,280,276,26,13,Medical chart,NA,investigator initiated,culture of sterile site,The type of empirical or directed antibiotic treatment was chosen by the treating physicians.,various,various,1,90,"primary outcome at 90 days from randomization was a composite of all-cause mortality; clinical failure, including either relapse of the bacteremia, local suppurative complications, or distant complications; and readmission or extended hospital stay (>14 days)","composite of all-cause mortality; clinical failure, including either relapse of the bacteremia, local suppurative complications, or distant complications; and readmission or extended hospital stay (>14 days)",1,0,0,1,1,0,1,hospital los,46,48,11,
21,31106353,Four versus six weeks of antibiotic therapy for osteoarticular infections after implant removal: a randomized trial,2019,JAC,adult,"4 or 6 weeks of systemic, pathogen-targeted antibiotic therapy",arbitrary durations,0,1,1,treating orthopaedic implant infections after surgical drainage and complete implant removal,Bone and prosthetics infection,1,123,inpatient,Switzerland,high,28,42,28,42,simple randomization,non-inferiority,10,ITT,PP,0,0,NA,absolute difference,1,0,1,62,61,123,60,57,Not reported,Not reported,Self reporting,did not remove implant,investigator initiated,culture of sterile site,"The most frequently prescribed parenteral antibiotics were vancomycin (n = 23), amoxicillin/clavulanic acid (30) and cefuroxime (17). Among oral antibiotics, the most commonly prescribed were fluoroquinolones (n = 32), clindamycin (24), doxycycline (21), amoxicillin/clavulanic acid (30) and co-trimoxazole (13).",various,various,1,805.2,median follow-up period of 2.2 years,remission of infection at the operative site,0,0,0,1,1,0,1,0,6,5,0,
22,29484469,Short-course antibiotic therapy for critically ill patients treated for postoperative intra-abdominal infection: the DURAPOP randomised clinical trial,2018,Intensive care med,adult,8-day versus 15-day antibiotic therapy in critically ill patients with PIAI,arbitrary durations,0,1,1,postoperative intra-abdominal infection,Abdominal infection,1,249,ICU,France,high,8,15,Not reported,Not reported,stratified randomisation,superiority,NA,mITT,PP,0,0,NA,number of antibiotic-free days,1,0,1,126,123,236,77,66,21,10,Medical chart,"loss to follow up, death",investigator initiated,culture of sterile site,"Empirical ABT was recommended according to the French Guidelines for PIAI (Methods-ESM) [5]. However, ABT and management were left to the discretion of the attending physicians, including drug plasma monitoring and any adaptation considered necessary.",various,various,1,28,"number of antibiotic-free days (i.e. number of days alive and antibiotic-free) from day 8 to day 28
 (analysis of superiority)","number of antibiotic-free days (i.e. number of days alive and antibiotic-free) from day 8 to day 28
 (analysis of superiority)",0,1,1,1,1,1,0,hospital los,8,11,13,mortality day 8-18 used as clinical outcome
