"","PMID","PUI","Title","Publication.Year"
"22",31732485,NA,"Bedaquiline, moxifloxacin, pretomanid, and pyrazinamide during the first 8 weeks of treatment of patients with drug-susceptible or drug-resistant pulmonary tuberculosis: a multicentre, open-label, partially randomised, phase 2b trial",2019
"23",31106353,NA,"Four versus six weeks of antibiotic therapy for osteoarticular infections after implant removal: a randomized trial",2019
"24",31035017,NA,"Microbiological changes observed over 48 weeks of treatment with inhaled liposomal ciprofloxacin in individuals with non-cystic fibrosis bronchiectasis and chronic Pseudomonas aeruginosa lung infection",2019
"25",30992295,NA,"Two weeks versus four weeks of antibiotic therapy after surgical drainage for native joint bacterial arthritis: a prospective, randomised, non-inferiority trial",2019
"26",29220542,NA,"Safety and efficacy of apremilast through 104 weeks in patients with moderate to severe psoriasis who continued on apremilast or switched from etanercept treatment: findings from the LIBERATE study",2018
"27",28416342,NA,"Long-term safety and tolerability of apremilast in patients with psoriasis: Pooled safety analysis for ≥156 weeks from 2 phase 3, randomized, controlled trials (ESTEEM 1 and 2)",2017
"28",26357944,NA,"Efficacy and safety of apremilast, an oral phosphodiesterase 4 inhibitor, in patients with moderate-to-severe plaque psoriasis over 52 weeks: a phase III, randomized controlled trial (ESTEEM 2)",2015
"29",26009989,NA,"A prospective randomized cohort study evaluating 3 weeks vs 6 weeks of oral antibiotic treatment in the setting of ""maximal medical therapy"" for chronic rhinosinusitis",2015
"30",25795076,NA,"Efficiency and safety of the combination of moxifloxacin, pretomanid (PA-824), and pyrazinamide during the first 8 weeks of antituberculosis treatment: a phase 2b, open-label, partly randomised trial in patients with drug-susceptible or drug-resistant pulmonary tuberculosis",2015
"31",25468170,NA,"Antibiotic treatment for 6 weeks versus 12 weeks in patients with pyogenic vertebral osteomyelitis: an open-label, non-inferiority, randomised, controlled trial",2015
"32",24140220,NA,"Antibiotic prophylaxis in prelabor spontaneous rupture of fetal membranes at or beyond 36 weeks of pregnancy",2014
"33",22801348,NA,"Rapid plasma reagin titer variation in the 2 weeks after syphilis therapy",2012
"34",22592586,NA,"Time to initiate antiretroviral therapy between 4 weeks and 12 weeks of tuberculosis treatment in HIV-infected patients: results from the TIME study",2012
"35",22391540,NA,"Randomized pilot trial of eight weeks of bedaquiline (TMC207) treatment for multidrug-resistant tuberculosis: long-term outcome, tolerability, and effect on emergence of drug resistance",2012
"36",21051704,NA,"Rates and risk factors for unfavorable outcomes 6 weeks after trichiasis surgery",2011
"37",21372444,NA,"Triple therapy with ecabet sodium, amoxicillin and lansoprazole for 2 weeks as the rescue regimen for H. pylori infection",2011
"38",20215128,NA,"Comparison of the efficacy of gentamicin for 5 days plus doxycycline for 8 weeks versus streptomycin for 2 weeks plus doxycycline for 45 days in the treatment of human brucellosis: a randomized clinical trial",2010
"39",19815891,NA,"Macrofilaricidal activity and amelioration of lymphatic pathology in bancroftian filariasis after 3 weeks of doxycycline followed by single-dose diethylcarbamazine",2009
"40",19333944,NA,"Golimumab, a new human tumor necrosis factor alpha antibody, administered every four weeks as a subcutaneous injection in psoriatic arthritis: Twenty-four-week efficacy and safety results of a randomized, placebo-controlled study",2009
"41",19166420,NA,"Lafutidine versus lansoprazole in combination with clarithromycin and amoxicillin for one versus two weeks for Helicobacter pylori eradication in Korea",2008
"42",17028126,NA,"Comparison of 1 and 2 weeks of omeprazole, amoxicillin and clarithromycin treatment for Helicobacter pylori eradication: the HYPER Study",2007
"43",17402345,NA,"Evaluation of a new fixed duration (12 weeks) multi-drug regimen of bactericidal drugs in multibacillary leprosy",2006
"44",16327334,NA,"Efavirenz 600 mg/day versus efavirenz 800 mg/day in HIV-infected patients with tuberculosis receiving rifampicin: 48 weeks results",2006
"45",15693450,NA,"Comparison of one week and two weeks of triple therapy for the eradication of Helicobacter pylori in a Sri Lankan population: a randomised, controlled study",2004
"46",12685882,NA,"Ciprofloxacin for 2 or 4 weeks in the treatment of febrile urinary tract infection in men: a randomized trial with a 1 year follow-up",2003
"47",12235071,NA,"Double blind, randomised, placebo controlled study of four weeks of lansoprazole for the treatment of functional dyspepsia in Chinese patients",2002
"48",11507355,NA,"Various durations of a standard regimen (amoxycillin, metronidazole, colloidal bismuth sub-citrate for 2 weeks or with additional ranitidine for 1 or 2 weeks) on eradication of Helicobacter pylori in Iranian peptic ulcer patients. A randomized controlled trial",2001
"49",11232676,NA,"Do some patients with Helicobacter pylori infection benefit from an extension to 2 weeks of a proton pump inhibitor-based triple eradication therapy?",2001
"50",11515622,NA,"Prolonging proton pump inhibitor-based anti-Helicobacter pylori treatment from one to two weeks in duodenal ulcer: is it worthwhile?",2000
"51",11242715,NA,"Two weeks triple therapy with lansoprazole, amoxycillin and roxythromycin is better than dual therapy with lansoprazole and amoxycillin for H. pylori infection: a randomised, clinical trial",2000
"52",10571611,NA,"Double vs. single dose of pantoprazole in combination with clarithromycin and amoxycillin for 7 days, in eradication of Helicobacter pylori in patients with non-ulcer dyspepsia",1999
"53",11329100,NA,"Comparison of 7 versus 10 days of antibiotic therapy for hospitalized patients with uncomplicated community-acquired pneumonia: a prospective, randomized, double-blind study",1999
"54",10457551,NA,"[Infection prophylaxis in open leg fractures. Comparison of a dose of pefloxacin and 5 days of cefazolin-oxacillin. A randomized study of 616 cases]",1999
"55",10353511,NA,"One dose ceftriaxone vs. ten days of amoxicillin/clavulanate therapy for acute otitis media: clinical efficacy and change in nasopharyngeal flora",1999
"56",10379492,NA,"Seven days of ranitidine bismuth citrate plus two antimicrobials for Helicobacter pylori eradication",1999
"57",10102965,NA,"Eradication of Helicobacter pylori infection after ranitidine bismuth citrate, metronidazole and tetracycline for 7 or 10 days",1999
"58",10090434,NA,"Effectiveness of short-course therapy (5 days) with grepafloxacin in the treatment of acute bacterial exacerbations of chronic bronchitis",1999
"59",9844453,NA,"[Omeprazole plus 2 antibiotics for the eradication of H. pylori, are 5 days of treatment sufficient?]",1998
"60",9798804,NA,"Ranitidine bismuth citrate (RBC) based triple therapy for 7 days is more effective than RBC plus clarithromycin for 14 days in dyspeptic patients with Helicobacter pylori infection. H. Pylori Lombardy Group",1998
"61",9701099,NA,"A comparison of 10 and 14 days of lansoprazole triple therapy for eradication of Helicobacter pylori",1998
"62",9354205,NA,"Short-course therapy with amoxycillin-clarithromycin triple therapy for 10 days (ACT-10) eradicates Helicobacter pylori and heals duodenal ulcer. ACT-10 Study Group",1997
"63",9410047,NA,"[Double-blind clinical trial comparing 5 days of dirithromycin versus 7 days of diacetylmidecamycin in acute bronchitis and acute exacerbations of chronic bronchitis]",1997
"64",9200361,NA,"Seven days of erythromycin estolate is as effective as fourteen days for the treatment of Bordetella pertussis infections",1997
"65",9124864,NA,"Treatment of enteric fever with pefloxacin for 7 days versus 5 days: a randomized clinical trial",1996
"66",8922570,NA,"Five days of erythromycin estolate versus ten days of penicillin V in the treatment of group A streptococcal tonsillopharyngitis in children. Pharyngitis Study Group",1996
"67",8849259,NA,"Two or three days of ofloxacin treatment for uncomplicated multidrug-resistant typhoid fever in children",1996
"68",8698374,NA,"Chlamydial cervicitis and urethritis: single dose treatment compared with doxycycline for seven days in community based practises",1996
"69",8822290,NA,"Effectiveness of five days of therapy with cefuroxime axetil suspension for treatment of acute otitis media",1996
"70",8798095,NA,"Comparison of 1 and 3 days' transurethral Foley catheterization after retropubic incontinence surgery",1996
"71",8585739,NA,"Effectiveness of short-course therapy (5 days) with cefuroxime axetil in treatment of secondary bacterial infections of acute bronchitis",1995
"72",8537264,NA,"A comparison of 5 days of dirithromycin and 7 days of clarithromycin in acute bacterial exacerbation of chronic bronchitis",1995
"73",7897784,NA,"Randomized controlled trial of 3 vs 10 days of trimethoprim/sulfamethoxazole for acute maxillary sinusitis",1995
"74",8549398,NA,"Double-blind comparison of ofloxacin for 3 days and placebo in acute bacterial enteritis",1995
"75",7768760,NA,"High-dosage co-amoxiclav in a single dose versus 7 days of co-trimoxazole as treatment of uncomplicated lower urinary tract infection in women",1995
"76",7921095,NA,"Effective short-course treatment of acute group A beta-hemolytic streptococcal tonsillopharyngitis. Ten days of penicillin V vs 5 days or 10 days of cefpodoxime therapy in children",1994
"77",7854859,NA,"[Antibacterial activity of ciprofloxacin in the urine during four days after a single 500 mg and 750 mg oral dose]",1994
"78",8288664,NA,"Prophylaxis against infection in total joint arthroplasty. One day of cefuroxime compared with three days of cefazolin",1994
"79",8191242,NA,"Five versus ten days treatment of streptococcal pharyngotonsillitis: a randomized controlled trial comparing cefpodoxime proxetil and phenoxymethyl penicillin",1994
"80",8298585,NA,"Fosfomycin trometamol in a single dose versus seven days nitrofurantoin in the treatment of acute uncomplicated urinary tract infections in women",1993
"81",8286514,NA,"Outcome at three to five years of primary closure of perianal and pilonidal abscess. A randomised, double-blind clinical trial with a complete three-year followup of one compared with four days' treatment with ampicillin and metronidazole",1993
"82",8215265,NA,"Treatment of typhoid fever with ceftriaxone for 5 days or chloramphenicol for 14 days: a randomized clinical trial",1993
"83",8225636,NA,"Clarithromycin 250 mg b.i.d. for 5 or 10 days in the treatment of adult patients with purulent bronchitis",1993
"84",8384818,NA,"Treatment of acute uncomplicated urinary tract infections with 3 days of lomefloxacin compared with treatment with 3 days of norfloxacin",1993
"85",8284649,NA,"Comparison of three days' therapy with cefcanel or amoxicillin for the treatment of acute uncomplicated urinary tract infection",1993
"86",1421911,NA,"Single daily doses of trimethoprim/sulphadiazine for three or 10 days in urinary tract infections",1992
"87",1522663,NA,"Comparative study of single dose and five days dose of gentamicin as prophylaxis in appendicectomy",1992
"88",1988516,NA,"Therapy for women hospitalized with acute pyelonephritis: a randomized trial of ampicillin versus trimethoprim-sulfamethoxazole for 14 days",1991
"89",2291755,NA,"Pivmecillinam treatment in acute cystitis. Three versus seven days study",1990
"90",2258342,NA,"Single-dose pefloxacin versus five-days treatment with norfloxacin in uncomplicated cystitis in women",1990
"91",2374529,NA,"[Comparison of the effect of 2 therapy concepts in the treatment of Pneumocystis carinii pneumonia. Cotrimoxazole for 21 days versus sequential therapy with cotrimoxazole followed by pentamidine inhalation]",1990
"92",2327750,NA,"Pharmacokinetics of lomefloxacin in healthy volunteers: comparison of 400 milligrams once daily and 200 milligrams twice daily given orally for 5 days",1990
"93",2286467,NA,"Fosfomycin trometamol in a single dose versus norfloxacin for seven days in the treatment of uncomplicated urinary infections in general practice",1990
"94",2286466,NA,"Single dose fosfomycin trometamol versus multiple dose norfloxacin over three days for uncomplicated UTI in general practice",1990
"95",2286000,NA,"[Treatment of typhoid fever for three days with ceftriaxone]",1990
"96",2570104,NA,"Five days versus one day of penicillin as prophylaxis in elective neurosurgical operations",1989
"97",3048935,NA,"Cefoxitin for one day vs. ampicillin and metronidazole for three days in elective colorectal surgery. A prospective, randomized, multicenter study",1988
"98",3277153,NA,"Five vs. ten days of therapy for acute otitis media",1988
"99",3129780,NA,"Five versus ten days treatment of group A streptococcal pharyngotonsillitis: a randomized controlled clinical trial with phenoxymethylpenicillin and cefadroxil",1988
"100",3068098,NA,"Comparison of tinidazole given as a single dose and on 2 consecutive days for the treatment of nonspecific bacterial vaginosis",1988
"101",3616850,NA,"Treatment of Chlamydia trachomatis infections: comparison of 1- and 2-g doses of erythromycin daily for seven days",1987
"102",3101484,NA,"Five vs ten days of penicillin V therapy for streptococcal pharyngitis",1987
"103",3893511,NA,"A single dose of sulfametopyrazine versus 7 days of ampicillin in acute on chronic bronchitis",1985
"104",3889396,NA,"Seven days of ceftriaxone therapy is as effective as ten days' treatment for bacterial meningitis",1985
"105",4002410,NA,"[Treatment of acute urinary infections. Comparison between pivmecillinam for 3 days and sulfamethizole therapy for 6 days]",1985
"106",3919171,NA,"Penicillin V and rifampin for the treatment of group A streptococcal pharyngitis: a randomized trial of 10 days penicillin vs 10 days penicillin with rifampin during the final 4 days of therapy",1985
"107",3887560,NA,"Cefadroxil once daily for three or seven days versus amoxycillin for seven days in uncomplicated urinary tract infections in women",1985
"108",6717216,NA,"One day vs. two days of prophylactic antibiotics in patients undergoing major head and neck surgery",1984
"109",6792379,NA,"Penicillin V for group A streptococcal pharyngotonsillitis. A randomized trial of seven vs ten days' therapy",1981
"110",7005459,NA,"Comparison of 4 and 10 days of doxycycline treatment for urinary tract infection",1980
"111",7427705,NA,"Tetracycline in nongonococcal urethritis. Comparison of 2 g and 1 g daily for seven days",1980
"112",841744,NA,"[Single-dose treatment with ornidazole (Tiberal) and 7 days treatment with metronidazole (Flagyl) for vaginal trichomoniasis. A controlled study in general practice]",1977
"113",32857331,NA,"Seven versus Ten Days Antibiotics Course for Acute Pyogenic Meningitis in Children: A Randomized Controlled Trial",2021
"114",32713104,NA,"Searching for an optimal therapy for H pylori eradication: High-dose proton-pump inhibitor dual therapy with amoxicillin vs. standard triple therapy for 14 days",2020
"115",32609979,NA,"Amoxicillin for 3 or 5 Days for Chest-Indrawing Pneumonia in Malawian Children",2020
"116",32293527,NA,"An optimised dosing regimen versus a standard dosing regimen of vancomycin for the treatment of late onset sepsis due to Gram-positive microorganisms in neonates and infants aged less than 90 days (NeoVanc): study protocol for a randomised controlled trial",2020
"117",32499466,NA,"The efficacy of two doses versus 7 days' course of prophylactic antibiotics following cesarean section: An experience from Aminu Kano Teaching Hospital",2020
"118",32140989,NA,"The CABI Trial: an Unblinded Parallel Group Randomised Controlled Feasibility Trial of Long-Course Antibiotic Therapy (28 Days) Compared with Short Course (≤ 10 Days) in the Prevention of Relapse in Adults Treated for Complicated Intra-Abdominal Infection",2021
"119",31941546,NA,"A pilot randomized controlled trial of 7 versus 14 days of antibiotic treatment for bloodstream infection on non-intensive care versus intensive care wards",2020
"120",31618678,NA,"Antibiotic treatment for 6 days versus 12 days in patients with severe cellulitis: a multicentre randomized, double-blind, placebo-controlled, non-inferiority trial",2020
"121",31585944,NA,"Penicillin V four times daily for five days versus three times daily for 10 days in patients with pharyngotonsillitis caused by group A streptococci: randomised controlled, open label, non-inferiority study",2019
"122",30535100,NA,"Seven Versus 14 Days of Antibiotic Therapy for Uncomplicated Gram-negative Bacteremia: A Noninferiority Randomized Controlled Trial",2019
"123",30596964,NA,"Comparison of 3 Days Amoxicillin Versus 5 Days Co-Trimoxazole for Treatment of Fast-breathing Pneumonia by Community Health Workers in Children Aged 2-59 Months in Pakistan: A Cluster-randomized Trial",2019
"124",31030266,NA,"Antimicrobial prophylaxis for 1 day versus 3 days in liver cancer surgery: a randomized controlled non-inferiority trial",2019
"125",30241517,NA,"Methods for conducting a double-blind randomized controlled clinical trial of three days versus five days of amoxicillin dispersible tablets for chest indrawing childhood pneumonia among children two to 59 months of age in Lilongwe, Malawi: a study protocol",2018
"126",30260776,NA,"Comparison of 10 and 14 days of triple therapy versus 10 days of sequential therapy for Helicobacter pylori eradication: A prospective randomized study",2018
"127",29781043,NA,"Comparison of Four Days Versus Seven Days Duration of Antibiotic Therapy for Neonatal Pneumonia: A Randomized Controlled Trial",2018
"128",29452598,NA,"7 versus 14 days of antibiotic treatment for critically ill patients with bloodstream infection: a pilot randomized clinical trial",2018
"129",29428426,NA,"First-line treatment of Helicobacter pylori in Lebanon: Comparison of bismuth-containing quadruple therapy versus 14-days sequential therapy",2018
"130",28921781,NA,"Valganciclovir (VGCV) followed by cytomegalovirus (CMV) hyperimmune globulin compared to VGCV for 200 days in abdominal organ transplant recipients at high risk for CMV infection: A prospective, randomized pilot study",2017
"131",28263245,NA,"The Treatment of Possible Severe Infection in Infants: An Open Randomized Safety Trial of Parenteral Benzylpenicillin and Gentamicin Versus Ceftriaxone in Infants <60 days of Age in Malawi",2017
"132",28501668,NA,"Response Adjusted for Days of Antibiotic Risk (RADAR): evaluation of a novel method to compare strategies to optimize antibiotic use",2017
"133",28398692,NA,"Seven versus 10 days antibiotic therapy for culture-proven neonatal sepsis: A randomised controlled trial",2017
"134",28283830,NA,"Is 5 days of oral fluoroquinolone enough for acute uncomplicated pyelonephritis? The DTP randomized trial",2017
"135",28266875,NA,"Ten days of levofloxacin-containing concomitant therapy can achieve effective Helicobacter pylori eradication in patients with type 2 diabetes",2017
"136",27905884,NA,"The efficacy of pivmecillinam: 3 days or 5 days t.i.d against community acquired uncomplicated lower urinary tract infections - a randomized, double-blinded, placebo-controlled clinical trial study protocol",2016
"137",27941119,NA,"Ambulatory Treatment of Fast Breathing in Young Infants Aged <60 Days: A Double-Blind, Randomized, Placebo-Controlled Equivalence Trial in Low-Income Settlements of Karachi",2017
"138",27618925,NA,"A randomized controlled study of 5 and 10 days treatment with phenoxymethylpenicillin for pharyngotonsillitis caused by streptococcus group A - a protocol study",2016
"139",26338825,NA,"Sequential therapy for 10 days versus triple therapy for 14 days in the eradication of Helicobacter pylori in the community and hospital populations: a randomised trial",2016
"140",25294250,NA,"Single-dose oritavancin versus 7-10 days of vancomycin in the treatment of gram-positive acute bacterial skin and skin structure infections: the SOLO II noninferiority study",2015
"141",24909499,NA,"Tedizolid for 6 days versus linezolid for 10 days for acute bacterial skin and skin-structure infections (ESTABLISH-2): a randomised, double-blind, phase 3, non-inferiority trial",2014
"142",24142473,NA,"The safety of besifloxacin ophthalmic suspension 0.6 % used three times daily for 7 days in the treatment of bacterial conjunctivitis",2013
"143",23945570,NA,"Safety and efficacy of simplified antibiotic regimens for outpatient treatment of serious infection in neonates and young infants 0-59 days of age in Bangladesh: design of a randomized controlled trial",2013
"144",22858517,NA,"Nonbismuth quadruple ""concomitant"" therapy versus standard triple therapy, both of the duration of 10 days, for first-line H. pylori eradication: a randomized trial",2013
"145",23183433,NA,"A time-to-event pharmacodynamic model describing treatment response in patients with pulmonary tuberculosis using days to positivity in automated liquid mycobacterial culture",2013
"146",23010339,NA,"A pilot randomised controlled trial in intensive care patients comparing 7 days' treatment with empirical antibiotics with 2 days' treatment for hospital-acquired infection of unknown origin",2012
"147",22283848,NA,"Repeated supratherapeutic dosing of strontium ranelate over 15 days does not prolong QT(c) interval in healthy volunteers",2012
"148",22726802,NA,"Ciprofloxacin for 7 days versus 14 days in women with acute pyelonephritis: a randomised, open-label and double-blind, placebo-controlled, non-inferiority trial",2012
"149",22698825,NA,"Clinical and epidemiologic characteristics as predictors of treatment failures in uncomplicated skin abscesses within seven days after incision and drainage",2012
"150",22656335,NA,"Zinc as adjunct treatment in infants aged between 7 and 120 days with probable serious bacterial infection: a randomised, double-blind, placebo-controlled trial",2012
"151",22555328,NA,"[5 days Cefaclor vs. 10 days amoxicillin/clavulanate in the treatment of childhood streptococcal pharyngitis. Data from a randomized clinical trial]",2012
"152",22420526,NA,"Besifloxacin ophthalmic suspension 0.6% administered twice daily for 3 days in the treatment of bacterial conjunctivitis in adults and children",2012
"153",22469449,NA,"Mometasone furoate nasal spray increases the number of minimal-symptom days in patients with acute rhinosinusitis",2012
"154",22237003,NA,"Incidence of cytomegalovirus UL97 and UL54 amino acid substitutions detected after 100 or 200 days of valganciclovir prophylaxis",2012
"155",22952580,NA,"Early-onset ventilator-associated pneumonia in adults randomized clinical trial: comparison of 8 versus 15 days of antibiotic treatment",2012
"156",22059392,NA,"Randomized trial on 14 versus 7 days of esomeprazole, moxifloxacin, and amoxicillin for second-line or rescue treatment of Helicobacter pylori infection",2011
"157",21958494,NA,"Meropenem vs standard of care for treatment of late onset sepsis in children of less than 90 days of age: study protocol for a randomised controlled trial",2011
"158",22103045,NA,"""7, 10 and 14-days rabeprazole-based standard triple therapies for H. pylori eradication: are they still effective? A randomized trial""",2011
"159",21762269,NA,"Twice-a-day bismuth-containing quadruple therapy for Helicobacter pylori eradication: a randomized trial of 10 and 14 days",2011
"160",21620467,NA,"5 versus 10 days of treatment with ceftriaxone for bacterial meningitis in children: a double-blind randomised equivalence study",2011
"161",21501482,NA,"A prospective, multi centre, randomized clinical study to compare the efficacy and safety of Ertapenem 3 days versus Ampicillin-Sulbactam 3 days in the treatment of localized community acquired intra-abdominal infection. (T.E.A. Study: Three days Ertapenem vs three days Ampicillin-sulbactam)",2011
"162",21435093,NA,"Is there a benefit to extending the duration of Helicobacter pylori sequential therapy to 14 days?",2011
"163",21435092,NA,"Modified sequential Helicobacter pylori therapy: proton pump inhibitor and amoxicillin for 14 days with clarithromycin and metronidazole added as a quadruple (hybrid) therapy for the final 7 days",2011
"164",21397770,NA,"Efficacy and tolerability of besifloxacin ophthalmic suspension 0.6% administered twice daily for 3 days in the treatment of bacterial conjunctivitis: a multicenter, randomized, double-masked, vehicle-controlled, parallel-group study in adults and children",2011
"165",21123162,NA,"Metronidazole 1.5 gram dose for 7 or 14 days in the treatment of patients with chronic prostatitis caused by Trichomonas vaginalis: A randomized study",2010
"166",20398300,NA,"Antimicrobial resistance of H. pylori to the outcome of 10-days vs. 7-days Moxifloxacin based therapy for the eradication: a randomized controlled trial",2010
"167",20402816,NA,"Comparison of the efficacy of the two tetracycline-containing sequential therapy regimens for the eradication of Helicobacter pylori: 5 days versus 14 days amoxicillin",2010
"169",20185560,NA,"Ten days vs. 14 days antibiotic therapy in culture-proven neonatal sepsis",2010
"170",19691829,NA,"Treatment duration of febrile urinary tract infection (FUTIRST trial): a randomized placebo-controlled multicenter trial comparing short (7 days) antibiotic treatment with conventional treatment (14 days)",2009
"171",19323633,NA,"Prospective, randomized trial of 10 days versus 30 days of antimicrobial treatment, including a short-term course of parenteral therapy, for childhood septic arthritis",2009
"172",19097848,NA,"[Duration of antibiotic therapy for ventilator-associated pneumonia: comparison of 7 and 10 days. A pilot study]",2009
"173",18348774,NA,"The treatment of giardiasis in children: single-dose tinidazole compared with 3 days of nitazoxanide",2008
"174",18332170,NA,"Pharmacodynamic analysis and clinical trial of amoxicillin sprinkle administered once daily for 7 days compared to penicillin V potassium administered four times daily for 10 days in the treatment of tonsillopharyngitis due to Streptococcus pyogenes in children",2008
"175",18343748,NA,"Efficacy and safety of azithromycin 1 g once daily for 3 days in the treatment of community-acquired pneumonia: an open-label randomised comparison with amoxicillin-clavulanate 875/125 mg twice daily for 7 days",2008
"176",18242357,NA,"A double-blind, randomized comparison of levofloxacin 750 mg once-daily for five days with ciprofloxacin 400/500 mg twice-daily for 10 days for the treatment of complicated urinary tract infections and acute pyelonephritis",2008
"177",17880755,NA,"A trial of levofloxacin 750 mg once daily for 5 days versus ciprofloxacin 400 mg and/or 500 mg twice daily for 10 days in the treatment of acute pyelonephritis",2007
"178",17846853,NA,"A prospective, double-blind, multicenter, randomized trial comparing ertapenem 3 vs >or=5 days in community-acquired intraabdominal infection",2008
"179",17681976,NA,"Comment on: Gemifloxacin once daily for 5 days versus 7 days for the treatment of community-acquired pneumonia: a randomized, multicentre, double-blind study",2007
"180",17537866,NA,"Gemifloxacin once daily for 5 days versus 7 days for the treatment of community-acquired pneumonia: a randomized, multicentre, double-blind study",2007
"181",17391383,NA,"Three vs. 10 days of amoxycillin-clavulanic acid for type 1 acute exacerbations of chronic obstructive pulmonary disease: a randomised, double-blind study",2007
"182",17219539,NA,"Pneumonia: 3 days of antibiotics for uncomplicated course",2006
"183",17097398,NA,"Topical retapamulin ointment (1%, wt/wt) twice daily for 5 days versus oral cephalexin twice daily for 10 days in the treatment of secondarily infected dermatitis: results of a randomized controlled trial",2006
"184",16957433,NA,"Retapamulin ointment twice daily for 5 days vs oral cephalexin twice daily for 10 days for empiric treatment of secondarily infected traumatic lesions of the skin",2006
"185",16982294,NA,"Levofloxacin 750 mg QD for five days versus amoxicillin/clavulanate 875 mg/125 mg BID for ten days for treatment of acute bacterial exacerbation of chronic bronchitis: a post hoc analysis of data from severely ill patients",2006
"186",16763247,NA,"Effectiveness of discontinuing antibiotic treatment after three days versus eight days in mild to moderate-severe community acquired pneumonia: randomised, double blind study",2006
"187",16732143,NA,"A pilot study of 1 versus 3 days of dexamethasone as add-on therapy in children with streptococcal pharyngitis",2006
"188",16730170,NA,"Levofloxacin 750-mg for 5 days for the treatment of hospitalized Fine Risk Class III/IV community-acquired pneumonia patients",2006
"189",16398726,NA,"Granulocyte-colony-stimulating factor-mobilized prophylactic granulocyte transfusions given after allogeneic peripheral blood progenitor cell transplantation result in a modest reduction of febrile days and intravenous antibiotic usage",2006
"190",16087013,NA,"Efficacy and safety of a novel, single-dose azithromycin microsphere formulation versus 10 days of levofloxacin for the treatment of acute bacterial sinusitis in adults",2005
"191",16086704,NA,"Seven versus ten days of rabeprazole triple therapy for Helicobacter pylori eradication: a multicenter randomized trial",2005
"192",16117986,NA,"A comparison of 5 days of therapy with cefdinir or azithromycin in children with acute otitis media: a multicenter, prospective, single-blind study",2005
"193",16024926,NA,"Eradication of Helicobacter pylori can be accurately confirmed 14 days after termination of triple therapy using a high-dose citric acid-based 13C urea breath test",2005
"194",15725048,NA,"Once-daily azithromycin for 3 days compared with clarithromycin for 10 days for acute exacerbation of chronic bronchitis: a multicenter, double-blind, randomized study",2005
"195",15616290,NA,"Efficacy and safety of pharmacokinetically enhanced amoxicillin-clavulanate at 2,000/125 milligrams twice daily for 5 days versus amoxicillin-clavulanate at 875/125 milligrams twice daily for 7 days in the treatment of acute exacerbations of chronic bronchitis",2005
